Wymysorys	Old High German	probability
ˈɪ	ˈio̯	1.0
ˈɑi̯_ɡ̊	rː	1.0
ˈɑi̯_ɛ	ˈiu̯	1.0
ˈoi̯	-	1.0
ˈai̯	ˈiː	1.0
ʧ	k	1.0
ɪ	u	1.0
ɡ̊	ɡ	1.0
ɡ	ɡ	1.0
ɟ	ɡ	1.0
ɑ	ɛ	1.0
ŋ	ŋ	1.0
z_ˈɘ̟	s_ˈi	1.0
z	s	1.0
u	-	1.0
r	r	1.0
p	p	1.0
l	l	1.0
h	h	1.0
f	f	1.0
c	k	1.0
b̥	b	1.0
b	b	1.0
m	m	0.953
t	t	0.937
ˈɔ	ˈɑ	0.895
w	l	0.886
ʦ	ʦ	0.872
n	n	0.859
d	d	0.786
ˈʏ	ˈuo̯	0.782
ˈø	ˈɑː	0.769
ə	-	0.763
v	w	0.719
ˈa	ˈei̯	0.706
d̥	t	0.7
ˈɘ̟	ˈi	0.656
ç	x	0.622
j	-	0.622
x	x	0.62
ˈi̯ø	ˈɑ_r	0.575
ʃ	s_k	0.571
k	kʰ	0.571
ɛ	ɑ	0.562
ˈɑ	ˈɑ	0.515
ˈɑi̯	ˈuː	0.491
s	s̻	0.486
a	ɑ_n	0.485
ˈu	ˈu	0.473
ʃ	s	0.429
ˈi̯ø	ˈɑ_ɡ	0.425
ˈei̯	ˈi	0.412
ˈɛ	ˈe	0.391
ˈei̯	-	0.386
x	xː	0.38
ç	xː	0.378
j	j	0.378
ˈɛ	ˈɛ	0.371
ˈi	ˈio̯	0.353
s	s̻ː	0.342
ˈɑi̯	ˈou̯	0.319
ˈɘ̟	ˈu	0.3
d̥	d	0.3
ˈa	ˈɛ	0.294
ˈi	ˈuo̯	0.293
ˈu	ˈo	0.292
ɛ	ɛ	0.25
a	e_n	0.242
ˈɛ	ˈei̯	0.238
ə	i	0.237
ˈø	ˈo	0.231
ˈʏ	ˈu_r	0.218
ˈɑ	ˈɛ	0.215
d	t	0.214
ˈei̯	ˈeː	0.203
ˈɑi̯	ˈiu̯	0.19
ɛ	-	0.188
ˈi	ˈe	0.18
ˈi	ˈi	0.173
v	b	0.168
k	x	0.164
ˈu	ˈoː	0.15
k	kː	0.139
ʦ	ʦː	0.128
k	k	0.127
s	s	0.123
n	nː	0.118
ˈɔ	ˈo	0.105
w	-	0.1
ˈɑ	ˈɛ_r	0.094
a	o	0.091
a	-	0.091
ˈɑ	ˈɛ_h	0.088
ˈɑ	-	0.088
ˈu	-	0.085
v	-	0.079
a	n	0.061
