Saterland Frisian	Old High German	probability
ˈœː	ˈu	1.0
ˈøː	ˈuː	1.0
ˈyː	-	1.0
ˈu	-	1.0
ˈoːu̯_n	ˈɑ_n	1.0
ˈoːu̯_d	ˈo	1.0
ˈoː_l	ˈɑ_l	1.0
ˈiːu̯	ˈɛ	1.0
ˈiː_d	ˈiː_t	1.0
ˈeːu̯	ˈɛ	1.0
ˈaːu̯	-	1.0
ˈaːi̯	ˈɑ_ɡ	1.0
ɪ_x	ɡ	1.0
ə_n	n	1.0
z	s	1.0
x_t	x_t	1.0
x	kː	1.0
w	-	1.0
v_ə	b_ɑ	1.0
s_t	s_t	1.0
s_l	s_l	1.0
r	r	1.0
n_ə	ɑ	1.0
j_ˈuː	ˈiu̯	1.0
j_ˈoː	ˈio̯	1.0
j_ə	oː_n	1.0
i	ɛ_h	1.0
h	h	1.0
b	b	1.0
v	w	0.982
s	s	0.948
m	m	0.937
f	f	0.937
l	l	0.923
n	n	0.875
ˈɪ	ˈi	0.87
ɣ	ɡ	0.867
d	t	0.735
ˈi	ˈiː	0.645
k	k	0.613
ˈaː	ˈɑ	0.58
ə	ɑ	0.572
ˈɔː	ˈɑ	0.565
ˈʊ	ˈu	0.539
ˈa	ˈe	0.526
ŋ	ŋ	0.525
ˈeː	ˈei̯	0.483
ŋ	ŋ_ɡ	0.475
ˈa	ˈɑ	0.474
ˈoːu̯	ˈuo̯	0.472
ˈɛɪ̯	ˈuo̯	0.466
ˈuː	ˈuː	0.454
p	p͡f	0.451
ˈiː	ˈi	0.442
ˈaː	ˈei̯	0.42
ˈɛ	ˈɛ	0.415
j	-	0.396
p	f	0.381
t	s̻	0.38
ˈɔ	ˈo	0.367
ˈɔ	ˈɑ	0.354
ˈʊ	-	0.347
ˈɛ	-	0.334
ˈɛː	ˈu	0.321
ˈoː	h	0.29
ˈɔː	ˈu	0.289
ˈɔ	ˈu	0.278
ˈuː	ˈu	0.276
ˈɛː	ˈɑ	0.269
k	xː	0.261
ˈɛ	ˈɑ	0.251
ˈɛɪ̯	ˈɑː	0.245
ˈi	ˈi_r	0.242
ˈoː	ˈoː	0.241
ˈiː	ˈɑː	0.241
d	d	0.232
ˈoːu̯	ˈɑː	0.223
t	s̻ː	0.216
ˈeː	ˈɛ	0.214
j	j	0.207
ˈɛː	ˈi	0.205
ˈɛː	-	0.205
ˈoːu̯	ˈo	0.204
j	ˈɛ	0.198
j	eː	0.198
ˈoː	ˈou̯	0.19
ˈiː	-	0.179
ˈɛɪ̯	r	0.17
ˈeː	ˈoː	0.166
ˈɔː	-	0.146
ˈuː	-	0.142
ˈiː	ˈɛ	0.138
ˈeː	ˈeː	0.138
t	ʦ	0.137
ɣ	-	0.133
ˈɪ	-	0.13
ˈuː	ˈo	0.128
k	x	0.126
ˈoː	ˈɑ	0.125
n	nː	0.125
ˈɛɪ̯	ˈɛ_r	0.119
ˈʊ	ˈo	0.114
ˈi	ˈie̯	0.114
p	p	0.109
ˈoːu̯	ˈo_r	0.102
t	t	0.099
t	r_ʦ	0.092
ə	o	0.09
l	lː	0.077
t	ʦː	0.075
ˈoː	ˈɑ_h	0.072
ə	i	0.072
ə	e_n	0.064
m	mː	0.063
f	b	0.063
p	fː	0.058
ˈoː	ˈei̯	0.056
ə	u	0.053
s	-	0.052
