Czech	Štokavian	probability
a	a	1.0
b	b	1.0
c	t	1.0
f	-	1.0
iː	iː	1.0
m	m	1.0
n	n	1.0
o	o	1.0
r̝̊	r	1.0
s	s	1.0
v	ʋ	1.0
z	z	1.0
ɟ	d	1.0
ɦ	ɡ	1.0
ɪ	i	1.0
ɲ	ɲ	1.0
ʃ	ʒ	1.0
ʒ	ʒ	1.0
ʧ	ʧ	1.0
ˈou̯	ûː	1.0
ˈu	ûː	1.0
ˈɛː	ê	1.0
r̝	r	0.451
t	t_i	0.21
ˈa	ǎː	0.291
ˈɛ	ěː	0.131
ˈɪ	îː	0.541
d	d_a	0.062
j	-	0.082
r	r	0.942
ɛ	e	0.592
ˈa	â	0.462
ˈiː	î	0.302
ˈuː	ôː	0.462
ˈaː	âː	0.493
d	d	0.934
l	l_j	0.054
p	b	0.214
t	t	0.74
ʦ	o_#>	0.054
ˈr̩	r̂ː	0.364
ˈɛ	ě	0.294
l	ʎ	0.095
l	l	0.675
x	ɡ	0.35
x	x	0.65
ˈiː	j_êː	0.225
ˈiː	j_ê	0.235
ˈo	ô	0.375
l	-	0.176
p	p	0.786
ˈo	ǒ	0.356
ˈr̩	r̩̂	0.636
k	k	0.97
ʦ	ʦ	0.897
ˈaː	â	0.507
ˈɛ	ê	0.197
j	j	0.918
r	r̩̂ː	0.058
ɛ	a	0.258
ˈa	âː	0.248
ˈiː	ǐː	0.238
ˈuː	ô	0.538
ˈɛ	êː	0.208
r̝	r̩̂	0.059
r̝	r_j	0.49
ɛ	eː	0.149
ˈo	ôː	0.269
ˈɪ	î	0.459
