Standard Serbian	Lower Sorbian	probability
̌	-	1.0
̂_o	w_ɨ	1.0
̂	-	1.0
ʨ	-	1.0
ʧ	ʦ	1.0
ʦ	ʦ	1.0
ʎ	l	1.0
ʋ_a	v_a	1.0
ʃ	-	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
u	u	1.0
t_i	ɕ	1.0
t_a	t_a	1.0
s	s	1.0
r̩ː	a_r	1.0
r_iː	ɕ_i	1.0
o_̌	ɛ	1.0
l_eː	l_ɔ	1.0
l_a	w_a	1.0
k	k	1.0
j	j	1.0
iː	ɨ	1.0
eː_̌	ɪ	1.0
a_̂	ɔ	1.0
a_t	ɕ	1.0
a_r	r_ɨ	1.0
a_n	n_ɨ	1.0
a_k	kʲ_i	1.0
z	z	0.885
b	b	0.839
uː	u	0.779
d	d	0.748
x	x	0.745
t	t	0.731
a	a	0.722
n	n	0.681
oː	ɔ	0.663
aː	ɔ	0.632
ʋ	vʲ	0.609
p	pʲ	0.608
o	ɔ	0.601
l	l	0.597
e_̂	a	0.583
i_̂	ɨ	0.554
m	m	0.545
r̩	r	0.527
i	-	0.514
eː	ɪ	0.505
e_̌	ɛ	0.501
e_̌	e	0.499
ʒ	ʐ	0.498
r	r	0.488
r̩	e	0.473
m	mʲ	0.455
i_̂	i	0.446
e_̂	ɪ	0.417
r	rʲ	0.407
p	p	0.392
ʒ	ʐ̊	0.368
aː	a	0.368
oː	ɛ	0.337
o	ɛ	0.322
e	ɔ	0.308
l	w	0.3
i	i	0.293
n	ɲ	0.282
x	k	0.255
eː	e	0.252
d	ʑ	0.252
e	e	0.245
uː	-	0.221
ʋ	v	0.205
e	ɛ	0.205
t	ɕ	0.195
i	ɨ	0.193
b	bʲ	0.161
e	ɪ	0.16
ʒ	ʒ	0.134
ʋ	-	0.126
eː	ɛ	0.124
eː	ɔ	0.119
z	-	0.115
r	ʂ	0.104
l	d_w	0.103
e	-	0.083
o	w	0.077
a	ɛ	0.076
t	ʨ	0.074
a	ɨ	0.063
