Catalan	Catalan	probability
β	β	1.0
ˈɛ	ˈɛ	1.0
ˈɔ	ˈɔ	1.0
ˈu	ˈu	1.0
ˈo	ˈo	1.0
ˈi_ə	ˈi_ə	1.0
ˈi	ˈi	1.0
ˈe	ˈe	1.0
ˈa_t	ˈa_t	1.0
ˈa_s	ˈa_s	1.0
ˈa_p	ˈa_p	1.0
ˈa_m	ˈa_m	1.0
ˈa_k	ˈa_k	1.0
ˈa	ˈa	1.0
ʧ	ʧ	1.0
ʤ	ʤ	1.0
ʒ	ʒ	1.0
ʎ	ʎ	1.0
ʃ	ʃ	1.0
ɾ_ˈa	ɾ_ˈa	1.0
ɾ	ɾ	1.0
ɲ	ɲ	1.0
ɣ	ɣ	1.0
ɡ	ɡ	1.0
ə_t	ə_t	1.0
ə_r	ə_r	1.0
ə_n	ə_n	1.0
ə_m	ə_m	1.0
ə_l	ə_l	1.0
ə	ə	1.0
ŋ	ŋ	1.0
ð	ð	1.0
z	z	1.0
w	w	1.0
u	u	1.0
t_ə	t_ə	1.0
t	t	1.0
s_ə	s_ə	1.0
s	s	1.0
r	r	1.0
p	p	1.0
n	n	1.0
m	m	1.0
l_ə	l_ə	1.0
l	l	1.0
k_l	k_l	1.0
k	k	1.0
j	j	1.0
i	i	1.0
f	f	1.0
d	d	1.0
b_ɾ	b_ɾ	1.0
b	b	1.0
