Pennsylvania German	Alsatian	probability
b	b̥	1.0
d	d̥	0.513
d	t	0.487
f	f	1.0
h	h	0.97
j	j	1.0
k	k	0.778
k	j	0.185
kʰ	kʰ	1.0
l	l	1.0
m	m	1.0
n	n	0.986
p	p͡f	0.535
p	b̥	0.388
p	p	0.076
s	s	0.986
t	t	0.704
t	d̥	0.229
v	n	0.554
v	ʋ	0.169
v	v	0.139
v	b̥	0.138
x	x	0.825
x	ʃ	0.175
ç	ʃ	1.0
ŋ	ŋ	1.0
ɑ	-	0.505
ɑ	ə	0.495
ə	ə	0.882
ə	-	0.082
ɡ	ɡ̊	1.0
ɣ	v	0.835
ɣ	ɡ̊	0.165
ɪ	i	1.0
ɾ	ʁ	1.0
ʃ	ʃ	1.0
ʋ	ʋ	0.772
ʋ	w	0.228
ʦ	ʦ	1.0
ˈa	ˈɒ	0.907
ˈaɪ̯	ˈiː	0.529
ˈaɪ̯	ˈi	0.253
ˈaɪ̯	ˈei̯	0.151
ˈaɪ̯	ˈəi̯	0.066
ˈaʊ̯	ˈyː	0.799
ˈaʊ̯	ˈøi̯	0.115
ˈaʊ̯	ˈʊː	0.086
ˈaː	ˈo_ʁ	0.491
ˈaː	ˈu	0.286
ˈaː	ˈɒː	0.119
ˈaː	ˈɒ	0.104
ˈeː	ˈəi̯	0.372
ˈeː	ˈeː	0.304
ˈeː	ˈæː	0.133
ˈeː	ˈi	0.082
ˈeː	ˈeː_n	0.057
ˈeː	ˈæ	0.052
ˈiː	ˈiː	0.801
ˈiː	ˈei̯	0.104
ˈiː	ˈi	0.095
ˈoː	ˈoː	0.961
ˈuː	ˈʊː	0.819
ˈuː	ˈøː	0.181
ˈɔ	ˈo	0.769
ˈɔ	ˈø	0.139
ˈɔ	ˈoː	0.092
ˈɔɪ̯	ˈəi̯	1.0
ˈɔː	ˈɒː	0.288
ˈɔː	ˈʊː	0.235
ˈɔː	ˈɒ	0.147
ˈɔː	ˈoː	0.07
ˈɔː	ˈai̯	0.067
ˈɔː	ˈaː	0.064
ˈɔː	ˈɔi̯	0.057
ˈɛ	ˈe	0.562
ˈɛ	ˈæ	0.174
ˈɛ	ˈɛ	0.108
ˈɛ	ˈæː	0.078
ˈɛ	ˈeː	0.078
ˈɛː	ˈiː	0.307
ˈɛː	ˈe	0.211
ˈɛː	ˈæː	0.18
ˈɛː	ˈæ	0.161
ˈɛː	ˈu	0.141
ˈɪ	ˈi	0.892
ˈʊ	ˈu	0.727
ˈʊ	ˈʊː	0.119
ˈʊ	ˈo	0.091
