Pennsylvania German	Alsatian	probability
b	b̥	1.0
d	d̥	0.504
d	t	0.493
f	f	1.0
h	h	0.935
h	-	0.066
j	j	1.0
k	k	0.679
k	-	0.175
k	j	0.1
k	ʋ	0.05
kʰ	kʰ	1.0
l	l	1.0
m	m	1.0
n	n	0.949
n	-	0.049
p	p͡f	0.67
p	b̥	0.151
p	p	0.1
s	s	0.959
s	ʦ	0.04
t	t	0.661
t	d̥	0.252
t	-	0.06
t	ʃ	0.035
v	-	0.389
v	ʋ	0.257
v	v	0.115
v	b̥	0.111
x	x	0.755
x	ʃ	0.177
ç	ʃ	0.638
ç	-	0.359
ŋ	ŋ	1.0
ɑ	ə	0.604
ɑ	-	0.392
ə	ə	0.732
ə	-	0.234
ə	i	0.037
ɡ	ɡ̊	1.0
ɣ	v	0.723
ɣ	ɡ̊	0.208
ɪ	i	1.0
ɾ	ʁ	1.0
ʃ	ʃ	1.0
ʋ	ʋ	0.834
ʋ	w	0.162
ʦ	ʦ	1.0
ˈa	ˈɒ	0.875
ˈa	ˈaː	0.048
ˈa	ˈi	0.044
ˈa	ˈɒː	0.044
ˈaɪ̯	ˈiː	0.524
ˈaɪ̯	ˈi	0.224
ˈaɪ̯	ˈei̯	0.17
ˈaɪ̯	ˈəi̯	0.072
ˈaʊ̯	ˈyː	0.791
ˈaʊ̯	ˈøi̯	0.109
ˈaʊ̯	ˈʊː	0.078
ˈaː	ˈo_ʁ	0.372
ˈaː	ˈɒː	0.26
ˈaː	ˈɒ	0.197
ˈaː	ˈu	0.13
ˈeː	ˈəi̯	0.311
ˈeː	ˈeː	0.284
ˈeː	ˈæː	0.113
ˈeː	ˈəi̯_n	0.099
ˈeː	ˈeː_n	0.065
ˈiː	ˈiː	0.721
ˈiː	ˈei̯	0.135
ˈiː	ˈi	0.135
ˈoː	ˈoː	0.898
ˈoː	ˈɒː	0.095
ˈuː	ˈʊː	0.814
ˈuː	ˈøː	0.182
ˈɔ	ˈo	0.782
ˈɔ	ˈø	0.113
ˈɔ	ˈoː	0.078
ˈɔɪ̯	ˈəi̯	0.126
ˈɔː	ˈɒː	0.355
ˈɔː	ˈʊː	0.148
ˈɔː	ˈɒ	0.109
ˈɔː	ˈoː	0.095
ˈɔː	ˈaː	0.072
ˈɛ	ˈe	0.499
ˈɛ	ˈæ	0.191
ˈɛ	ˈeː	0.123
ˈɛ	ˈɛ	0.107
ˈɛ	ˈæː	0.067
ˈɛː	ˈæː	0.32
ˈɛː	ˈiː	0.194
ˈɛː	ˈæ	0.139
ˈɛː	ˈu	0.134
ˈɛː	ˈe	0.129
ˈɪ	ˈi	0.771
ˈɪ	ˈu	0.111
ˈɪ	ˈiː	0.064
ˈɪ	ˈe	0.056
ˈʊ	ˈu	0.712
ˈʊ	ˈʊː	0.085
ˈʊ	ˈyː	0.07
ˈʊ	ˈo	0.069
ˈʊ	ˈøː	0.069
