Ladin	Walloon	probability
f	f	1.0
i	-	1.0
u	uː	1.0
ŋ	-	1.0
ɲ	ɲ	1.0
ʥ	-	1.0
ʧ	s	1.0
a	j	0.091
j	ˈi	0.1
l	l	0.921
s	s	0.91
ʃ	ʃ	0.131
ʒ	ʒ	0.051
ʒ	ʤ	0.591
ʨ	ʧ	0.881
ˈe	ˈøː	0.051
ˈe	w_ˈɛ	0.141
ˈo	-	0.111
a	ɛ	0.142
m	m	0.962
o	-	0.052
r	-	0.12
ˈa	ˈɛ	0.112
ˈu	ˈy	0.302
a	w	0.303
d	-	0.643
j	ˈeː	0.153
n	n	0.533
t	t	0.963
ɡ	-	0.493
ˈe	ˈɔ	0.073
ˈi	ˈiː	0.213
b	b	0.974
k	ʧ	0.074
p	p	0.954
ʃ	-	0.24
ˈe	ˈiː	0.094
ˈe	ˈe	0.164
ˈo	ˈɔ	0.734
ˈɔ	ˈa	0.064
ˈɔ	w_ˈa	0.064
ˈɛ	ˈɛː	0.14
a	a	0.465
e	-	0.955
k	k	0.85
v	f	0.245
v	v	0.715
ˈo	ˈøː	0.155
j	-	0.176
j	ʀ	0.256
k	k_w	0.076
w	-	0.96
ˈa	ˈɔː	0.146
ˈa	ˈa	0.46
ˈe	-	0.206
ˈe	ˈɛ	0.206
ˈɛ	j_ˈɛ	0.066
d	d	0.357
j	j	0.277
ɡ	ɡ	0.507
ˈi	ˈi	0.257
ˈi	ˈɛ	0.507
ˈɔ	ˈoː	0.107
ˈɔ	ˈɔ	0.407
n	-	0.418
o	ɔ	0.948
r	ʀ	0.88
ˈa	ˈɑ̃	0.088
ˈɔ	ˈuː	0.358
ˈɛ	ˈiː	0.138
ˈɛ	ˈɛ	0.158
l	-	0.079
s	ʃ	0.09
ʃ	s	0.629
ʒ	-	0.359
ʨ	s	0.119
ˈa	ˈɛ̃	0.09
ˈu	ˈu	0.199
ˈu	ˈøː	0.499
ˈɛ	ˈe	0.119
ˈɛ	-	0.19
