Latin	Latin	probability
ˈɛ_ɫ	ˈe_r	1.0
ˈɔ_n	ˈu_n	1.0
ˈyː	ʧ_ˈu	1.0
ˈuː	ˈu	1.0
ˈoː_s	ˈo_j	1.0
ˈiː_r	ˈi_r	1.0
ˈe	ˈə	1.0
ˈaː_r	ˈa_r	1.0
ˈau̯	ˈa_v	1.0
ˈae̯	ˈe	1.0
ʊ̃ː_#>	#>	1.0
ʊ_ɫ	ʎ	1.0
ʊ	u	1.0
ɫ_ʊ̃ː_#>	r_#>	1.0
ɪ_m	i_m	1.0
ɛ̃ː_#>	#>	1.0
ɛ̃	i	1.0
ɛ_r	i_r	1.0
ɛ_k	z	1.0
ɔ_r	u_r	1.0
ɔ	u	1.0
tʰ	t	1.0
t_ɛ̃ː	t_i	1.0
sː_ʊ̃ː_#>	s_#>	1.0
s_w	b	1.0
s_k	ʃ_t	1.0
rː	-	1.0
r_ʊ̃ː	r_u	1.0
r_t	r_t	1.0
r_k	r_k	1.0
r_b	r_b	1.0
r_ãː	r_ə	1.0
p_ˈɛ	k_e̯ˈa	1.0
p_ʊ̃ː_#>	p_#>	1.0
oː_s	i	1.0
nː	n	1.0
n_ʊ̃ː_#>	n_#>	1.0
mː	e̯ˈa_m	1.0
lʲː	l	1.0
kː	k	1.0
k_ʊ̃ː_#>	k_#>	1.0
k_ɛ	ʦ_i	1.0
k_r	k_r	1.0
k_a	k	1.0
iː	-	1.0
i_a	i	1.0
i	-	1.0
fː	f	1.0
eː	i	1.0
ãː_#>	#>	1.0
<#_ˈʊ	<#_ˈu	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɫ	<#_l	1.0
<#_w	<#_v	1.0
<#_t	<#_t	1.0
<#_r	<#_a_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_kʷ	<#_ʦ	1.0
<#_h	<#	1.0
<#_a	<#_a	1.0
<#	<#_a	1.0
#>	e_#>	1.0
r	r	0.939
p	p	0.929
ãː	ə	0.902
<#_k	<#_k	0.9
ɛ	i	0.891
ˈiː	ˈi	0.889
ˈʊ	ˈu	0.857
t	t	0.853
n	n	0.838
ɛ̃ː	i	0.793
ʊ̃ː	u	0.783
m	m	0.778
b	b	0.769
s	s	0.727
oː	-	0.727
f	f	0.688
ˈa	ˈa	0.677
ɪ	i	0.667
lʲ	ʎ	0.667
k_t	p_t	0.667
d	d	0.667
aː	-	0.667
ˈɔ	ˈo	0.647
ˈoː	o̯ˈa	0.625
ˈeː	e̯ˈa	0.625
ɫ	l	0.6
k	k	0.571
a	ə	0.556
ˈɪ	e̯ˈa	0.533
ɡ	ɡ	0.526
ˈu	ˈo	0.5
ˈu	-	0.5
uː	u	0.5
uː	-	0.5
j	ʤ	0.5
j	-	0.5
d_i	ʤ	0.5
d_i	ʣ	0.5
w	j	0.476
ˈaː	ˈa	0.467
ˈaː	ˈɨ	0.4
ˈoː	ˈu	0.375
ɡ	ʣ	0.368
ŋ	n	0.364
ŋ	-	0.364
k	ʦ	0.357
ˈɔ	o̯ˈa	0.353
ˈɪ	ˈe	0.333
lʲ	-	0.333
k_t	t	0.333
aː	ə	0.333
ˈɛ	ˈe	0.32
f	ç	0.312
w	w	0.286
ˈɛ	ˈi	0.28
ŋ	ŋ	0.273
oː	u	0.273
ˈeː	ˈi	0.25
d	ʣ	0.25
ˈɛ	ˈa	0.24
ɫ	ʎ	0.24
w	-	0.238
b	-	0.231
m	ɲ	0.222
a	a	0.222
a	-	0.222
s	ʃ	0.212
ɛ̃ː	ə	0.207
ɪ	-	0.2
ˈa	ˈɨ	0.161
ˈa	-	0.161
ɫ	r	0.16
t	ʦ	0.147
ˈʊ	o̯ˈa	0.143
ˈɪ	ˈi	0.133
ˈaː	a	0.133
ɪ	ˈi	0.133
ʊ̃ː	i	0.13
ˈeː	-	0.125
ˈiː	ˈə	0.111
ɛ	-	0.109
ɡ	ʤ	0.105
<#_k	<#	0.1
ãː	i	0.098
ʊ̃ː	ə	0.087
d	-	0.083
ˈɛ	e̯ˈa	0.08
ˈɛ	-	0.08
p	k	0.071
k	ʧ	0.071
s	j	0.061
r	ə	0.061
n	ɲ	0.054
n	n_ˈu	0.054
n	m	0.054
