Limburgish	Alsatian	probability
b	b̥	0.933
b	-	0.065
d	d̥	0.708
d	t	0.194
d	-	0.079
f	f	0.758
f	b̥	0.133
j	t	0.357
j	-	0.268
j	l	0.173
j	j	0.106
j	d̥	0.072
k	kʰ	0.448
k	ʃ	0.184
k	-	0.131
k	k	0.131
k	ɡ̊	0.047
l	l	1.0
m	m	1.0
n	n	0.957
p	f	0.619
p	p͡f	0.238
p	p	0.112
s	ʃ	0.562
s	s	0.433
t	t	0.342
t	s	0.255
t	ʦ	0.203
t	d̥	0.149
t	-	0.037
v	f	0.816
v	-	0.082
v	v	0.064
v	b̥	0.043
x	x	0.447
x	ʃ_t	0.119
x	-	0.108
x	ʃ	0.103
x	k	0.092
z	s	0.795
z	ʃ	0.201
ŋ	ŋ	0.826
ŋ	-	0.138
ə	ə	0.666
ə	-	0.23
ə	i	0.079
ə_x	i	1.0
ɡ	v	1.0
ɣ	ɡ̊	0.723
ɣ	j	0.141
ɣ	v	0.074
ɣ	-	0.059
ɦ	h	1.0
ɪ	i	0.501
ɪː	ˈi	1.0
ʀ	ʁ	0.958
ʃ	ʃ	1.0
ʦ	ʃ	0.251
ˈaː	ˈɒ	0.735
ˈaː	ˈɒː	0.103
ˈaː	ˈe	0.084
ˈaː	ˈaː	0.069
ˈeː	ˈiː	0.241
ˈeː	ˈæː	0.156
ˈeː	ˈi	0.144
ˈeː	ˈæ	0.136
ˈeː	ˈe	0.125
ˈi	ˈeː	0.547
ˈi	ˈɒː	0.153
ˈi	ˈæː	0.153
ˈi	ˈi	0.076
ˈi	ˈəi̯	0.056
ˈiː	ˈiː	0.538
ˈiː	ˈæː	0.242
ˈiː	ˈi	0.16
ˈoː	ˈʊː	0.346
ˈoː	ˈo	0.199
ˈoː	ˈøː	0.199
ˈoː	ˈø	0.124
ˈoː	ˈu	0.086
ˈu	ˈoː	0.813
ˈu	ˈeː	0.186
ˈuː	ˈyː	0.797
ˈuː	ˈøi̯	0.123
ˈuː	ˈoː	0.056
ˈv	f	1.0
ˈyː	ˈiː	0.488
ˈyː	ˈeː	0.245
ˈyː	ˈu	0.081
ˈæ	ˈɒː	0.501
ˈæː	ˈæ	0.66
ˈæː	ˈɒː	0.166
ˈøː	ˈiː	0.536
ˈøː	ˈi	0.177
ˈøː	ˈʊː	0.123
ˈœ	ˈu	0.784
ˈœ	ˈɒ	0.13
ˈœi̯	ˈi	0.367
ˈœi̯	ˈiː	0.242
ˈœi̯	ˈei̯	0.242
ˈœi̯	ˈai̯	0.1
ˈœː	ˈu	1.0
ˈɑ	ˈɒ	0.755
ˈɑ	ˈɒː	0.123
ˈɑ	ˈɛ	0.093
ˈɑː	ˈɒ	0.735
ˈɑː	ˈɒː	0.249
ˈɒː	ˈoː	0.634
ˈɒː	ˈɒ	0.14
ˈɒː	ˈɒː	0.106
ˈɒː	ˈæː	0.1
ˈɔ	ˈo	0.63
ˈɔ	ˈoː	0.113
ˈɔ	ˈʊː	0.109
ˈɔ	ˈu	0.109
ˈɔu̯	ˈɔi̯	0.758
ˈɔu̯	ˈœ	0.095
ˈɔː	ˈʊː	0.882
ˈɔː	ˈo	0.073
ˈɛ	ˈaː	0.232
ˈɛ	ˈeː	0.232
ˈɛ	ˈi	0.166
ˈɛ	ˈiː	0.16
ˈɛ	ˈe	0.096
ˈɛi̯	ˈei̯	0.501
ˈɛː	ˈəi̯	0.703
ˈɛː	ˈi	0.187
ˈɛː	ˈiː	0.091
ˈɛːi̯	ˈəi̯	0.629
ˈɛːi̯	ˈei̯	0.361
ˈɪ	ˈe	0.715
ˈɪ	ˈiː	0.28
ˈɪː	ˈi	0.846
ˈɪː	ˈɒ	0.153
ˈʊ	ˈu	0.501
ˈʊː	ˈʊː	0.267
ˈʊː	ˈu	0.261
ˈʊː	ˈo	0.246
ˈʊː	ˈøː	0.077
ˈʊː	ˈyː	0.061
ˈʏ	w	1.0
ˈʏː	ˈu	0.392
ˈʏː	w	0.226
ˈʏː	ˈi	0.226
β	ʋ	0.821
β	-	0.064
β	w	0.064
β	t	0.055
