Limburgish	Alsatian	probability
b	b̥	0.879
b	-	0.121
d	d̥	0.757
d	t	0.222
f	l_b̥	0.564
f	f	0.365
f	b̥	0.071
i	eː	1.0
j	t	0.481
j	-	0.231
j	l	0.127
j	j	0.115
k	k	0.395
k	kʰ	0.335
k	ʃ	0.159
k	x	0.097
l	l	1.0
m	m	0.958
n	n	0.984
p	f	0.744
p	p͡f	0.144
p	p	0.112
s	ʃ	0.492
s	s	0.398
s	k_s	0.11
t	s	0.322
t	t	0.306
t	ʦ	0.201
t	d̥	0.114
v	f	0.794
v	-	0.087
v	v	0.084
x	ʃ	0.322
x	k	0.314
x	x	0.229
x	j	0.091
z	s	0.762
z	ʃ	0.238
ŋ	ŋ	1.0
ə	ə	0.746
ə	-	0.216
ɡ	v	1.0
ɣ	ɡ̊	0.747
ɣ	j	0.16
ɣ	v	0.059
ɦ	h	0.951
ɪ	i	1.0
ɪː	ˈi	1.0
ʀ	ʁ	0.976
ʃ	ʃ	1.0
ʦ	ʃ	1.0
ˈaː	ˈɒ	0.793
ˈaː	-	0.058
ˈaː	ˈe	0.057
ˈaː	ˈɒː	0.057
ˈeː	ˈiː	0.276
ˈeː	ˈæː	0.12
ˈeː	ˈi	0.111
ˈeː	ˈe	0.111
ˈeː	ˈeː	0.102
ˈeː	-	0.091
ˈeː	ˈɛ	0.091
ˈeː	ˈæ	0.09
ˈi	ˈeː	0.449
ˈi	ˈæː	0.254
ˈi	ˈɒː	0.112
ˈi	ˈəi̯	0.098
ˈi	ˈi	0.087
ˈiː	ˈiː	0.426
ˈiː	ˈæː	0.397
ˈiː	ˈi	0.177
ˈoː	ˈʊː	0.466
ˈoː	ˈo	0.219
ˈoː	ˈøː	0.204
ˈoː	ˈu	0.062
ˈu	ˈoː	0.858
ˈu	ˈeː	0.142
ˈuː	ˈyː	0.806
ˈuː	ˈøi̯	0.104
ˈuː	ˈoː	0.09
ˈv	f	1.0
ˈyː	ˈeː	0.466
ˈyː	ˈiː	0.466
ˈyː	ˈu	0.068
ˈæ	ˈɒː	0.664
ˈæ	ˈe	0.336
ˈæː	ˈæ	0.783
ˈæː	ˈɒː	0.217
ˈøː	ˈiː	0.509
ˈøː	ˈʊː	0.212
ˈøː	ˈi	0.197
ˈøː	ˈe	0.083
ˈœ	ˈu	0.787
ˈœ	ˈɒ	0.146
ˈœ	ˈo	0.067
ˈœi̯	ˈai̯	0.442
ˈœi̯	ˈei̯	0.239
ˈœi̯	ˈi	0.196
ˈœi̯	ˈiː	0.123
ˈœː	ˈu	1.0
ˈɑ	ˈɒ	0.693
ˈɑ	ˈɒː	0.218
ˈɑ	ˈɛ	0.089
ˈɑː	ˈɒ	0.8
ˈɑː	ˈɒː	0.2
ˈɒː	ˈoː	0.721
ˈɒː	ˈɒ	0.169
ˈɒː	ˈæː	0.075
ˈɔ	ˈo	0.465
ˈɔ	ˈʊː	0.251
ˈɔ	ˈu	0.173
ˈɔ	ˈoː	0.112
ˈɔu̯	ˈɔi̯	0.481
ˈɔu̯	ˈyː	0.26
ˈɔu̯	ˈœ	0.26
ˈɔː	ˈʊː	0.653
ˈɔː	ˈu	0.267
ˈɔː	ˈo	0.08
ˈɛ	ˈi	0.621
ˈɛ	ˈiː	0.155
ˈɛ	ˈe	0.142
ˈɛ	ˈaː	0.059
ˈɛi̯	ˈei̯	1.0
ˈɛː	ˈəi̯	0.705
ˈɛː	ˈi	0.14
ˈɛː	ˈu	0.078
ˈɛː	ˈiː	0.076
ˈɛːi̯	ˈəi̯	0.679
ˈɛːi̯	ˈei̯	0.321
ˈɪ	ˈe	0.944
ˈɪ	ˈiː	0.056
ˈɪː	ˈi	0.907
ˈɪː	ˈɒ	0.093
ˈʊ	ˈu	1.0
ˈʊː	ˈu	0.391
ˈʊː	ˈo	0.283
ˈʊː	ˈʊː	0.145
ˈʊː	ˈeː	0.079
ˈʊː	ˈoː	0.059
ˈʏ	ˈi	1.0
ˈʏː	ˈi	0.591
ˈʏː	w	0.207
ˈʏː	ˈu	0.201
β	ʋ	0.878
β	w	0.089
