North Frisian	Swabian	probability
b	b	0.944
b	-	0.056
d	d	0.876
dʲ	d	1.0
f	f	0.854
f	b	0.146
h	h	0.968
i	ɪ	0.71
i	i	0.217
i	-	0.072
j	ɡ	0.463
j	-	0.317
j	ˈəi̯	0.167
k	kʰ	0.284
k	ç	0.256
k	ɡ	0.196
k	x	0.175
k	-	0.09
l	l	1.0
lʲ	l	0.895
lʲ	ʌ	0.105
m	m	0.892
m	ʕ	0.108
n	n	0.769
n	-	0.124
n	a	0.107
nʲ	n	0.761
nʲ	ɡ	0.168
nʲ	d	0.071
p	f	0.784
p	b̥	0.173
r	ʕ	0.499
r	ʁ	0.378
r	ʌ	0.086
s	s	0.617
s	ʃ	0.291
s	-	0.059
t	d	0.498
t	ʦ	0.279
t	s	0.222
tʲ	s	0.825
tʲ	d	0.175
v	ʋ	0.567
v	b	0.172
v	-	0.149
v	f	0.111
w	ɡ	0.418
w	ˈae̯	0.375
w	x	0.207
x	ç	0.515
x	x	0.485
z	s	0.83
z	ʁ	0.146
ŋ	ŋ	0.721
ŋ	ɡ	0.279
ə	a	0.515
ə	ʌ	0.274
ə	-	0.199
ɛi̯	eə̯	1.0
ɡ	ɡ	1.0
ʃ	ʃ	0.891
ʃ	kʰ	0.103
ˈa	ˈiː	0.219
ˈa	ˈa	0.148
ˈa	ˈu	0.117
ˈa	ˈi	0.114
ˈa	ˈe	0.089
ˈa	ˈɪ	0.088
ˈa	-	0.083
ˈa	ˈəi̯	0.067
ˈai̯	ˈe	0.5
ˈai̯	ˈɪ	0.261
ˈai̯	ˈəi̯	0.159
ˈai̯	ˈae̯	0.08
ˈaː	ˈɔ	0.481
ˈaː	ˈɪ	0.201
ˈaː	ˈoː	0.135
ˈaː	ˈo	0.113
ˈaː	ˈi	0.069
ˈeː	ˈɛ	0.25
ˈeː	ˈa	0.202
ˈeː	ˈe	0.157
ˈeː	ˈi	0.155
ˈeː	ˈɛː	0.1
ˈeː	ˈɔː	0.078
ˈeː	ˈaː	0.059
ˈi	ˈəi̯	0.385
ˈi	ˈeː	0.337
ˈi	ˈɪ	0.098
ˈi	ˈi	0.086
ˈi	ˈɛː	0.058
ˈiː	ˈɔe̯	0.261
ˈiː	ˈeː	0.162
ˈiː	ˈiː	0.117
ˈiː	ˈɛ	0.108
ˈiː	ˈiə̯	0.104
ˈiː	ˈae̯	0.102
ˈiː	j	0.058
ˈuː	ˈao̯	0.36
ˈuː	ˈoː	0.239
ˈuː	ˈa	0.231
ˈuː	ˈae̯	0.095
ˈyː	ˈao̯	0.32
ˈyː	ˈo	0.171
ˈyː	ˈoː	0.148
ˈyː	ˈaː	0.088
ˈyː	ˈae̯	0.08
ˈyː	-	0.058
ˈyː	ˈəi̯	0.058
ˈøː	ˈao̯	0.343
ˈøː	ʌ	0.235
ˈøː	ˈɔ	0.211
ˈøː	ˈae̯	0.123
ˈøː	ˈoː	0.071
ˈœ	ˈa	0.315
ˈœ	ˈʌ	0.184
ˈœ	ˈoː	0.157
ˈœ	ˈuə̯	0.148
ˈœ	ˈe	0.067
ˈœ	ˈuː	0.051
ˈɒ	ˈa	0.367
ˈɒ	ˈi	0.294
ˈɒ	ˈɔe̯	0.182
ˈɒ	ˈaː	0.076
ˈɒː	ˈa	0.841
ˈɒː	ˈɔe̯	0.09
ˈɒː	ˈaː	0.07
ˈɔ	ˈɔ	0.559
ˈɔ	ˈi	0.321
ˈɔ	-	0.12
ˈɔi̯	ˈɔe̯	1.0
ˈɔu̯	ˈoː	0.463
ˈɔu̯	ˈo	0.266
ˈɔu̯	ˈi	0.089
ˈɔu̯	ˈa	0.087
ˈɔu̯	ˈuə̯	0.065
ˈɔː	ˈɔː	0.501
ˈɔː	ˈɔ	0.19
ˈɔː	ˈi	0.084
ˈɔː	ˈu	0.084
ˈɛ	ˈe	0.33
ˈɛ	ˈuə̯	0.257
ˈɛ	ˈiə̯	0.224
ˈɛ	ˈʌ	0.19
ˈɛi̯	ˈɛː	0.219
ˈɛi̯	ˈiː	0.174
ˈɛi̯	ˈoː	0.174
ˈɛi̯	ˈeə̯	0.17
ˈɛi̯	ˈaː	0.161
ˈɛi̯	ˈɔː	0.102
ˈɛː	ˈɛ	0.422
ˈɛː	ˈɔː	0.239
ˈɛː	ˈɔe̯	0.132
ˈɛː	ˈaː	0.109
ˈɛː	ˈɛː	0.099
ˈʊ	ˈa	0.355
ˈʊ	ˈo	0.353
ˈʊ	ʋ_ˈo	0.072
ˈʊ	ˈɪ	0.071
ˈʊ	ˈu	0.069
ˈʊ	ˈe	0.055
ˈʏ	ˈɛ	0.225
ˈʏ	ˈao̯	0.212
ˈʏ	ˈu	0.212
ˈʏ	ˈəi̯	0.212
ˈʏ	ˈo	0.138
