Gothic	Gothic	probability
ˈɔː_θ	ˈɪə̯	1.0
ˈɔ_r	ˈoə̯	1.0
ˈɔ	-	1.0
ˈuː	-	1.0
ˈi_ɡ	ˈɛi̯	1.0
ˈi_j	ˈøə̯	1.0
ˈa_t	ˈɛ_t	1.0
ˈa_l	ˈɔː	1.0
ʍ	ʋ	1.0
ɣ	-	1.0
ɡʷː	ˈuː	1.0
ɡʷ	-	1.0
ɡ_s_#>	#>	1.0
ɔː	-	1.0
ð	d	1.0
z	-	1.0
x	-	1.0
u	-	1.0
s_t	s_t	1.0
s_l	s_l	1.0
s_#>	#>	1.0
r_u	ə	1.0
p	p	1.0
nː	n	1.0
n_s	n	1.0
n_d	n	1.0
n_#>	#>	1.0
m	m	1.0
lː	l	1.0
l_s	l	1.0
l	l	1.0
kʷ	k	1.0
j_a	ə	1.0
j	j	1.0
iː	-	1.0
h_s	χ	1.0
f_#>	#>	1.0
f	f	1.0
e	ə	1.0
a_r	r	1.0
a_#>	#>	1.0
<#_θ	<#	1.0
<#_ˈu	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#_h	<#	1.0
#>	t_#>	1.0
t	t	0.905
a	ə	0.893
n	n	0.889
r	r	0.84
k	k	0.812
b	b	0.812
ˈoː	ˈuə̯	0.778
ŋ	ŋ	0.778
d	d	0.769
ˈiː	ˈi	0.714
h	h	0.708
w	ʋ	0.65
β	-	0.6
oː	ə	0.583
ɡ	-	0.538
i	-	0.5
ɡ	ɡ	0.462
ˈɛ	-	0.429
ˈeː	-	0.429
oː	-	0.417
β	ˈaː	0.4
ˈiu̯	-	0.4
ˈi	ˈɪ	0.393
ˈɔː	ˈɪə̯	0.375
ˈɔː	-	0.375
s	s	0.35
ˈa	ˈa	0.345
θ	-	0.333
ˈɛː	ˈiə̯	0.333
ˈɛː	-	0.333
ˈu	ˈɔ	0.312
ˈu	-	0.312
s	r	0.3
ˈɛ	ˈɛ	0.286
ˈɛ	ˈiə̯	0.286
ˈiː	ˈɛ_j	0.286
ˈeː	ˈoə̯	0.286
ˈeː	ˈiə̯	0.286
θ	d̥	0.278
ˈɔː	j	0.25
ˈu	ˈu	0.25
i	ˈyː	0.25
i	v_ə	0.25
d	-	0.231
ˈoː	-	0.222
ŋ	-	0.222
ˈa	ˈaː	0.207
ˈiu̯	ˈɪə̯	0.2
ˈiu̯	ˈɔ	0.2
ˈiu̯	ˈiː	0.2
w	v	0.2
k	k_ə	0.188
b	-	0.188
ˈi	ˈi	0.179
ˈi	-	0.179
ˈa	ˈɪə̯	0.172
θ	t	0.167
ˈɛː	ˈeː	0.167
ˈɛː	ˈaː	0.167
h	χ	0.167
w	-	0.15
s	χ	0.15
s	d̥	0.15
ˈi	ˈiː	0.143
ˈa	-	0.138
ˈu	ˈuː	0.125
h	-	0.125
θ	ˈɪə̯	0.111
θ	d	0.111
n	-	0.111
ˈi	ˈɔ	0.107
a	-	0.107
t	-	0.095
r	ˈɪ_r	0.08
r	-	0.08
ˈa	ˈɛ	0.069
ˈa	ˈɔː	0.069
