Latvian	Slovak	probability
ʧ	ʃ	1.0
ʣ	ʒ	1.0
ʎ	ʎ	1.0
ʃ	-	1.0
ɡ̊	x	1.0
æː	-	1.0
w	ʋ	1.0
v	ʋ	1.0
uː	i	1.0
u	-	1.0
r̩	r	1.0
r	r	1.0
l̩	ɫ_ɔ	1.0
iː	i	1.0
i_s	ɪ̯a	1.0
i_r	r̩	1.0
i_l	ɫ̩	1.0
d̥	d̥	1.0
d_u	d̥	1.0
b̥	b̥	1.0
b_i	f	1.0
b	b	1.0
ai̯	ɪ̯ɛ	1.0
a_r	r_a	1.0
z	z	0.834
m	m	0.824
i	-	0.76
iɛ̯	ɛ	0.725
ɡ	ɦ	0.67
d	ɟ	0.579
ʦ	-	0.577
aː	-	0.574
p	p	0.563
ɛ	ɛ	0.555
z̥	-	0.515
æ	-	0.514
au̯	u	0.506
au̯	-	0.494
æ	ɔ	0.486
z̥	z̥	0.485
p	-	0.437
t	t	0.43
s	s	0.426
aː	ɔ	0.426
ʦ	k	0.423
n	n	0.422
d	d	0.421
k	k	0.404
uɔ̯	u	0.369
uɔ̯	-	0.353
a	a	0.352
ɛ	a	0.341
ɡ	-	0.33
k	-	0.314
n	-	0.301
t	c	0.296
k	ʧ	0.282
uɔ̯	uː	0.278
n	ɲ	0.277
t	-	0.275
iɛ̯	-	0.275
a	ɔ	0.272
l	ʎ	0.264
l	ɫ	0.261
a	ɛ	0.257
i	c	0.24
s	iː	0.236
l	ɫ̩	0.216
m	-	0.176
z	-	0.166
l	l	0.158
s	ɔ	0.128
s	x	0.125
a	-	0.118
ɛ	-	0.104
l	-	0.102
s	-	0.085
