Lower Sorbian	Polish	probability
ʒ	ʐ	1.0
ʑ	ʥ	1.0
ʐ̊	ʐ̊	1.0
ʐ	ʐ	1.0
ʂ	r	1.0
ɲ	ɲ	1.0
ɡ̊	ɡ̊	1.0
ɡʲ	-	1.0
ɡ	ɡ	1.0
ɕ_i	ʐ̊_ɨ	1.0
ɔ_v	ɔ_v	1.0
z̥	z̥	1.0
x	x	1.0
w	w	1.0
v_ɛ	v_ɔ	1.0
t͡ʂ	-	1.0
s_a	s_a	1.0
rʲ	ʐ	1.0
r	r	1.0
pʲ	p_j	1.0
p	p	1.0
nʲ	ɲ	1.0
n	n	1.0
mʲ	m_j	1.0
m	m	1.0
l	l	1.0
kʲ	k	1.0
k_ɛ	k_ɔ	1.0
k_a	k_a	1.0
j	-	1.0
i	i	1.0
f	f	1.0
d̥	d̥	1.0
d	d	1.0
b̥	b̥	1.0
bʲ	b_j	1.0
b	b	1.0
k	k	0.908
t	t	0.9
v	v	0.854
ɨ	ɨ	0.825
a	a	0.812
e	ɛ	0.791
vʲ	v_j	0.735
ɔ	ɔ	0.697
z	z	0.665
ʦ	ʦ	0.646
ɕ	ʨ	0.644
ɛ	ɛ	0.555
s	s	0.55
ʨ	ʨ	0.5
ʨ	-	0.5
u	u	0.483
ɪ	a	0.475
s	ɕ	0.45
ʦ	ʈ͡ʂ	0.354
z	ʑ	0.335
ɛ	ɔ	0.283
ɪ	ɛ	0.264
ɪ	ɛ_w̃	0.261
ɔ	u	0.25
ɕ	ɲ_ʨ	0.226
e	-	0.209
a	ɛ	0.188
ɛ	a	0.162
v	-	0.146
u	ɔ_w̃	0.146
vʲ	v	0.133
vʲ	f	0.132
ɕ	-	0.13
t	-	0.1
ɨ	ɛ	0.097
u	ɛ_ŋ	0.093
u	ɔ_m	0.093
u	ɔ	0.093
u	-	0.093
k	-	0.092
ɨ	i	0.078
ɔ	ɛ	0.053
