Teochew	Teochew	probability
⁵⁵	˦	1.0
⁵²	˧˥	1.0
⁴⁴	˦	1.0
⁴_#>	#>	1.0
ʨʰ	ʦʰ	1.0
ʣ	ȵ	1.0
ɡ	ŋˠ	1.0
ŋ̍	ɦ_w_ɑ	1.0
¹¹	˥˩	1.0
³³	˦	1.0
²⁴	˦	1.0
²¹³	˥˩	1.0
²_#>	#>	1.0
ũ	ɛ	1.0
u_j	u_ɪ	1.0
t_o	ʈˠ	1.0
p̚	p̚	1.0
õ	ɐ	1.0
o_w	u_o	1.0
m	m	1.0
l	l	1.0
h_w	p_ɨ	1.0
ẽ	æ_ŋ	1.0
a_ŋ	u_ŋ	1.0
a_j	ʌ_i	1.0
<#_ʦʰ	<#	1.0
<#_ʦ	<#	1.0
<#_ɡ	<#_ŋ	1.0
<#_l	<#_n	1.0
<#_kʰ	<#	1.0
³⁵	˧˥	0.778
kʰ	kʰ	0.778
k̚	k̚	0.714
pʰ	-	0.667
b	m	0.667
k	k	0.615
n	-	0.6
ã	n	0.6
a_w	ə_u	0.6
j	i	0.588
p	p	0.583
ʦʰ	ʦʰ	0.571
tʰ	tʰ	0.571
u	ɨ_u	0.533
ʦ	ʦ	0.5
ʔ	t̚	0.5
s	s	0.5
ĩ	e_n	0.5
ĩ	e	0.5
h	ɦ	0.5
<#	<#_ɦ	0.5
ŋ	n	0.455
i	ɪ	0.435
ʦʰ	ʨʰ	0.429
ɯ	ɑ	0.429
tʰ	d	0.429
h	h	0.417
ã	ŋ	0.4
a_w	ɑ_u	0.4
ŋ	ŋ	0.394
w	u	0.381
ʔ	k̚	0.357
pʰ	pʰ	0.333
b	mˠ	0.333
i	ɨ	0.304
ɯ	ɨ_ʌ	0.286
ɯ	ɨ	0.286
k̚	t̚	0.286
o	u	0.278
ʦ	ʈ	0.25
p	b	0.25
<#	<#_ʔ	0.25
<#	<#_ŋ	0.25
w	ʉ	0.238
w	w	0.238
k	ɡ	0.231
³⁵	˥˩	0.222
t	ʈ	0.222
t	ɖˠ	0.222
t	t	0.222
t	d	0.222
kʰ	kʰˠ	0.222
u	ɨ	0.2
s	ɕ	0.2
n	ɳ	0.2
n	lˠ	0.2
e	ɨ	0.182
e	a	0.182
j	e	0.176
i	i_e	0.174
p	pˠ	0.167
o	-	0.167
a	ɨ	0.167
a	ɑ	0.167
a	ɐ	0.167
k	ɡˠ	0.154
ʔ	ʌ_k̚	0.143
w	i	0.143
e	i	0.136
e	e	0.136
u	ɐ	0.133
u	u	0.133
a	i	0.133
a	a	0.133
ʦ	ʑ	0.125
ʦ	ɕˠ	0.125
j	ɨ	0.118
j	-	0.118
t	ʤ	0.111
o	ɑ_u	0.111
o	ɑ	0.111
o	o	0.111
o	e_u	0.111
o	e	0.111
s	ʃˠ	0.1
s	ʃ	0.1
s	sˠ	0.1
a	ʌ	0.1
ŋ	u_ŋ	0.091
e	ə	0.091
e	ɑ	0.091
e	æ	0.091
e	-	0.091
i	e	0.087
h	hˠ	0.083
a	u	0.067
a	e	0.067
ŋ	ə_n	0.061
