Italian	Italian	probability
ˈɔ_kː	ˈu	1.0
ˈu_tː	ˈu_t	1.0
ˈu_r	ˈy	1.0
ˈa_r_e_#>	ˈa_#>	1.0
ʧː	s	1.0
ʧ_e	ʦ	1.0
ʧ	-	1.0
ʦː	ʦ	1.0
ʣː	ˈe_j	1.0
ʃː	j_ʃ	1.0
ɲː	ɲ	1.0
ɡ_o_#>	k_#>	1.0
ŋ	ŋ	1.0
z	z	1.0
w	-	1.0
v_e	w	1.0
tː_i	mː	1.0
t_ˈa	t_ˈa	1.0
t_r	t_e	1.0
sː_o	j	1.0
sː	s	1.0
rː	-	1.0
r_t	r_t	1.0
r_n	r	1.0
r_k	r_k	1.0
p_o_#>	#>	1.0
p_e	β	1.0
o_n	u_n	1.0
o_l	l	1.0
o_#>	#>	1.0
nː	-	1.0
n_t_o_#>	n_#>	1.0
n_t_e_#>	n_#>	1.0
n_e	ŋ	1.0
n_a	ɔ	1.0
mː	-	1.0
m	m	1.0
l_e_#>	w_#>	1.0
kː_a	k_ɔ	1.0
kː	ˈe	1.0
k_o_#>	k_#>	1.0
k	k	1.0
j_ˈɛ	ˈɛ	1.0
i_k	e_ɣ	1.0
fː	f	1.0
f	h	1.0
e_r	ɾ	1.0
e_#>	#>	1.0
dː	t	1.0
d_ˈe	ð	1.0
d_o	t	1.0
a_t	a_ð	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_s	1.0
<#_t	<#_t	1.0
<#_r	<#_a_r	1.0
<#_o	<#_a_w	1.0
<#_n	<#_n	1.0
<#	<#_a	1.0
<#_l	<#_l	0.905
ˈu	ˈy	0.9
p	p	0.9
ˈi	ˈi	0.886
ˈa	ˈa	0.882
ˈe	ˈe	0.867
s	s	0.81
ʎː	ʎ	0.75
tː	t	0.75
b	b	0.75
a	ɔ	0.728
v	b	0.724
r_e_#>	#>	0.708
ˈo	ˈu	0.676
r	ɾ	0.676
o	u	0.667
j_o_#>	ʎ_#>	0.667
ɡ	ɡ	0.647
lː	t	0.643
ʤ	ʒ	0.632
j	l	0.619
i_#>	#>	0.571
d	d	0.552
t	t	0.55
i	e	0.533
ˈɛ	ˈɛ	0.525
e	e	0.515
ʤː	ʒ	0.5
ʤː	j	0.5
w_ˈɔ	ˈɔ	0.5
w_ˈɔ	ˈu	0.5
w_ˈa	ˈa	0.5
w_ˈa	w_ˈa	0.5
u	y	0.5
u	a_w	0.5
r_o	e	0.5
n	n	0.455
l	w	0.429
i_#>	s_#>	0.429
n	ŋ	0.424
l	l	0.381
ˈɛ	ˈe	0.375
lː	l	0.357
ˈɔ	ˈɔ	0.353
ɡ	ɣ	0.353
t	ð	0.35
j_o_#>	#>	0.333
#>	ɔ_#>	0.333
#>	s_#>	0.333
r	r	0.324
r_e_#>	e_#>	0.292
v	β	0.276
d	-	0.276
i	i	0.267
ʎː	-	0.25
tː	j_t	0.25
r_o	ɾ_e	0.25
r_o	w_r	0.25
a	a	0.235
i	-	0.2
s	e_s	0.19
l	-	0.19
e	-	0.182
ˈɔ	ˈa_w	0.176
ˈɔ	w_ˈe	0.176
o	ʎ	0.167
o	w	0.167
#>	w_#>	0.167
#>	e_#>	0.167
ʤ	-	0.158
b	β	0.15
ˈo	-	0.147
ˈe	-	0.133
n	-	0.121
ˈi	-	0.114
ʤ	z	0.105
ʤ	h	0.105
d	ð	0.103
ˈɛ	j	0.1
ˈu	ˈu	0.1
t	-	0.1
p	β	0.1
b	-	0.1
j	ˈɛ	0.095
j	w_t	0.095
j	j	0.095
j	-	0.095
<#_l	<#_ʎ	0.095
ˈɔ	ˈa	0.088
ˈɔ	w	0.088
d	j	0.069
e	ˈe	0.061
e	w	0.061
e	j	0.061
e	i	0.061
e	d_ɾ	0.061
ˈɔ	ˈy	0.059
ˈɔ	ˈu	0.059
ˈo	ˈy	0.059
ˈo	z_ˈa	0.059
ˈo	u	0.059
