Latin	Lombard	probability
h	-	1.0
j	ʤ	1.0
lʲː	l	1.0
o	y	1.0
sː	s	1.0
tː	t	1.0
ɪ̃	-	1.0
ˈae̯	ˈe	1.0
ˈi	ˈi	1.0
ˈĩː	ˈi	1.0
ˈɛ̃ː	ˈi	1.0
aː	a	0.491
b	f	0.081
b	-	0.231
e	ɲ	0.611
iː	-	0.451
k	s	0.21
kː	k	0.571
l	j	0.181
lʲ	-	0.831
t	ʦ	0.071
t	-	0.331
ŋ	ˈãː	0.541
ɡ	-	0.321
ɪ	ã	0.051
ɪ	-	0.601
ʊ	j	0.131
ˈiː	ˈi	0.491
ˈoː	ˈyː	0.331
ˈu	ˈu	0.401
ˈuː	ˈu	0.101
ˈɔ	ˈũː	0.161
ˈʊ	ˈuː	0.051
ˈʊ	ˈu	0.361
d	-	0.172
k	k	0.282
l	-	0.22
m	-	0.12
rː	-	0.182
w	ʋ	0.652
ɔ	e	0.452
ɡ	ɡ	0.202
ɫ	j	0.062
ʊ	o	0.062
ˈa	-	0.132
ˈu	ˈø	0.22
ˈuː	ˈy	0.712
ˈɔ	ˈøː	0.072
ˈɛ	ˈɛ	0.542
a	-	0.33
a	a	0.463
aː	-	0.093
b	b	0.63
f	f	0.983
iː	ĩ	0.33
n	ɲ	0.063
n	n	0.423
nː	m	0.753
oː	u	0.13
oː	-	0.453
u	ˈu	0.803
ɛ	ˈi	0.073
ɛ	ˈɛ	0.133
ɛ̃ː	a	0.543
ɡ	ʧ	0.133
ɡ	ʤ	0.33
ɡʷ	w	0.803
ˈaː	ˈa	0.73
ˈeː	ˈeː	0.103
ˈeː	ˈɛ	0.3
ˈeː	ˈe	0.43
ˈiː	ˈĩː	0.303
ˈoː	ˈũː	0.143
ˈɔ	ˈo	0.063
ˈɔ	ˈø	0.173
ˈɪ	ˈẽː	0.13
ˈɪ	ˈe	0.393
au̯	a	0.24
aː	ˈaː	0.104
ãː	-	0.14
d	d	0.674
e	e	0.134
e	-	0.254
i	j	0.274
k	-	0.224
lʲ	ˈi	0.154
p	-	0.304
r	-	0.394
r	r	0.564
uː	u	0.184
ɔ	-	0.064
ɛ	e	0.134
ɛ	-	0.24
ɛ̃ː	ẽ	0.114
ɛ̃ː	u	0.124
ˈau̯	ˈu	0.224
ˈaː	ˈãː	0.154
ˈo	-	0.714
ˈɔ	ˈɔ	0.444
ˈʊ	ˈũː	0.444
a	ã	0.085
ae̯	-	0.135
ae̯	i	0.865
eː	j	0.445
eː	u	0.555
kʷ	ʧ	0.255
kʷ	k	0.745
p	p	0.65
ŋ	ɡ	0.195
ɔ	ũ	0.115
ɛ̃ː	e	0.175
ɪ	u	0.115
ˈeː	ˈɔ	0.095
ˈɛ	ˈɛ̃ː	0.095
ˈɛ	ˈe	0.175
ˈɪ	ˈeː	0.065
au̯	u	0.76
ãː	a	0.86
k	ʧ	0.176
t	t	0.346
ŋ	-	0.136
ʊ̃ː	-	0.946
ˈa	ˈãː	0.156
ˈa	ˈa	0.596
ˈau̯	ˈɔ	0.776
ˈo	ˈøː	0.286
ˈoː	ˈo	0.156
ˈɔ	ˈu	0.066
ˈɪ	ˈy	0.06
ˈʊ	ˈyː	0.056
aː	w	0.097
aː	ˈa	0.167
iː	i	0.067
nː	n	0.247
s	ʃ	0.127
s	-	0.167
t	d	0.17
u	-	0.197
w	f	0.17
ɡʷ	k	0.197
ʊ	-	0.807
ˈiː	-	0.077
ˈuː	ˈi	0.097
ˈɪ	-	0.207
iː	ˈĩː	0.108
m	m	0.88
oː	ˈũː	0.328
rː	r	0.818
uː	-	0.508
ɛ	i	0.068
ɛ	a	0.248
ɪ	e	0.208
ˈa	ˈaː	0.058
ˈoː	ˈu	0.118
ˈɛ	ˈẽː	0.128
ˈɪ	ˈa	0.118
d	ʦ	0.099
i	-	0.689
kː	-	0.079
kː	ʧ	0.349
l	l	0.599
n	-	0.479
oː	o	0.089
s	s	0.669
uː	ˈy	0.309
w	-	0.179
ŋ	n	0.09
ɔ	u	0.369
ɫ	-	0.329
ɫ	l	0.609
ˈaː	-	0.059
ˈoː	ˈɔ	0.089
ˈoː	ˈɛ	0.089
ˈu	ˈyː	0.379
ˈʊ	ˈø	0.089
