Gascon	Campidanese	probability
b	b	1.0
h	f	1.0
p	p	1.0
ʤ	ɣ	1.0
ʦ	ʒ_i	1.0
ˈo	ˈo	1.0
ˈy	ˈu	1.0
e	e_r	0.11
l	-	0.151
l	l	0.651
t	t	0.541
z	ʒ	0.461
ŋ	n	0.11
ɔ	a	0.921
ɡ	ɡ_w	0.131
ɲ	n_ʤ	0.371
ɾ	r	0.891
ˈi	ˈi_n	0.121
ˈu	ˈo	0.671
ˈɔ	ˈo	0.841
d	-	0.072
i	i_n	0.392
k	k	0.752
r	rː_u	0.052
r	r	0.822
s	ʧ	0.142
s	s	0.572
w	-	0.272
ŋ	ŋ	0.262
ʎ	j	0.122
ʒ	-	0.272
ˈa	ˈa_r	0.092
ˈi	i	0.092
ˈi	ˈi	0.762
ˈɛ	ˈe	0.852
a	a	0.893
k	ɣ_u	0.093
s	z_ŭ	0.053
t	t_i	0.083
ŋ	n_u	0.373
ɡ	ɡ	0.803
ʎ	ʣ	0.603
a	ˈa	0.054
e	r_i	0.114
e	i	0.354
j	-	0.414
l	r	0.14
s	z	0.124
w	l_u	0.094
ð	-	0.194
ŋ	n_i	0.254
ɣ	ɣ	0.924
ʎ	-	0.244
ˈa	ˈa	0.854
ˈe	ˈi	0.34
ˈɛ	ˈi	0.054
ˈɛ	ˈa	0.094
n	n	0.775
e	u	0.116
e	e	0.136
j	u	0.586
r	rː	0.126
u	u	0.136
u	ˈo	0.216
w	w	0.136
w	β_u	0.146
ð	ð	0.806
ɡ	b	0.066
ɣ	-	0.076
ˈu	ˈu	0.306
β	-	0.276
e	i_r	0.067
n	n_t	0.207
w	j	0.07
w	l_i	0.097
w	ɣ_u	0.107
ɾ	-	0.097
ˈe	ˈe	0.627
d	d	0.928
e	r_u	0.068
i	i	0.608
l	ɖː	0.058
t	ɖː_u	0.108
t	ð_u	0.118
t	t_u	0.118
k	k_u	0.059
m	m	0.919
u	o	0.649
w	u	0.079
z	z	0.539
ɲ	ɲː	0.629
ʒ	j	0.139
ʒ	ʤ	0.589
ˈɔ	ˈo_r	0.159
β	β	0.689
