Gothic	Swabian	probability
θ_iː	d	1.0
β	b	1.0
ˈɛ_h	ˈeə̯	1.0
ˈa_n	ˈaː	1.0
ʍ	ʋ	1.0
ɣ	ɡ	1.0
ɡʷː	ˈae̯	1.0
ɡʷ	-	1.0
ɡ	ɡ	1.0
ɔː	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
ð	d	1.0
z	-	1.0
x	ɡ	1.0
u	-	1.0
s_t	ʃ_d	1.0
s_k	ʃ	1.0
p_e	b̥͡f	1.0
p	f	1.0
oː	-	1.0
nː	-	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kʷ	-	1.0
j_a	a	1.0
iː	-	1.0
i	-	1.0
h_t	x_d	1.0
d	d	1.0
b	b	1.0
aː	-	1.0
a_r	ʌ	1.0
θ	d	0.944
w	ʋ	0.888
f	f	0.854
a	a	0.842
ˈu	ˈo	0.804
n	n	0.746
ˈɛ	ˈɛ	0.738
ˈoː	ˈuə̯	0.701
r	ʕ	0.674
ˈɛː	ˈɔe̯	0.662
s	s	0.631
ˈeː	ˈɔː	0.628
ˈa	ˈa	0.608
ˈuː	ˈao̯	0.605
h	h	0.598
t	s	0.575
ˈiː	ˈəi̯	0.563
j	-	0.523
ˈiu̯	-	0.522
ˈiu̯	ˈiə̯	0.478
j	j	0.477
k	ç	0.466
ˈɔ	ˈo	0.446
ˈiː	ˈae̯	0.437
ˈuː	-	0.395
ˈeː	-	0.372
ˈɛː	-	0.338
ˈɔ	-	0.333
t	ʦ	0.333
ˈɔː	ˈoː	0.311
ˈoː	ˈɔə̯	0.299
k	kʰ	0.286
s	ʃ	0.267
ˈɛ	-	0.262
k	-	0.248
ˈɔː	ˈao̯	0.237
h	-	0.23
ˈɔː	ˈeː	0.226
ˈɔː	-	0.226
r	ʁ	0.225
ˈɔ	ˈoː	0.221
ˈi	ˈi	0.213
ˈi	ˈe	0.199
ˈu	-	0.196
ˈa	ˈɛ	0.183
ˈi	ˈɛ	0.176
h	x	0.172
ˈi	ˈɪ	0.171
n	a	0.148
f	b	0.146
ˈa	-	0.121
w	-	0.112
n	-	0.106
s	-	0.102
r	ʌ	0.101
t	d	0.092
ˈa	ˈaː	0.088
a	ɡ_a	0.079
ˈi	ˈeː	0.074
ˈi	-	0.074
θ	-	0.056
