Swiss German	Swiss German	probability
χː_ə	k	1.0
χː_sː_#>	s_#>	1.0
χː_#>	k_#>	1.0
ˈøː	ˈøː	1.0
ˈøi̯	-	1.0
ˈæː	-	1.0
ˈyː_#>	ˈɛːɪ̯_#>	1.0
ˈei̯	ˈɛːɪ̯	1.0
ˈe	-	1.0
ʦ	t	1.0
ʒ̊	s	1.0
ɣ̊	k	1.0
ɡ̊	ɡ	1.0
ə_r	ɐ	1.0
ŋ_#>	n_d̥_#>	1.0
ŋ	ŋ	1.0
æ	ɑɪ̯	1.0
z̥_#>	z̥_#>	1.0
z̥	z	1.0
w	l	1.0
v̥	f	1.0
tː_ə	d_n	1.0
tː_r	d_r	1.0
sː_ə	t_n	1.0
sː	t	1.0
p͡f	p	1.0
n_ə	n	1.0
n_d̥	n	1.0
n	n	1.0
m	m	1.0
l	l	1.0
kː_ə	k_n	1.0
j	j	1.0
i_ɡ̊	ɡ̊	1.0
h	h	1.0
fː_#>	f_#>	1.0
fː	p	1.0
d̥	d̥	1.0
b̥_ə	v	1.0
b̥_#>	v̥_#>	1.0
b̥	b	1.0
<#_ʦ	<#_t	1.0
<#_ɡ̊	<#	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_d̥	<#_d	1.0
#>	n_#>	0.875
ʋ	v	0.852
ˈæi̯	ˈæɪ̯	0.818
ˈi	ˈɪ	0.818
ˈuː	ˈuː	0.8
ɡ̊_#>	ɣ̊_#>	0.8
ˈyː	-	0.769
ˈuə̯	ˈɑʊ̯	0.727
ˈiː	ˈiː	0.727
ˈoː	ˈoː	0.692
χː	χ	0.667
ˈiə̯	-	0.667
ə	n	0.634
ˈau̯	ˈoː	0.625
r	ɐ	0.625
i	-	0.6
ˈø	ˈɑ	0.5
ˈø	-	0.5
ˈyə̯	ˈɑʊ̯	0.5
ˈyə̯	ˈœy̯	0.5
ˈeː	ˈɛːɪ̯	0.5
ˈeː	-	0.5
ʃː	s_k	0.5
ʃː	s	0.5
kː	ɣ̊	0.5
kː	k	0.5
ˈɒː	ˈɒː	0.438
ˈɒ	ˈɑ	0.429
tː	t	0.42
ˈy	ˈʏ	0.4
ˈy	-	0.4
ˈo	ˈɔ	0.4
i	ɐ	0.4
ˈau̯	-	0.375
ˈu	ˈʊ	0.368
ə	-	0.366
χː	k	0.333
ˈiə̯	ˈæː	0.333
tː	d̥	0.3
r	r	0.292
tː	d	0.28
ˈo	ˈoː	0.267
ˈɒː	ˈɑ	0.25
ˈæ	ˈɛ	0.25
ˈæ	ˈeː	0.25
ˈyː	ˈyː	0.231
ˈu	-	0.211
ˈæ	-	0.2
ˈy	ˈæɪ̯	0.2
ˈuː	ˈuːu̯	0.2
ˈo	-	0.2
ɡ̊_#>	#>	0.2
ˈɒː	-	0.188
ˈæi̯	-	0.182
ˈiː	-	0.182
ˈi	-	0.182
ˈɒ	ˈɒː	0.179
ˈoː	ˈɒː	0.154
ˈoː	-	0.154
ʋ	w	0.148
ˈɒ	ˈɑːɑ̯	0.143
ˈɒ	ˈɑː	0.143
ˈo	ˈʊ	0.133
ˈɒː	ˈɔː	0.125
#>	d̥_#>	0.125
ˈu	ˈʏə̯	0.105
ˈu	ˈʊə̯	0.105
ˈu	ˈɔ	0.105
ˈu	ˈœ	0.105
ˈæ	ˈɛə̯	0.1
ˈæ	ˈɑː	0.1
ˈæ	ˈeːe̯	0.1
ˈuə̯	ˈœːy̯	0.091
ˈuə̯	ˈøy̯	0.091
ˈuə̯	ʊ	0.091
ˈiː	ˈiːi̯	0.091
r	-	0.083
ˈɒ	ˈɔ	0.071
