Gothic	Gothic	probability
θ_u	d̥	1.0
ˈɛː_w	ˈɜɪ̯	1.0
ˈiː	ˈæːɪ̯	1.0
ˈi_ɡ	ˈeː	1.0
ˈa_r	ˈaː	1.0
ˈa_l	ˈɑ_l	1.0
ʍ	v	1.0
ɣ	-	1.0
ɡʷː	ˈɑɪ̯	1.0
ɡʷ	-	1.0
ɡ_s	ɡ̊	1.0
ɔː	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
ð	-	1.0
x	ɕ	1.0
s_w	ʃ_w	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
r_u	ɐ	1.0
nː	n	1.0
n_θ	n	1.0
n_d	n	1.0
n_#>	#>	1.0
m	m	1.0
lː	l	1.0
l_θ	l	1.0
l	l	1.0
kʷ	-	1.0
j_a	ə	1.0
iː	-	1.0
h_t	ɕ_t	1.0
f_s	v̥	1.0
e	ə	1.0
d_u	d̥	1.0
d_s	d̥	1.0
d	d	1.0
b	b	1.0
aː	-	1.0
a_r	ɐ	1.0
a_#>	#>	1.0
<#_θ	<#_d	1.0
<#_ˈa	<#_ˈaː	1.0
<#_t	<#_ʦ	1.0
<#_s	<#_z	1.0
<#_r	<#_ʀ	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_h	<#	1.0
n	n	0.964
a	ə	0.905
f	f	0.867
oː	-	0.857
h	h	0.833
θ	d̥	0.818
w	v	0.812
ˈɛː	ˈeː	0.8
p	f	0.778
k	ɕ	0.75
i	-	0.75
ˈiu̯	ˈɜɪ̯	0.667
β	v	0.6
ˈeː	ˈoː	0.6
u	ə	0.6
ɡ	ɡ	0.538
s	ʃ	0.529
r	ɐ	0.522
ˈɛ	ˈɛː	0.5
ˈɛ	ˈiː	0.5
j	ə	0.5
j	j	0.5
r	ʀ	0.478
ˈu	ˈo	0.467
ɡ	-	0.462
ˈɔ	ˈuː	0.429
ˈoː	ˈʊ	0.429
ˈi	ˈə	0.419
β	-	0.4
ˈuː	ˈæːʊ̯	0.4
ˈuː	-	0.4
ˈeː	ˈəʊ̯	0.4
u	-	0.4
t	s	0.364
ˈiu̯	-	0.333
t	t	0.318
ˈa	ˈaː	0.296
ˈɔ	ˈəʊ̯	0.286
ˈɔ	ˈaː	0.286
ˈoː	ˈu	0.286
ˈoː	-	0.286
ˈɔː	ˈɜɪ̯	0.273
ˈɔː	ˈəʊ̯	0.273
ˈɔː	ˈaː	0.273
ˈi	ˈɑ	0.258
ˈi	-	0.258
k	-	0.25
i	ə	0.25
s	ɐ	0.235
t	ʦ	0.227
p	p	0.222
ˈɛː	-	0.2
ˈuː	ˈɑʊ̯	0.2
ˈu	ˈɔ	0.2
ˈu	-	0.2
w	w	0.188
ˈa	ˈɑ	0.185
θ	-	0.182
ˈɔː	ˈuə̯	0.182
h	-	0.167
ˈa	ˈæ	0.148
oː	ɐ	0.143
ˈu	ˈə	0.133
f	ə_f	0.133
s	z̥	0.118
s	-	0.118
ˈa	ˈoː	0.111
a	ɐ	0.095
t	d̥	0.091
ˈa	ˈu	0.074
ˈa	ˈiː	0.074
ˈa	-	0.074
ˈi	ˈo	0.065
