Limburgish	Old West Norse	probability
ˈʏː	-	1.0
ˈʊ	ˈu_ŋ	1.0
ˈɪ_n	nː	1.0
ˈɒː	ˈɑː	1.0
ˈœː	ˈo	1.0
ˈœi̯	ˈyː	1.0
ˈœ	ˈy	1.0
ˈyː	-	1.0
ˈuː	ˈuː	1.0
ˈu	ˈɑu̯	1.0
ʀ_ə	r	1.0
ʀ_t	r_t	1.0
ʀ_d̥	r_ð	1.0
ɣ_ə	ɣ	1.0
ɡ	ʝː	1.0
ə_k	k	1.0
ŋ_k	kː	1.0
ŋ	ŋ	1.0
w	lː	1.0
n_s	c	1.0
n_d	nː	1.0
m	m	1.0
i	ɑː	1.0
b	b	1.0
ɦ	h	0.9
z	s	0.9
t	t	0.884
p	p	0.802
l	l	0.794
v	f	0.774
ˈɛː	ˈɛi̯	0.767
β	v	0.764
ɣ̊	ɣ	0.733
ˈaː	ˈɑ	0.712
ʃ	s_c	0.712
ʀ	r	0.704
ˈiː	ˈiː	0.675
n	n	0.663
ˈɛ	ˈi	0.631
ɣ	ɟ	0.624
ˈæː	ˈɑ	0.62
ˈɑː	ˈɑ	0.612
d̥	ð	0.597
ˈɔu̯	ˈu	0.594
d	d	0.558
ˈɪː	ˈi	0.545
j	ð	0.538
ˈɑ	ˈɑ	0.508
ˈæ	-	0.506
x	tː	0.503
ˈɪ	-	0.5
ˈæ	ˈɑ	0.494
s	s	0.492
ə	ɑ	0.464
v̥	v_r̥	0.46
ˈɔː	-	0.446
ˈɔ	ˈu	0.442
d	θ	0.442
ə_ʀ	i_r̥	0.429
ˈɔu̯	-	0.406
ˈoː	ˈoː	0.404
ˈi	ˈɑː	0.396
ˈøː	ˈøː	0.391
ˈɑː	ˈɔ	0.388
ˈøː	-	0.385
ˈoː	ˈu	0.383
ˈæː	j_ˈɑ	0.38
ˈʊː	ˈu	0.376
ɣ	ˈuː_ɣ	0.376
ˈɔ	-	0.371
ˈɛ	ˈe	0.369
ˈɔː	ˈɑu̯	0.339
k	k	0.332
ˈiː	-	0.325
k	kʰ	0.323
x	k	0.312
ˈʊː	ˈo	0.308
v̥	f_r̥	0.3
ʃ	s_k	0.288
ə_ʀ	ɡ_r̥	0.286
ə_ʀ	r̥	0.286
ˈɪː	-	0.273
ˈɑ	ˈɛ	0.271
ɣ̊	r̥	0.267
ˈɪ	e	0.266
ˈi	-	0.255
ˈʊː	ˈoː	0.242
v̥	v	0.241
d̥	d_r̥	0.24
j	-	0.238
ˈɪ	ˈi	0.234
ˈeː	ˈe	0.23
s	s_k	0.23
v	v	0.226
ˈøː	ˈy	0.224
j	l	0.224
ˈɑ	ˈɑː	0.221
ˈɔː	ˈu	0.215
ˈoː	ˈo	0.213
l	lː	0.206
n	nː	0.199
ə	i	0.198
ˈi	ˈeː	0.19
ˈɔ	ˈɔː	0.187
x	-	0.186
ˈɪː	ˈe	0.182
ˈeː	j_ˈoː	0.182
d̥	d	0.163
ə	-	0.162
ˈi	ˈɛː	0.159
β	x_w	0.151
k	ɡ	0.149
s	s_t	0.147
ˈeː	j_ˈɔ	0.133
s	k	0.131
n	-	0.127
ˈaː	-	0.124
p	pʰ	0.12
k	cʰ	0.119
ˈɛː	ˈɔ	0.117
ˈɛː	ˈi	0.117
ˈeː	-	0.117
ʀ	r̥ː	0.114
ˈeː	ˈeː	0.113
ɦ	ç	0.1
z	s_ˈy	0.1
ˈaː	ˈa	0.095
β	-	0.084
ə	u	0.082
t	tː	0.082
p	pː	0.078
k	c	0.077
ˈʊː	ˈɑː	0.074
ˈeː	j_ˈuː	0.071
ˈeː	j	0.071
ˈaː	ˈɑ_l	0.069
ʀ	r̥	0.059
ə	a	0.056
