Dutch	Icelandic	probability
χ_t	ʰt	1.0
ˈɪ_n	ˈɪ_n	1.0
ˈɔ_n	ˈʏ_n	1.0
ˈœy̯_k	i	1.0
ˈøː	ˈɛː_v	1.0
ˈyː	-	1.0
ɾ_ə	r	1.0
ɾ_t	r̥_t	1.0
ɪ	ɑu̯	1.0
ə_ɾ	ɪ_r̥	1.0
ŋ_k	ʰk	1.0
n_d	nː	1.0
m	m	1.0
j	-	1.0
i	aːu̯	1.0
d_ə	ð	1.0
b	b̥	1.0
ə_n	a	0.941
ɦ	h	0.845
v̥	v	0.843
z	s	0.823
t	t	0.805
ˈɛi̯	ˈiː	0.795
s	s	0.788
v	f	0.782
ˈœy̯	ˈuː	0.769
p	p	0.662
ʋ	v	0.639
ɫ	l	0.619
d̥	ð	0.617
d	θ	0.58
ˈu	ˈoːu̯	0.578
ɾ	r	0.578
ŋ	ŋ	0.532
ˈʏ	ˈɪ	0.53
ˈɑu̯	ˈʏ	0.5
ˈɑu̯	-	0.5
ˈʏ	ˈʏ	0.47
ˈɛ	ˈɛ	0.449
ə	-	0.449
k	k	0.397
ʋ	kʰ_v	0.361
n	n	0.36
ŋ	ŋ_ɡ̊	0.355
ˈaː	-	0.332
ɾ	r̥	0.331
ˈɪ	-	0.315
ˈɑ	ˈa	0.314
d̥	d̥	0.314
d	ð	0.292
ˈɪ	ˈi	0.291
ˈɔ	ˈu	0.284
ˈaː	ˈɑːu̯	0.279
ˈɔ	ˈɔ	0.271
ˈɪ	ˈɪ	0.254
ˈoː	ˈœːy̯	0.245
k	kʰ	0.245
p	ʰp	0.239
ˈoː	-	0.234
ˈœy̯	-	0.231
ˈi	ˈiː	0.229
ˈɔ	ˈʏ	0.225
ˈɔ	-	0.219
ˈu	ˈaːi̯	0.217
ɫ	t͡l̥	0.216
χ	ɡ̊	0.212
ˈoː	ˈɔ	0.206
ˈeː	ˈɛːi̯	0.206
ˈɛi̯	-	0.205
ˈu	-	0.205
ˈɑ	ˈaː	0.198
ˈi	j_ˈoːu̯	0.194
ˈɛ	ˈa	0.192
ˈeː	j	0.178
z	s_j	0.177
ˈeː	-	0.175
k	ʰk	0.169
ˈɑ	ˈɑu̯	0.166
ˈɛ	-	0.164
n	t͡n̥	0.162
χ	c	0.16
v̥	v_ʏ	0.157
v	v	0.157
ɦ	ç	0.155
s	s_k	0.155
ˈi	ˈɛː	0.154
χ	ɟ̊	0.147
ˈaː	ˈa	0.147
ə	ʏ	0.146
ˈeː	ˈɛi̯	0.143
χ	-	0.139
n	nː	0.136
d	d̥	0.128
ˈeː	ˈɪː	0.124
ɫ	l̥	0.122
ə	a	0.122
ˈi	j_ˈuː	0.119
ˈeː	ˈɛː	0.118
ˈɑ	ˈœ	0.115
ˈoː	ˈɔː	0.115
n	-	0.115
ˈi	ˈɑːu̯	0.114
ˈi	-	0.114
ŋ	ɲ	0.114
n	a	0.114
ˈoː	ˈɛːi̯	0.112
p	pʰ	0.099
ˈaː	ˈaː	0.095
ˈɑ	ˈɛ	0.094
t	ʰt	0.094
ə	v	0.093
ə	j	0.093
ˈoː	ˈʏː	0.088
k	cʰ	0.088
ˈaː	ˈœ	0.083
ˈi	j	0.078
t	-	0.073
ˈɪ	ˈɪː	0.07
ˈɪ	j	0.07
χ	ɟ̊ː	0.069
d̥	ʏ_r̥	0.069
ˈɑ	ˈaːi̯	0.068
χ	ɡ̊ː	0.067
ˈɛ	ˈɛː	0.065
ˈɛ	ˈau̯	0.065
ˈɛ	j	0.065
χ	ˈuː	0.063
ˈaː	ˈɔː	0.063
v	-	0.062
ə	ɡ̊_ʏ	0.061
ə_n	ʏ	0.059
ˈeː	ˈœː	0.057
s	s_c	0.057
χ	ɣ	0.051
k	-	0.051
