Proto-Germanic	Proto-Germanic	probability
ˈɑː	-	1.0
ˈɑ_ɣ	ˈaɪ̯	1.0
ˈɑ_x	ˈa_x	1.0
ˈɑ_t	ˈeː_d	1.0
ˈɑ_s	s	1.0
ˈɑ_l	ˈɔa̯_l	1.0
ˈu_ŋ	ˈʊ	1.0
ˈĩː	ˈɛ	1.0
ˈiu̯	-	1.0
ˈeː	ˈɪ	1.0
ɸ	f	1.0
ɣ_j_ɑ_n_ɑ̃_#>	ˈiː_#>	1.0
ɣ_j	ç	1.0
ɣ_i	ɪ	1.0
ɡʷ	-	1.0
ɡ_ɑ̃_#>	#>	1.0
ɡ	ŋ	1.0
ɛː	ɐ	1.0
ɔ̃ː	-	1.0
ɔːː	-	1.0
ɔːu̯	-	1.0
ɔː	-	1.0
ɑ̃_#>	#>	1.0
ɑi̯	ˈʊ_n	1.0
ɑ_z_#>	#>	1.0
ɑ_n_ɑ̃_#>	#>	1.0
ɑ_l	l	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
ð_ɑ̃	t	1.0
z_#>	#>	1.0
x_t	ç_t	1.0
u_n	n	1.0
tː	t	1.0
t_ɛː	t_ɐ	1.0
t_s	t	1.0
s_ˈɑ	s	1.0
s_w	s	1.0
s_l	s_l	1.0
r_ˈi	r	1.0
r_ɔː	ɐ	1.0
r_ɑ̃	ɐ	1.0
r_n	ɐ_n	1.0
r_#>	#>	1.0
pː	p	1.0
p	p	1.0
nː	n	1.0
n_θ	ɾ	1.0
n_ɑ̃_#>	ə_#>	1.0
n_s	s	1.0
n_i	n	1.0
mː	m	1.0
lː	l	1.0
l_θ	lʲ	1.0
l_ˈeu̯	l	1.0
kː	ɡ	1.0
kʷ	k	1.0
k_u	k	1.0
k_s	k	1.0
k_i	k	1.0
jː	ˈaɪ̯	1.0
j_ɔ̃ː_#>	#>	1.0
j_ɑ_z_#>	#>	1.0
j_ɑ_n_ɑ̃_#>	#>	1.0
iː	-	1.0
<#_ɣ	<#_ɡ	1.0
<#_x	<#	1.0
<#_w	<#	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_r	1.0
<#_p	<#_pʰ	1.0
<#_k	<#_kʰ	1.0
t	t	0.938
l	l	0.935
b	b	0.909
s	s	0.867
ˈuː	ˈʏ	0.833
n	n	0.833
u	-	0.812
k	k	0.8
i	-	0.8
<#_n	<#_n	0.8
w	v	0.793
m	m	0.793
ð	ɾ	0.765
<#_l	<#_l	0.7
d	d	0.684
e	-	0.667
ɣ	ç	0.636
n_d	n	0.625
x	h	0.621
β	f	0.6
<#_ˈɑ	<#_ˈɔː	0.6
xʷ	v	0.571
ˈi	ˈɪ	0.552
ˈiː	ˈɪ	0.545
r	r	0.543
ɑ	ə	0.5
ɑ	-	0.5
z	ç	0.5
z	-	0.5
ˈɑu̯	ˈɔa̯	0.462
xʷ	-	0.429
<#_ˈɑ	<#	0.4
ˈɑu̯	ˈoː	0.385
n_d	nʲ	0.375
r	ɐ	0.348
θ	tʰ	0.346
ˈɛː	ˈɔː	0.333
ˈeu̯	ˈiː	0.333
j	-	0.333
e	aɪ̯	0.333
<#_l	<#	0.3
ˈɑ	ˈa	0.297
ˈiː	ˈiː	0.273
θ	d	0.269
ˈe	-	0.269
ˈɑ	ˈɔː	0.243
ˈɑi̯	ˈiː	0.235
ˈɑi̯	ˈeː	0.235
θ	ɾ	0.231
ˈe	ˈɛ	0.231
ˈɛː	ˈuː	0.222
ˈɛː	ˈiː	0.222
ˈɛː	n	0.222
ˈeu̯	ˈɛ	0.222
ˈeu̯	ˈeː	0.222
ˈeu̯	-	0.222
j	ˈiː	0.222
j	ə	0.222
j	j	0.222
x	-	0.207
w	-	0.207
β	ə_f	0.2
β	v	0.2
k	-	0.2
<#_n	<#	0.2
u	ə	0.188
ˈu	ˈʏ	0.186
ˈu	ˈɛ	0.186
ˈu	ˈœ	0.186
ˈiː	ˈʏ	0.182
ɣ	x	0.182
ɣ	-	0.182
ˈɑi̯	ˈɛ	0.176
ˈi	ˈɛ	0.172
x	x	0.172
ˈɔː	ˈʊ	0.167
ˈɔː	ˈɛ	0.167
ˈɔː	ˈɔ	0.167
ˈɔː	ˈœ	0.167
ˈuː	ˈyː	0.167
ˈɑu̯	-	0.154
ˈe	ˈiː	0.154
ˈu	ˈɔ	0.14
m	ə_m	0.138
i	ə	0.12
ˈɑi̯	ˈɔa̯	0.118
ˈɑi̯	j	0.118
ˈɑi̯	-	0.118
ð	x_t	0.118
ð	-	0.118
ˈu	ˈuː	0.116
ˈu	-	0.116
θ	-	0.115
ˈe	ˈɔ	0.115
ˈɔː	ˈøː	0.111
ˈɔː	ˈoː	0.111
ˈɔː	-	0.111
ˈɑ	ˈɛ	0.108
d	t	0.105
d	n	0.105
d	-	0.105
ˈi	ˈʊ	0.103
ˈi	-	0.103
b	-	0.091
n	ə_n	0.083
n	-	0.083
ˈɑ	ˈʊ	0.081
ˈɑ	ˈuː	0.081
ˈɑ	ˈeː	0.081
i	ɐ	0.08
ˈe	ˈʊ	0.077
ˈe	ˈɛː	0.077
ˈe	ˈa	0.077
ˈu	ˈʊ	0.07
ˈi	ˈeː	0.069
m	-	0.069
s	ʃ	0.067
r	x	0.065
l	ə_l	0.065
t	d	0.062
ˈɑ	l	0.054
ˈɑ	-	0.054
