Emilian	Latin	probability
ˈi	ˈiː	1.0
ˈæ	ˈɛ	1.0
ˈɛː	ˈɛ	1.0
a	-	0.051
d	d	0.551
i	iː	0.461
k	kʷ	0.061
l	lʲː_ʊ̃ː	0.131
m	m	0.851
s	-	0.051
t	t_ʊ̃ː	0.081
t	t	0.561
u	ʊ	0.071
v	b	0.1
z	s	0.121
z	s_i	0.121
ɲ	ɡ_n	0.121
ɲ	n_i	0.171
ˈa	ˈɪ	0.161
ˈo	ˈoː	0.111
ˈʌu̯	ˈu	0.101
a	ãː	0.602
b	b_ʊ	0.082
e	ɛ	0.692
n	n	0.962
r	r_ʊ̃ː	0.052
r	r_ɛ	0.312
v	p	0.152
v	w	0.552
ŋ	n_ʊ̃ː	0.22
ɡ	ɡ	0.422
ˈa	ˈa	0.392
ˈe	lʲ	0.142
ˈɔ	ˈɔ	0.852
θ	k	0.632
j	-	0.103
l	ɫ	0.353
r	r	0.433
ð	ɡ	0.883
ŋ	-	0.053
ʧ	s	0.093
ˈɛ	ˈaː_t	0.063
ˈɛ	ˈa	0.243
ˈʌu̯	ˈoː	0.593
a	a	0.164
f	f_ˈiː	0.064
m	m_ɛ̃ː	0.054
v	w_ɛ̃ː	0.104
ɡ	k	0.364
ˈaː	ˈaː	0.24
ˈuː	ˈʊ	0.064
ˈʌ	ˈʊ	0.774
a	aː	0.05
e	-	0.175
j	l	0.185
j	ɫ	0.305
ɡ	k_ʊ̃ː	0.125
ˈa	ˈaː	0.25
ˈiː	ˈeː	0.205
ˈɔː	ˈɔ	0.755
θ	t_i	0.155
f	f	0.936
s	s	0.876
t	k_t_ʊ̃ː	0.116
ŋ	m	0.066
ɲ	n_d	0.06
ˈa	ˈɛ	0.116
ˈaː	ˈa	0.76
ˈiː	ˈiː	0.666
ˈo	ˈɔ	0.266
ˈo	ˈuː	0.536
ˈɔː	ˈoː	0.066
ˈʌu̯	ˈʊ	0.306
θ	ɪ_k	0.106
d	d_ʊ̃ː	0.097
k	k	0.727
l	ɫ_ʊ̃ː	0.097
l	l	0.167
ð	j	0.117
ʧ	-	0.907
ˈiː	ˈɛ	0.107
ˈuː	ˈuː	0.457
ˈɔ	ˈʊ	0.117
ˈʌ	ˈɔ	0.057
θ	k_i	0.057
b	b	0.918
e	k_ɛ	0.108
j	i	0.298
s	sː_ʊ̃ː	0.058
t	t_ɛ̃ː	0.168
u	ɔ	0.888
v	-	0.078
z	-	0.708
ŋ	n_ɛ̃ː	0.068
ŋ	ŋ	0.228
ŋ	n	0.348
ɲ	n	0.648
ˈa	ɪ	0.068
ˈe	ˈiː	0.858
ˈo	ˈʊ	0.088
ˈɛ	ˈaː	0.418
d	t	0.329
i	ɪ	0.539
j	lʲ_i	0.109
k	kː	0.149
l	lʲː	0.159
p	p	0.949
r	-	0.079
ˈuː	ˈɔ	0.479
ˈɔː	ˈau̯	0.179
ˈɛ	ˈɛ	0.229
ˈʌ	ˈoː	0.169
