	Afrikaans	Alsatian	American English	Bavarian	Bokmål Norwegian	Danish	Dutch	East Low German	Eastphalian	English	Faroese	Gothic	Hessian	Icelandic	Insular North Frisian	Limburgish	Luxembourgish	Mainland North Frisian	Northern Low Saxon	Nynorsk Norwegian	Palatine German	Pennsylvania German	Proto-Germanic	Ripuarian	Saterland Frisian	Scots	Standard German	Swabian	Swedish	Swiss German	Upper Franconian	West Flemish	West Frisian	Westphalian	Wymysorys	Yiddish	Zeelandic
I_PRON_1	ˈæk		ˈaɪ̯	ˈi			ˈɪk	ˈɪk	ˈɛk	ˈaɪ̯	ˈeː	ˈik	ˈiʃ	jˈɛːx	ˈɪk	əx~ˈix	ˈəɕ	ˈik	ˈɪɡ	ˈeːɡ	ˈɪʃ	ˈɪç	ˈek	ˈɪɕ	ˈik		ˈɪç	ˈi	jˈɑːɡ	ˈiɡ̊	ˈiːç	ək	ˈɪk	ˈɪk	ˈɘ̟x	ˈɪχ	ˈɪk
I_PRON_2					jˈæj	jˈɑj																															
I_PRON_3																										ˈaː											
Teutonic_ADJ_1	dˈœɪ̯ts	d̥ˈitʃ		d̥ˈai̯d̥ʃ	tʰˈʏsk	ʦʰˈysɡ̊	dˈœy̯ts	dˈyːtʃ	dˈʏtʃ			θˈiu̯ðisks	d̥ˈoi̯tʃ	θˈiskʏr̥	dˈʏtsk	dˈœi̯ts	dˈæːɪ̯tʃ	tʲˈʏʃ	dˈyːdʃ	tʰˈʏsk	d̥ˈaɪ̯d̥ʃ	dˈaɪ̯tʃ	θˈiu̯ðiskɑz	dˈʏtʃ	dˈyːtsk		dˈɔʏ̯tʃ	dˈəi̯dʃ	tʰˈʏsk	d̥ˈyːtːʃː	d̥ˈaɪ̯d̥ʃ	dˈyːts	dˈyːtsk	dˈyːtʃk	dˈɑi̯tʃ	dˈaɪ̯tʃ	dˈyːts
all_ADJ_1	ˈaɫ	ˈɒl	ˈɑɫ	ˈoj	ˈɑlː	ˈal	ˈɑɫ	ˈal	ˈalə	ˈɔːɫ	ˈat͡l̥ʊɹ	ˈalːs	ˈal	ˈat͡l̥ʏr̥	ˈal	ˈɑːl	ˈɑl	ˈɒl	ˈal	ˈɑlː	ˈɑl	ˈal	ˈɑlːɑz	ˈal	ˈaːl	ˈɑː	ˈal	ˈɛle	ˈalː	ˈɒl	ˈal		ˈal	ˈalə		ˈaɫə	ˈɒːɫ
animal_NOUN_1	dˈir		dˈiɚ	d̥ˈiɐ̯	dˈyːɾ	d̥ˈyˀɐ	dˈiɾ	dˈiːæt	dˈɛɪ̯ɐt	dˈɪə	ʤ̊ˈɔːu̯ɹ~d̥ˈʊ̯iːɹ	dˈiu̯s	d̥ˈiːɐ	d̥ˈiːr̥	dˈiːɐxt	dˈiːʀ	dˈɜɪ̯ɐ	dˈiːʀt	dˈaɪ̯ɐd	dˈyːɾ	d̥ˈiːɐ	dˈiːɑ	dˈeu̯zɑ̃	dˈiːɐ	dˈiːrt	dˈiːr	tʰˈiːɐ	dˈiːʕ	jˈʉːr	tːˈiə̯r	d̥ˈiːɐ	dˈiə̯ɾ	dˈiə̯r	dˈiːɐ			dˈiːɾ
ape_NOUN_1	ˈɑːp	ˈɒf	ˈeɪ̯p	ˈɑf	ˈɑːpə	ˈaːb̥ə	ˈaːp	ˈɒːp	ˈɒːpə	ˈeɪ̯p	ˈɛːa̯ʰpa		ˈaf	ˈaːpɪ	ˈɔːp	ˈaːp	ˈaːf	ˈɒːvə	ˈoːp	ˈɑːpe	ˈɑf	ˈaf	ˈɑpɔːː		ˈɔːpə	ˈep	ˈafə	ˈaf	ˈɑːpa	ˈɒfː	ˈaf	ˈɒːp	ˈaːp	ˈaːpə		ˈafə	ˈɛːp
apple_NOUN_1	ˈapəɫ	ˈɒp͡fl̩	ˈæpɫ̩	ˈɑb̥͡v̥ə	ˈɛplə	ˈeːb̥lə	ˈɑpəɫ	ˈapl̩	ˈapl̩	ˈæpɫ̩	ˈeːʰplɪ	ˈapel	ˈab̥l̩	ˈɛʰplɪ	ˈɔːpəl	ˈɑpəl	ˈaːpəl	ˈɒːpəl	ˈabl̩	ˈɛple	ˈɑb̥l̩	ˈapl̩	ˈɑpluz~ˈɑpɑlijɑ̃	ˈapəl	ˈapəl	ˈepl̩	ˈap͡fl̩	ˈab̥͡fl̩	ˈɛplɛ	ˈøp͡fəl	ˈab̥͡v̥l̩	ˈɑpəl	ˈaːpəl	ˈapl̩	ˈɛpuw	ˈɛpəɫ	ˈɑpəɫ
arm_NOUN_1	ˈarm	ˈɒːʁm	ˈɑɹm	ˈoɐm	ˈɑɾm	ˈɑˀm	ˈɑɾm	ˈaːm	ˈaɐm	ˈɑːm	ˈaɹmʊɹ	ˈarms	ˈɑːm	ˈarmʏr̥	jˈɛrəm	ˈæːʀəm	ˈaːm	ˈeːʀm	ˈaːm	ˈɑɾm	ˈɑːɐm	ˈaːm	ˈɑrmɑz	ˈɛːɐm	ˈiːrm	ˈeːrm	ˈaɐm	ˈaʕm	ˈarm	ˈɒːrm	ˈaɐm	ˈɒːɾm	ˈɪə̯rm	ˈaɐm		ˈɔʀəm	ˈɛːɾəm
ash_NOUN_1	ˈas		ˈæʃ		ˈɑskə	ˈɛsɡ̊ə	ˈɑs	ˈaʃ	ˈaʃə	ˈæʃ	ˈœska	ˈazɡoː	ˈɛʃ	ˈaska	ˈeːsk	ˈæs	ˈæʃ	ˈeːʃ	ˈaʃ	ˈʊske	ˈɛʃ	ˈɛʃ	ˈɑskɔ̃ː	ˈɛʃ	ˈɛːskə	ˈɛs	ˈaʃə	ˈɛʃ	ˈaska	ˈæʃːə	ˈaʃn̩	ˈɑsə	jˈɪskə	ˈaʃkə	ˈɔʃ	ˈaʃ	ˈɑsə
bath_NOUN_NEU_1	bˈad̥	b̥ˈɒːd̥	bˈæθ	b̥ˈɒːd̥	bˈɑː	b̥ˈað̞ˠ	bˈɑd̥	bˈaːd	bˈaːd	bˈɑːθ	b̥ˈɛːa̯		b̥ˈɑːd̥	b̥ˈaːð		bˈɑd̥	bˈaːd̥	bˈɒːzə		bˈɑː	b̥ˈɑːd̥	bˈɔːd̥	bˈɑθɑ̃	bˈad̥	bˈɛd	bˈaθ	bˈaːd̥	bˈaːd	bˈɑːd	b̥ˈɒːd̥	b̥ˈoːd̥	bˈɑd̥	bˈad̥	bˈaːd			
bear_NOUN_1	bˈɪə̯r	b̥ˈæːʁ	bˈɛɚ	b̥ˈeɐ	bjˈøːɳ	b̥jˈœˀɐn	bˈeːɾ	bˈoːæ	bˈɛːɐ	bˈɛə	b̥jˈœt͡n̥	bˈɛra	b̥ˈæːɐ	b̥jˈœrt͡n̥	bˈeːɐ	bˈeːʀ	bˈiːɐ	bˈɒːʀ	bˈoːɐ	bjˈœɾn	b̥ˈɛːɐ	bˈɛːɑ	bˈerɔːː	bˈɛːɐ	bˈɔːr~bˈɔːrə	bˈeːr	bˈɛːɐ	bˈɛːʕ	bjˈøːɳ	b̥ˈær	b̥ˈɛːɐ		bˈɪə̯r	bˈɛːɐ	bˈɑr	bˈɛʀ	bˈɪə̯ɾ
beautiful_ADJ_1	skˈʊə̯n	ʃˈeːn	ʃˈin	ʃˈeː	ʂˈœnː	sɡ̊ˈœˀn	sχˈoːn	ʃˈɔʏ̯n	ʃˈøːnə	ʃˈiːn		skˈɔːns	ʃˈẽː			ʃˈun	ʃˈɜɪ̯n		ʃˈɔʏ̯n	ʂˈœnː	ʃˈẽː	ʃˈeː	skˈɑu̯niz	ʃˈyːn	skˈeːn	ʃˈin	ʃˈøːn	ʃˈeː	ɧˈøːn	ʒ̊ˈøːn	ʃˈeːn	ʃhˈoːn	skjˈɪn	ʃˈøːn	ʃˈei̯nə	ʃˈɛɪ̯n	
bee_NOUN_1	bˈəɪ̯		bˈi		bˈiːə	b̥ˈiˀ	bˈɛi̯			bˈiː	b̥ˈʊ̯iː			b̥ˈiː		bˈɛj	bˈɑɪ̯	bˈi		bˈiːə			bˈiniz~bˈijɔ̃ː	bˈeɪ̯~bˈiːn		bˈiː	bˈiːnə		bˈiː			bˈiə̯	bˈɛj		bˈɘ̟n	bˈɪn	bˈiə
bee_NOUN_2		ˈim		ˈimb̥m			ˈɪmə	ˈɪm	ˈɪmə						ˈɛm						ˈiːm	ˈiːm	ˈimbiː	ˈɪm	ˈiːmə		ˈɪmə	ˈim			ˈɪma			ˈɪm			
bee_NOUN_3																			ˈiːf																		
beloved_ADJ_1				lˈiɐ̯b̥	jˈʉːʋ		ɫˈiv̥	lˈae̯f	lˈɛɪ̯f		ljˈʉːu̯vʊɹ	lˈiu̯fs	lˈiːb̥	ljˈuːvʏr̥	lˈɛf	lˈeːv̥	lˈɜɪ̯v̥	lˈiːv̥	lˈaɪ̯f	jˈʉːʋ	lˈiːb̥	lˈiːb̥	lˈeu̯βɑz	lˈeːv̥	ljˈoːf	lˈif	lˈiːb̥		jˈʉːv		lˈiːb̥	lˈiə̯v̥	lˈɪə̯f	lˈaɪ̯v			ɫˈiːv̥
berry_NOUN_1	bˈɛsi	b̥ˈeːʁ	bˈɛɹi	b̥ˈeːɐ	bˈæːɾ	b̥ˈɛɐ	bˈɛs	bˈaɪ̯æ	bˈɛɪ̯rə	bˈɛɹɪ	b̥ˈeːɹ	bˈasi	b̥ˈæːɐ	b̥ˈɛːr̥	bˈaɪ̯	bˈæs	bˈiːɐ	bˈai̯	bˈaɪ̯ɐ	bˈæːɾ		bˈiːɑ	bˈɑzjɑ̃~bˈɑsjɑ̃	bˈeːɐ	bˈɛɪ̯ə	bˈɛri	bˈeːʁə	bˈeːʌ	bˈæːr	b̥ˈeːri			bˈɛi̯	bˈiɛ̯ɐ	bˈir		
