Venetian	Eastern Lombard	probability
ˈɛ_o	ˈɛ_l	1.0
ˈo_ɡ	ˈø_k	1.0
ˈo_s	ˈo_s	1.0
ˈi_ŋ	ˈi	1.0
ˈe_ŋ	ˈe	1.0
ˈe_d	e_d	1.0
ˈa_ŋ	ˈa	1.0
ˈa	ˈa	1.0
ʤ_o	j	1.0
ʤ	ʤ	1.0
ɲ	ɲ	1.0
ɰ_a	l_a	1.0
ɰ	l	1.0
z_a	s	1.0
u	y	1.0
t_e	ʧ	1.0
s_ˈe	s_ˈɛ	1.0
r_t	r_t	1.0
r_s	r_s	1.0
r_o	e_r	1.0
r_k	r_k	1.0
r_e	d_e	1.0
r_a	r_a	1.0
p	p	1.0
m	m	1.0
k	k	1.0
j_ˈɛ	ˈe	1.0
j_ˈe	ˈe	1.0
j_a	j_a	1.0
e_ŋ	e_n	1.0
e_m	m	1.0
d_o	t	1.0
b	b	1.0
a_v	a	1.0
s	s	0.949
t	t	0.947
j	j	0.921
a	a	0.903
r	r	0.902
f	f	0.894
l	l	0.855
ɡ	ɡ	0.829
n	n	0.826
d	d	0.807
w	w	0.699
o	o	0.685
ˈɛ	ˈɛ	0.684
ʧ	ʧ	0.663
ˈo	ˈu	0.647
ˈi	ˈi	0.62
e	e	0.599
z	z	0.579
ˈu	ˈø	0.547
i	i	0.536
ˈɔ	ˈɔ	0.527
ˈu	ˈy	0.453
v	-	0.438
ŋ	n	0.411
ˈe	ˈe	0.402
ˈe	ˈɛ	0.338
ʧ	ʤ	0.337
ˈo	ˈo	0.31
w	-	0.301
v	ʋ	0.299
ŋ	ŋ	0.291
z	s	0.269
ˈɔ	ˈo	0.265
v	f	0.264
ˈi	ˈe	0.26
e	i	0.253
i	e	0.236
ŋ	m	0.233
i	-	0.228
ˈɔ	ˈø	0.209
d	t	0.193
o	l	0.19
n	-	0.174
ɡ	k	0.171
z	ʤ	0.152
e	-	0.149
l	-	0.145
ˈɛ	ˈɛ_l	0.14
ˈe	l_ˈɛ	0.135
ˈe	ˈi	0.124
ˈi	ˈø	0.12
ˈɛ	ˈe	0.117
f	f_j	0.106
a	e	0.097
r	d	0.083
j	-	0.079
o	-	0.075
ŋ	-	0.064
ˈɛ	-	0.059
t	ʧ	0.053
s	-	0.051
o	e	0.05
