Swiss German	Scots	probability
#>	#>	0.943
#>	n_#>	0.057
<#	<#	1.0
<#_ɡ̊	<#	1.0
b̥	b	0.697
b̥	f	0.129
b̥	v	0.113
b̥	-	0.051
d̥	d	0.388
d̥	θ	0.355
d̥	ð	0.21
f	f	0.813
f	p	0.1
fː	p	0.492
h	h	0.947
h	-	0.056
i	əi̯	0.457
i	i	0.206
i	ŋ	0.14
i	-	0.126
j	j	1.0
k	k	0.492
l	l	0.817
l	ɫ	0.097
l	-	0.058
l_#>	#>	0.492
l_ə	l	1.0
l_ɡ̊	l	0.242
m	m	1.0
mː	m	0.242
n	n	0.853
n	-	0.144
p	-	0.119
p͡f	p	0.45
p͡f	pʰ	0.341
p͡f	d	0.118
r	r	0.983
rː	r	0.492
s	s	0.758
s	t	0.151
s	-	0.055
sː	t	1.0
t	d	0.581
t	t	0.405
tː	ð	0.74
tː	d	0.136
w	ˈʌʉ̯	0.242
ŋ	ŋ	0.704
ŋ	n_d	0.22
ŋ	θ	0.058
ə	ə	0.837
ə_#>	#>	1.0
ə_l	l	0.492
ɡ̊	ɡ	0.667
ɡ̊	-	0.328
ɡ̊_#>	#>	1.0
ɡ̊_l	l	1.0
ɡ̊ː	ɡ	1.0
ʃ	s	0.658
ʃ	ʃ	0.336
ʃː	s	0.492
ʋ	w	0.83
ʋ	ʍ	0.121
ʋ	-	0.052
ʦ	tʰ	0.534
ʦ	t	0.464
ˈa	ˈɑː	0.646
ˈa	ˈɑ	0.164
ˈa	ˈɛ	0.101
ˈau̯	ˈei̯	0.66
ˈau̯	ˈi	0.16
ˈe	ˈɛ	1.0
ˈei̯	ˈe	0.488
ˈei̯	ˈɛ	0.488
ˈeː	ˈɑː	0.561
ˈeː	ˈiː	0.425
ˈi	ˈɪ	0.727
ˈi	ˈɑː	0.069
ˈi	ˈiː	0.057
ˈi	ˈəi̯	0.057
ˈi	ˈei̯	0.056
ˈiə̯	ˈɪ	0.359
ˈiə̯	ˈi	0.206
ˈiə̯	ˈei̯	0.126
ˈiə̯	ˈɛ	0.126
ˈiə̯	ˈʌʉ̯	0.095
ˈiː	ˈəi̯	0.879
ˈiː	ˈɪ	0.107
ˈo	ˈɔ	0.503
ˈo	ˈʉ	0.101
ˈo	ˈəi̯	0.071
ˈo	ˈʌ	0.068
ˈo	ˈʌʉ̯	0.068
ˈo	ˈø	0.067
ˈo	ˈei̯	0.057
ˈo	-	0.054
ˈou̯	ˈiː	0.517
ˈou̯	ˈei̯	0.45
ˈoː	ˈei̯	0.348
ˈoː	ˈɔ	0.224
ˈoː	ˈe	0.163
ˈoː	ˈiː	0.142
ˈu	ˈɔ	0.375
ˈu	ˈʉ	0.284
ˈu	ˈɪ	0.128
ˈu	ˈiː	0.111
ˈu	ˈʌ	0.083
ˈuə̯	ˈø	0.594
ˈuə̯	ˈɪ	0.22
ˈuə̯	ˈʉ	0.167
ˈuː	ˈʉ	0.901
ˈuː	ˈaːɪ̯	0.08
ˈy	ˈɪ	0.388
ˈy	ˈiː	0.265
ˈy	ˈɛ	0.152
ˈy	ˈi	0.08
ˈy	ˈʌʉ̯	0.075
ˈyə̯	ˈiː	0.488
ˈyə̯	ˈɪ	0.488
ˈyː	ˈiː	0.266
ˈyː	ˈəi̯	0.208
ˈyː	ˈe	0.158
ˈyː	ˈaːɪ̯	0.12
ˈyː	ˈɛ	0.12
ˈyː	ˈi	0.089
ˈæ	ˈɛ	0.238
ˈæ	ˈei̯	0.215
ˈæ	ˈɪ	0.147
ˈæ	ˈɑ	0.128
ˈæ	ˈeː	0.068
ˈæ	j	0.066
ˈæ	ˈəi̯	0.066
ˈæ	ˈʌ	0.055
ˈæi̯	ˈe	1.0
ˈæː	ˈɛ	0.561
ˈæː	ˈiː	0.182
ˈæː	ˈe	0.121
ˈø	ˈa	0.392
ˈø	ˈe	0.221
ˈø	ˈɪ	0.221
ˈøi̯	ˈʌ	0.45
ˈøi̯	ˈɑː	0.221
ˈøi̯	j	0.125
ˈøː	ˈei̯	0.53
ˈøː	ˈɪ	0.214
ˈøː	ˈiː	0.111
ˈɒ	ˈe	0.259
ˈɒ	ˈɪ	0.234
ˈɒ	ˈɑː	0.204
ˈɒ	ˈɑ	0.124
ˈɒ	ˈø	0.082
ˈɒ	ˈɔ	0.052
ˈɒ_l	ˈɑː	1.0
ˈɒː	ˈeː	0.232
ˈɒː	ˈɛ	0.232
ˈɒː	ˈe	0.214
ˈɒː	ˈɑ	0.172
ˈɒː	ˈei̯	0.091
ˈɛi̯	ˈe	0.683
ˈɛi̯	ˈɑ	0.221
χ	x	0.389
χ	k	0.282
χ	kʰ	0.192
χ	-	0.091
