Middle Chinese	Middle Chinese	probability
˧˥	²¹⁴	1.0
˥˩	⁵¹	1.0
ʨʰ	ʈ͡ʂʰ	1.0
ʨ	ʈ͡ʂ	1.0
ʦ	ʦ	1.0
ʥ	ʂ	1.0
ʤ	ʂ	1.0
ʣ	ʨʰ	1.0
ʔˠ	-	1.0
ʑ	-	1.0
ʉ_ɐ	a	1.0
ʈ	ʈ͡ʂ	1.0
ʃˠ	ʂ	1.0
ʃ	s_ɤ	1.0
ɳ	-	1.0
ɨ_ʌ	y	1.0
ɦ_ɨ	y	1.0
ɡ	ʨʰ	1.0
ɖˠ	ʈ͡ʂʰ	1.0
ɖ	ʈ͡ʂʰ	1.0
ɕˠ	-	1.0
ɕ	ʂ	1.0
ŋˠ	j	1.0
ŋ_˧˥	ŋ_²¹⁴	1.0
ŋ	ŋ	1.0
u_˦	w_³⁵	1.0
u_o	u	1.0
u_n	n	1.0
u_k̚	w_⁵¹	1.0
t̚	-	1.0
tʰ	tʰ	1.0
t	t	1.0
sˠ	s	1.0
s	ɕ	1.0
p̚	-	1.0
pˠ	p	1.0
pʰ	-	1.0
n	n	1.0
mˠ	m	1.0
l	l	1.0
kˠ	ʨ	1.0
kʰˠ	kʰ	1.0
i_˦	j_⁵⁵	1.0
i_æ	i	1.0
hˠ	x	1.0
h	x	1.0
e_i	i	1.0
bˠ	pʰ	1.0
a	a	1.0
<#_ʔ	<#	1.0
<#_ŋ	<#	1.0
<#	<#_n	1.0
ʌ	a	0.818
k̚	-	0.8
ɦ	x	0.778
ɐ	ɑ	0.778
w	w	0.75
p	f	0.7
m	n	0.7
ʉ	-	0.667
u	w	0.667
i_e	ʐ̩	0.667
<#_m	<#_w	0.667
ʦʰ	ʦʰ	0.6
ȵ	ʐ	0.6
i_u	ɥ	0.6
d	t	0.6
ɛ	a	0.571
o	-	0.571
kʰ	kʰ	0.571
k	ʨ	0.556
˦	³⁵	0.551
ɪ	i	0.538
ɨ_u	ə	0.5
ɨ_u	u	0.5
b	pʰ	0.5
b	f	0.5
#>	⁵¹_#>	0.476
ɨ	-	0.462
ɑ	ɑ	0.45
˦	⁵⁵	0.449
k	k	0.444
ɛ	ɛ	0.429
o	u	0.429
kʰ	ʨʰ	0.429
i	j	0.429
i	-	0.429
ʦʰ	ʨʰ	0.4
ə	o	0.4
ə	-	0.4
ɑ	a	0.4
ȵ	ɤ	0.4
i_u	w	0.4
d	tʰ	0.4
ʉ	ɥ	0.333
i_e	ɤ	0.333
<#_m	<#	0.333
ɪ	-	0.308
p	p	0.3
m	m	0.3
#>	⁵⁵_#>	0.286
e	ɑ	0.273
e	j_ɛ	0.273
e	i	0.273
w	ɥ	0.25
#>	³⁵_#>	0.238
ɦ	-	0.222
ɐ	ɛ	0.222
ə	e	0.2
u	ʊ	0.2
k̚	j_²¹⁴	0.2
ʌ	-	0.182
e	ɛ	0.182
ɪ	ə	0.154
ɨ	j_o	0.154
ɑ	ɔ	0.15
ɨ	y	0.115
ɨ	o	0.115
ɨ	ʐ̩	0.077
ɨ	u	0.077
i	ʂ	0.071
i	ɻ	0.071
u	u	0.067
u	-	0.067
