Swabian	Swabian	probability
ˈʌ	ʨ_ˈyœ̯_r_ʨ	1.0
ˈɪ	ˈɪ	1.0
ˈɛː	-	1.0
ˈuː	ˈʉːə̯	1.0
ˈuə̯	ˈʉːə̯	1.0
ˈiː	j_ˈʉːə̯	1.0
ˈiə̯	ˈʉːə̯	1.0
ˈi_ʌ	ˈɪ̃ː	1.0
ˈi_b	ʏ	1.0
ˈeə̯	-	1.0
ˈe	ˈɪ	1.0
ˈa_ʕ	ˈɑ_r	1.0
ˈa_l	ˈɔː	1.0
ʦ	tʰ	1.0
ʣ	tː	1.0
ʕ_ʦ	r_t	1.0
ʕ_n	nː	1.0
ʕ	r	1.0
ʃ_d	s_t	1.0
ɪ	ɪ	1.0
ŋ_ɡ	kː	1.0
ŋ	ŋ_ɡ	1.0
x_d	tː	1.0
t_#>	#>	1.0
p͡f	pʰ	1.0
n_s	sː	1.0
l_#>	ɽ_#>	1.0
kʰ	kʰ	1.0
j	-	1.0
i	ŋ	1.0
eə̯	ɔ̃	1.0
e	-	1.0
b̥͡f	-	1.0
b_#>	v_#>	1.0
a_#>	#>	1.0
<#_h	<#	1.0
m	m	0.875
ʁ	r	0.833
n	n	0.815
ˈo	ˈʉ	0.75
ʋ	w	0.739
ˈeː	-	0.714
ˈae̯	-	0.714
a	ɑ	0.714
b	b	0.708
f	f	0.696
ɡ_#>	ɣ_#>	0.667
s_#>	s_#>	0.667
ˈɔe̯	ˈiːe̯	0.615
ˈɔ	ˈʉə̯	0.6
x	k	0.6
f_#>	p_#>	0.6
ˈɔː	-	0.571
ç	k	0.571
ˈaː	ˈɑː	0.556
ˈao̯	ˈɑːu̯	0.533
#>	ɑ_#>	0.522
ˈu	-	0.5
ʃ	s	0.5
l	ɽ	0.5
s	t	0.467
s	s	0.467
ˈəi̯	ˈɑːi̯	0.462
ˈɔː	ˈɔː	0.429
ç	-	0.429
ʌ	ɛ_r	0.417
d	d	0.406
ˈɔ	-	0.4
x	-	0.4
f_#>	#>	0.4
ˈi	ˈɪ	0.385
ˈoː	ˈœː	0.375
ˈoː	ˈoː	0.375
ʌ	r	0.375
ˈɛ	ˈɛ	0.368
ɡ_#>	#>	0.333
ɡ	ɡ	0.333
s_#>	#>	0.333
ˈɛ	j	0.316
ˈɛ	-	0.316
ˈa	ˈɑ	0.316
ˈa	-	0.316
ˈi	j	0.308
ʃ	s_ʨ	0.3
d	ð	0.297
ˈeː	ˈæː	0.286
ˈae̯	ˈɪː	0.286
ˈa	ˈɑː	0.263
ʋ	-	0.261
#>	n_#>	0.261
ˈu	ˈʏ	0.25
ˈu	ˈʉ	0.25
ˈoː	ˈʉː	0.25
ˈo	-	0.25
ˈəi̯	ˈʏː	0.231
ˈɔe̯	ˈɛ	0.231
ˈi	ˈɪː	0.231
ˈaː	ˈɑ	0.222
ˈaː	-	0.222
b	v	0.208
ˈao̯	ˈoː	0.2
ɡ	-	0.185
f	v	0.174
l	lː	0.156
ˈəi̯	ˈɪː	0.154
ˈəi̯	-	0.154
ˈɔe̯	-	0.154
ʃ	s_k	0.15
ɡ	ɣ	0.148
a	ɔ	0.143
d	tʰ	0.141
ˈao̯	ˈœː	0.133
ˈao̯	-	0.133
f	p	0.13
#>	ʉ_#>	0.13
ʌ	-	0.125
m	mː	0.125
l	l	0.125
ɡ	ɡː	0.111
n	-	0.111
ˈa	ˈo	0.105
l	-	0.094
d	-	0.094
#>	k_#>	0.087
ʌ	ˈɛ_r	0.083
ʁ	r_ˈɛ	0.083
ʁ	-	0.083
b	-	0.083
ˈi	ˈœ	0.077
ɡ	ʥ_ˈæ	0.074
ɡ	ɣ_ɛ	0.074
n	nː	0.074
s	tː	0.067
l	ˈɔː	0.062
l	ɽ_j	0.062
a	ɛ_n	0.057
a	n	0.057
