Neapolitan	Lombard	probability
b	b	1.0
bː	b	1.0
dː	ʧ	1.0
f	f	1.0
lː	l	1.0
mː	m	1.0
rː	r	1.0
z	z	1.0
ɲ	ɲ	1.0
ʦ	ʦ	1.0
ʧ	s	1.0
ʧː	ʦ	1.0
i	ã	0.071
t	-	0.161
tː	ʧ	0.341
ɡ	-	0.111
ɲː	j	0.421
ʃ	ʦ	0.1
ʎː	-	0.251
ˈo	ˈũː	0.261
ˈo	ˈu	0.301
ˈɛ	ˈɛ̃ː	0.101
a	u	0.062
i	e	0.232
k	-	0.172
l	-	0.072
t	t	0.432
v	ʋ	0.532
ə	-	0.722
ʃː	t	0.092
ʤː	ʧ	0.752
ˈe	ˈeː	0.142
ˈu	ˈyː	0.122
d	-	0.053
i	ˈi	0.113
i	i	0.273
n	ɲ	0.073
r	-	0.063
ŋ	k	0.083
ʃ	s	0.263
ʦː	ʦ	0.773
ˈe	-	0.073
ˈu	ˈũː	0.153
ˈu	ˈy	0.33
ˈɔ	ˈũː	0.173
a	-	0.054
e	j	0.524
j	-	0.834
k	p	0.094
k	k	0.734
o	e	0.554
w	l	0.164
ɾ	r	0.704
ʃ	z	0.144
ʃː	ʦ	0.304
ʤ	z	0.184
ˈa	ˈaː	0.074
ˈe	ˈe	0.254
ˈi	ˈy	0.084
ˈɔ	ˈu	0.084
ˈɔ	ˈø	0.184
ˈɔ	ˈɔ	0.364
ˈɛ	ˈeː	0.074
e	ˈa	0.095
e	e	0.115
sː	-	0.15
sː	s	0.85
w	-	0.35
ə	a	0.225
ˈa	ˈãː	0.315
ˈɛ	ˈɛ	0.585
a	a	0.76
d	d	0.826
e	i	0.086
i	-	0.156
i	ĩ	0.156
j	j	0.166
kː	ʤ	0.126
nː	m	0.306
o	u	0.446
p	-	0.146
s	s	0.956
u	y	0.116
v	v	0.06
w	w	0.486
ɲː	ʦ	0.146
ˈa	ˈa	0.576
ˈo	ˈo	0.156
a	ã	0.067
d	t	0.077
kː	ʧ	0.667
n	n	0.447
n	-	0.467
nː	d	0.077
r	r	0.937
t	d	0.407
u	o	0.057
v	b	0.157
ʃː	s	0.367
ʤ	ʤ	0.787
ʦː	s	0.227
ˈe	e	0.067
ˈe	ˈɔ	0.107
ˈi	ˈe	0.327
kː	k	0.208
l	l	0.928
m	m	0.98
nː	t	0.368
ɲː	ɲ	0.398
ɾ	-	0.138
ʃ	ʧ	0.438
ʃː	ʃ	0.238
ʤː	ʋ	0.248
ˈi	ˈĩː	0.18
ˈi	ˈi	0.358
ˈu	ˈu	0.28
e	ˈe	0.179
nː	n	0.249
p	p	0.799
tː	t	0.659
u	ũ	0.089
u	-	0.349
u	u	0.39
v	f	0.219
ŋ	ˈẽː	0.179
ŋ	-	0.739
ɡ	ɡ	0.889
ɾ	d	0.109
ʎː	j	0.749
ˈe	ˈɛ	0.279
ˈo	ˈyː	0.239
ˈɔ	ˈøː	0.159
ˈɛ	ˈe	0.109
ˈɛ	ˈẽː	0.119
