Limburgish	West Flemish	probability
b	b	1.0
d	d	0.952
d	t	0.053
f	f	0.441
f	-	0.308
f	v_ə	0.234
j	ə	0.348
j	j	0.229
j	-	0.2
j	t	0.132
k	k	0.879
k	ɦ	0.07
k	-	0.046
l	l	0.979
l	-	0.036
l_ə	w	0.512
m	m	1.0
n	n	0.956
n	-	0.05
p	p	1.0
s	s	0.957
s	-	0.043
t	t	0.972
v	v	1.0
w	ˈu	0.512
x	h	0.376
x	h_t	0.326
x	k	0.122
x	ɦ	0.106
x	ç	0.061
z	z	0.949
z	s	0.057
ŋ	ŋ	0.933
ŋ	-	0.069
ə	n	0.448
ə	-	0.361
ə	ə	0.187
ɡ	ɦ	0.512
ɣ	ɦ	1.0
ɦ	-	0.809
ɦ	ɦ	0.083
ɦ	z	0.065
ɦ	k	0.055
ɦ_ˈɒː	ˈɒː	1.0
ɪ	ɪ	0.66
ɪ	m	0.173
ɪː	ˈɪ	1.0
ʀ	ɾ	0.988
ʃ	ʃ	1.0
ʦ	s	1.0
ˈaː	ˈɑ	0.438
ˈaː	ˈɒː	0.433
ˈaː	ˈæ	0.08
ˈaː	w	0.053
ˈaː_j	ˈu	1.0
ˈeː	ˈeː	0.406
ˈeː	ˈiə̯	0.35
ˈeː	ˈæ	0.099
ˈeː	ˈœ	0.057
ˈeː	ˈɒː	0.053
ˈi	ˈɛː	0.386
ˈi	ˈiə̯	0.155
ˈi	ə	0.14
ˈi	ˈɒː	0.14
ˈi	ˈɛ	0.14
ˈiː	ˈi	0.59
ˈiː	ˈiə̯	0.178
ˈiː	ˈœ	0.117
ˈiː	ˈyː	0.091
ˈoː	ˈøː	0.315
ˈoː	ˈoː	0.201
ˈoː	ˈuə̯	0.201
ˈoː	ˈɛː	0.128
ˈoː_j	ˈuə̯	1.0
ˈu	ˈoː	1.0
ˈuː	ˈyː	0.76
ˈuː	ˈoː	0.123
ˈuː	ˈu	0.087
ˈv	v	1.0
ˈyː	ˈiə̯	0.517
ˈyː	ˈoː	0.45
ˈæ	ˈɑ	0.594
ˈæ	ˈæ	0.201
ˈæ	ˈɔ	0.082
ˈæː	ˈæ	0.699
ˈæː	ˈɒː	0.16
ˈøː	ˈuə̯	0.63
ˈøː	ˈoː	0.218
ˈøː	ˈiə̯	0.121
ˈœ	ˈœ	0.392
ˈœ	ˈoː	0.147
ˈœ	ˈʏ	0.147
ˈœ	ˈɔ	0.087
ˈœi̯	ˈyː	0.683
ˈœi̯	ˈiə̯	0.231
ˈœː	ˈɔ	1.0
ˈɑ	ˈɑ	0.898
ˈɑ	ˈæ	0.102
ˈɑː	ˈɑ	1.0
ˈɒː	ˈɒː	0.874
ˈɒː	ˈøː	0.115
ˈɔ	ˈɔ	0.5
ˈɔ	ˈœ	0.248
ˈɔ	-	0.121
ˈɔ	ˈuə̯	0.121
ˈɔu̯	ˈoː	0.338
ˈɔu̯	ˈu	0.338
ˈɔː	ˈoː	0.668
ˈɔː	-	0.181
ˈɔː	ˈɔ	0.074
ˈɛ	ˈɛ	0.441
ˈɛ	ˈi	0.247
ˈɛ	ˈæ	0.247
ˈɛ	ˈiə̯	0.048
ˈɛi̯	ˈiə̯	0.512
ˈɛː	ˈɛː	0.513
ˈɛː	ˈæ	0.141
ˈɛː	ˈeː	0.123
ˈɛː	ˈɛ	0.123
ˈɛː	j	0.058
ˈɛːi̯	ˈeː	0.287
ˈɛːi̯	ˈɛː	0.169
ˈɛːi̯	ˈi	0.147
ˈɪ	ˈɛ	0.388
ˈɪ	ˈɪ	0.199
ˈɪː	ˈɪ	0.91
ˈɪː	ˈiə̯	0.082
ˈʊ	ˈu	0.263
ˈʊː	ˈoː	0.339
ˈʊː	ˈu	0.235
ˈʊː	ˈuə̯	0.205
ˈʊː	ˈøː	0.087
ˈʊː	ˈɒː	0.071
ˈʏ	ˈæ	0.199
ˈʏ	ˈɪ	0.199
ˈʏː	ˈiə̯	0.574
ˈʏː	ˈœ	0.294
β	ʋ	1.0
