Québécois French	Eastern Lombard	probability
aœ̯	ˈu	1.0
f	f	1.0
o	ˈɔ_s	1.0
ɑ	ˈa	1.0
ɛɪ̯	ˈɛ_s	1.0
ʊ	ˈo	1.0
ʣ	d	1.0
a	ˈɛ	0.081
ã	ˈa_ŋ	0.311
b	b	0.901
s	s_a	0.061
s	s	0.871
t	s_t	0.071
w	ˈe	0.071
w	d_ˈi	0.091
w	-	0.581
z	z_a	0.091
æɛ̯	ˈɛ	0.181
ɛ	e	0.11
ɪ	ˈe	0.301
ɲ	ɲ	0.651
ʃ	k_a	0.301
ʒ	-	0.081
ʒ	s	0.161
ã	ˈɛ_n	0.22
ẽɪ̯̃	ɲ	0.12
j	ˈe	0.162
j	j	0.212
j	-	0.272
l	l	0.662
m	m	0.822
v	ʋ	0.692
æɛ̯	-	0.152
øʏ̯	-	0.592
œ	e	0.52
ɑɔ̯	ˈɔ	0.332
ɛ	a	0.122
ɡ	ɡ_w	0.182
ɥ	ˈø	0.212
ʒ	z	0.712
ʦ	s_#>	0.062
a	a	0.573
ẽɪ̯̃	ˈa	0.553
k	k_w	0.113
l	l_a	0.113
t	t_e	0.13
u	ˈu_l	0.053
u	ˈø	0.173
w	ˈi_d	0.093
æɛ̯	e	0.073
æɛ̯	ˈe	0.093
ɔ	ˈɔ	0.283
ɔ	o	0.353
ɥ	ˈo	0.13
ɪ	-	0.333
ʦ	a_#>	0.083
ã	n	0.054
u	ˈu	0.084
y	ˈø	0.344
æɛ̯	ˈa	0.434
ɔ	ˈu	0.364
ɛ	ˈu	0.114
ʦ	t_#>	0.064
a	ˈa	0.305
d	t	0.065
d	d	0.935
e	-	0.275
e	ˈa	0.615
k	k	0.85
n	n	0.535
oʊ̯	ˈo	0.275
p	p	0.965
u	o	0.095
œ	a	0.085
ɛ	ˈe	0.135
ã	ˈe	0.066
ã	ˈa_n	0.106
ẽɪ̯̃	ˈi	0.326
l	j	0.146
oʊ̯	ˈɛ_l	0.566
u	ˈø_ʧ	0.246
y	ˈy	0.656
œ	-	0.066
ɒ̃ʊ̯̃	ˈo	0.156
ɪ	ˈi	0.366
ʁ	r	0.636
ʦ	t	0.506
ã	a	0.077
e	ˈa_t	0.087
i	ˈe	0.187
j	j_a	0.067
j	ʧ	0.287
n	n_a	0.397
u	ˈy	0.257
w	ˈi	0.067
w	t	0.097
ɒ̃ʊ̯̃	-	0.137
ɒ̃ʊ̯̃	ˈu	0.707
ɛ	-	0.17
ɥ	ˈɔ	0.657
ʦ	e_#>	0.057
ã	ˈe_t	0.068
ã	ˈɛ_ŋ	0.098
i	ˈɛ	0.118
i	-	0.438
m	m_a	0.178
n	ɲ	0.068
v	-	0.308
øʏ̯	ˈø_k	0.408
ʁ	-	0.068
ʁ	e_r	0.078
ʁ	r_a	0.138
b	-	0.099
i	ˈi	0.229
l	-	0.079
oʊ̯	ˈa	0.159
s	-	0.069
t	t_a	0.209
t	t	0.59
u	ˈo	0.09
z	z	0.909
œ	ˈø	0.329
ɑɔ̯	o	0.079
ɑɔ̯	ˈo	0.589
ɛ	ˈɛ	0.279
ɡ	-	0.099
ɡ	ɡ	0.719
ɲ	ɲ_a	0.349
ʃ	k	0.699
