West Flemish	Afrikaans	probability
b	b	1.0
d	d	0.887
d	-	0.056
d	t	0.056
f	f	1.0
h	χ	0.692
h	k	0.246
h	-	0.064
h_t	χ	1.0
j	j	0.594
j	ˈəɪ̯	0.392
k	k	0.899
k	-	0.094
l	ɫ	0.828
l	l	0.169
m	m	1.0
n	n	0.63
n	-	0.264
n	ə	0.053
n	ŋ	0.049
p	p	1.0
s	s	1.0
t	t	0.886
t	-	0.112
v	f	0.867
v	v	0.106
v	-	0.039
w	ɫ	0.784
w	w	0.137
z	s	1.0
ç	χ	1.0
ŋ	ŋ	1.0
ə	-	0.829
ə	ə	0.14
ɦ	χ	0.835
ɦ	-	0.134
ɦ	ɦ	0.043
ɪ	ə	0.264
ɾ	r	0.989
ʃ	s	1.0
ʋ	v	0.631
ʋ	w	0.255
ʋ	-	0.061
ʋ	t	0.055
ˈeː	ˈɪə̯	0.804
ˈeː	ˈəɪ̯	0.183
ˈi	ˈəɪ̯	0.848
ˈi	ˈœi̯	0.152
ˈiə̯	ˈi	0.802
ˈiə̯	ˈyː	0.089
ˈiə̯	ˈəɪ̯	0.067
ˈiə̯	ˈɪ	0.05
ˈoː	ˈʊə̯	0.9
ˈoː	ˈoːi̯	0.063
ˈoː	-	0.049
ˈoː_v	ˈʊə̯	1.0
ˈu	ˈœu̯	0.504
ˈu	ˈɔ	0.244
ˈu	ɦ_ˈɔ	0.225
ˈuə̯	ˈu	0.765
ˈuə̯	ˈuːi̯	0.089
ˈuə̯	ˈuː	0.074
ˈuə̯	ˈɔ	0.074
ˈyː	ˈœɪ̯	0.856
ˈyː	ˈəɪ̯	0.125
ˈæ	ˈɛ	0.448
ˈæ	ˈæː	0.236
ˈæ	ˈa	0.156
ˈæ	ˈæ	0.118
ˈøː	ˈʊə̯	0.488
ˈøː	ˈɪø̯	0.331
ˈœ	ˈɔ	0.412
ˈœ	ˈœ	0.323
ˈœ	ˈəɪ̯	0.119
ˈœ	ˈə	0.119
ˈɑ	ˈa	1.0
ˈɒː	ˈɑː	0.907
ˈɒː	ˈa	0.058
ˈɒː	ˈɔː	0.052
ˈɔ	ˈɔ	0.665
ˈɔ	ˈɔː	0.131
ˈɔ	ˈa	0.131
ˈɔ	ˈɑː	0.071
ˈɛ	ˈə	0.533
ˈɛ	ˈɛ	0.226
ˈɛ	ˈəɪ̯	0.172
ˈɛ	ˈɛː	0.061
ˈɛː	ˈɪə̯	0.653
ˈɛː	ˈɑː	0.146
ˈɛː	ˈəɪ̯	0.107
ˈɛː	ˈi	0.079
ˈɪ	ˈə	0.722
ˈɪ	-	0.108
ˈɪ	ˈɛ	0.108
ˈɪ	ˈœ	0.065
ˈʏ	ˈœ	1.0
