Lombard	Brazilian Portuguese	probability
a	ɐ	0.686
a	a	0.148
a	-	0.096
ã	ɐ̃	0.574
ã	ẽ	0.278
b	b	0.658
b	v	0.248
b	k	0.074
d	d	0.705
d	h	0.169
d	z	0.081
e	e	0.339
e	ˈe	0.156
e	-	0.136
e	o	0.118
e	u	0.09
e	ˈi	0.055
e	i	0.053
e_r	ɾ	0.485
ẽ	i	1.0
f	f	0.643
f	v_i	0.12
f	b	0.087
f	v_u	0.087
i	e	0.32
i	i	0.32
i	u	0.32
ĩ	ĩ	0.723
ĩ	ẽ	0.201
j	-	0.526
j	u	0.164
j	ʎ	0.079
j	j	0.074
j	ɾ	0.054
j	ˈe	0.054
k	k	0.809
k	ɡ_u	0.111
l	l	0.58
l	-	0.239
l	w	0.163
m	m	0.909
m	n	0.051
n	n	0.712
n	-	0.182
n_a	ɐ	1.0
o	u	0.66
o	o	0.155
p	p	0.771
p	ʃ	0.115
p	p_u	0.095
r	ɾ	0.405
r	-	0.355
r	ɦ	0.121
r	ɾ_u	0.103
s	s	0.405
s	ʃ	0.377
s	s_u	0.112
s	ʃ_u	0.06
t	t	0.449
t	t_u	0.186
t	ʧ	0.17
t	ʤ	0.069
t_e	t	1.0
u	o	0.4
u	u	0.134
u	ˈa	0.101
u	a	0.073
u	ẽ	0.061
u	ɐ	0.061
u	e	0.057
u	õ	0.056
ũ	õ	0.485
v	v	1.0
w	w	1.0
y	-	0.5
y	e	0.5
z	z	0.66
z	m	0.322
ɛ	ɐ	0.422
ɛ	u	0.099
ɡ	ɡ	0.785
ɡ	v	0.198
ɲ	j̃	0.53
ɲ	j̃_u	0.366
ɲ	-	0.092
ʃ	s	0.561
ʃ	ʃ	0.115
ʃ	ʒ	0.115
ʋ	v	0.729
ʋ	b	0.169
ʋ	-	0.084
ʤ	ʒ	0.765
ʤ	ʎ	0.138
ʤ	-	0.08
ʦ	s	0.319
ʦ	s_u	0.271
ʦ	t	0.135
ʦ	-	0.097
ʦ	ʧ	0.071
ʦ	j	0.069
ʧ	-	0.347
ʧ	s	0.347
ʧ	j	0.116
ʧ	ʃ	0.106
ˈa	ˈa	0.395
ˈa	ˈa_h	0.248
ˈa	ˈɐ̃	0.136
ˈa	a	0.071
ˈa	ˈe	0.051
ˈa_n	ˈɐ̃	0.485
ˈaː	ˈa	0.826
ˈaː	ˈa_h	0.14
ˈãː	ˈɐ̃	0.472
ˈãː	ˈɐ̃_w̃	0.339
ˈãː	ˈẽ	0.084
ˈãː	-	0.08
ˈe	ˈe	0.526
ˈe	ˈɛ	0.325
ˈe	ˈẽ	0.102
ˈeː	e	0.361
ˈeː	ˈe	0.361
ˈeː	j	0.201
ˈẽː	ˈĩ	0.447
ˈẽː	ˈẽ	0.255
ˈẽː	ˈɐ̃	0.11
ˈi	ˈi	0.378
ˈi	ˈĩ	0.167
ˈi	ˈi_ʎ	0.094
ˈi	ˈi_h	0.091
ˈi	ˈu	0.09
ˈi	ˈe	0.072
ˈi	j̃	0.055
ˈiː	ˈi	1.0
ˈĩː	ˈĩ	1.0
ˈo	ˈõ	1.0
ˈu	ˈo	0.545
ˈu	ˈu	0.182
ˈu	ˈɔ_j	0.168
ˈu	ˈɔ	0.067
ˈuː	ˈo	0.485
ˈũː	ˈõ	0.519
ˈũː	ˈɐ̃_w̃	0.334
ˈũː	ˈũ	0.113
ˈy	ˈu	0.343
ˈy	ˈũ	0.24
ˈy	ˈẽ	0.12
ˈy	u	0.119
ˈy	ˈo	0.113
ˈyː	ˈo	0.503
ˈyː	ˈu	0.372
ˈyː	ˈɔ	0.081
ˈỹː	ˈũ	0.485
ˈø	ˈo	0.717
ˈø	ˈu	0.157
ˈø	ʎ	0.109
ˈøː	ˈo	0.583
ˈøː	ˈɔ	0.398
ˈɔ	ˈo	0.36
ˈɔ	ˈɔ	0.317
ˈɔ	ˈo_w	0.12
ˈɔ	ˈẽ	0.067
ˈɛ	ˈɛ	0.521
ˈɛ	ˈe	0.279
ˈɛ̃ː	ˈẽ	1.0
ˈˈi	-	0.485
