Romansch	Friulian	probability
e	e	1.0
m	m	1.0
o	o	1.0
p	p	1.0
z	-	1.0
ɲ	ɲ	1.0
ʒ	z	1.0
ʦ	ʧ	1.0
ʧ	ʧ	1.0
ˈo	ˈɔ	1.0
ˈuɔ̯	ˈo	1.0
ˈɔː	w_ˈa	1.0
w	w	0.201
ʃ	s	0.881
ʎ	l_i	0.091
ʥ	ʤ	0.111
ˈa	ˈaː	0.191
ˈe	ˈe	0.771
ˈi	ˈiː	0.081
ˈi	ˈi	0.701
ˈu	ˈɔ	0.051
ˈɔ	ˈuː	0.1
ˈɛ	i	0.051
ˈɛ	ˈi	0.481
s	s	0.952
u	u	0.362
ŋ	ŋ	0.632
ə	i	0.052
ʨ	t	0.162
ˈeː	ˈɛ	0.652
ˈiː	ˈuː	0.092
ˈu	ˈo	0.622
ˈuː	ˈoː	0.092
ˈɔ	ˈɔ	0.062
ˈɛː	ˈɛ	0.732
i	u	0.183
ʥ	ɟ	0.453
ʨ	c	0.623
ˈa	-	0.073
ˈuː	w_ˈi	0.13
ˈɛ	j_ˈɛ	0.123
b	-	0.064
j	j	0.844
l	l	0.974
ə	-	0.064
ɡ	-	0.134
ʎ	l	0.204
ˈu	ˈu	0.284
n	n	0.595
ʎ	-	0.705
ʨ	k	0.185
ˈaː	ˈaː	0.185
ˈaː	ˈa	0.815
ˈiə̯	ˈiː	0.435
ˈiə̯	j	0.565
d	d	0.986
j	-	0.156
k	k_w	0.106
r	r_i	0.076
r	-	0.076
t	t	0.976
ə	a	0.216
ə	e	0.646
ɡ	ɡ	0.866
ʥ	-	0.436
ˈa	ˈa	0.736
b	b_j	0.057
i	i	0.817
k	k	0.877
ʃ	z	0.07
ˈɛ	ˈɛ	0.237
r	r	0.848
u	o	0.638
v	p	0.058
v	v	0.918
ŋ	ŋ_k	0.368
ˈeː	ˈe	0.348
ˈi	ˈu	0.218
ˈiː	ˈu	0.108
ˈiː	ˈi	0.8
ˈuː	ˈo	0.778
ˈɛː	j_ˈɛ	0.268
b	b	0.879
f	f	0.99
n	ŋ	0.349
w	-	0.799
ˈe	-	0.229
ˈɔ	w_ˈɛ	0.249
ˈɔ	ˈa	0.589
ˈɛ	ˈuː	0.109
