Spanish	Friulian	probability
β_ɾ	r	1.0
ˈu_ɾ	ˈuː_r	1.0
ˈo_ʧ	ˈɔ_t	1.0
ˈo_ɾ	ˈa_w	1.0
ˈo_t	l_t	1.0
ˈi_x	f_ˈi	1.0
ˈe_β	f	1.0
ˈe_ʧ	ˈɛ_t	1.0
ˈe_ɣ	k	1.0
ˈa_β	ˈa_v	1.0
ˈa_ɾ	ˈaː	1.0
ʧ	t	1.0
ʝ	l	1.0
ɾ_ˈa	r_ˈa	1.0
ɾ_o	r_i	1.0
ɾ_n	r	1.0
ŋ	ŋ	1.0
ð_ɾ	r	1.0
x_o	l_i	1.0
w_ˈe	ˈo	1.0
w_a	e	1.0
u	-	1.0
t_ˈo	d_ˈu	1.0
t_a	t_e	1.0
t	t	1.0
s_ˈe	s_ˈe	1.0
r	r	1.0
p	p	1.0
o_s	o_ˈa	1.0
m	m	1.0
f	f	1.0
e_s	s	1.0
e_n	e_n	1.0
b_e	v_i	1.0
a_ð	a_d	1.0
a_s	i_s	1.0
s	s	0.927
l	l	0.86
d	d	0.852
i	i	0.824
ˈi	ˈi	0.808
ˈe_ɾ	i	0.75
n	n	0.745
ˈa	ˈa	0.735
j	j	0.721
a	e	0.721
ɾ	r	0.66
k	c	0.613
x	s	0.59
w	w	0.578
ˈo	ˈo	0.55
ɡ	k	0.548
b	v	0.548
e	-	0.524
j_ˈe	ˈi	0.52
ɲ	ɲ	0.514
ð	t	0.514
ð	d	0.486
o	o	0.481
ɡ	-	0.452
ɣ	-	0.443
ˈu	ˈu	0.435
ɣ	ɡ	0.435
x	j	0.41
k	k	0.387
β	v	0.353
ˈe	ˈɛ	0.347
ˈu	ˈo	0.324
θ	ʧ	0.321
ɟ͡ʝ	p_l	0.317
b	b	0.299
e	i	0.29
ˈe	ˈe	0.288
ɲ	n	0.284
β	-	0.28
j_ˈe	ˈiː	0.272
ˈa	ˈaː	0.265
ˈe_ɾ	ˈeː	0.25
a	a	0.245
ɟ͡ʝ	ʤ	0.244
ɟ͡ʝ	k_l	0.244
w	ˈuː	0.232
o	w	0.225
θ	z	0.209
j_ˈe	ˈɛ	0.208
θ	-	0.207
ɲ	ŋ	0.201
ɟ͡ʝ	j	0.195
β	f	0.191
e	e	0.186
β	b	0.177
i	-	0.176
n	ŋ	0.17
ˈo	ˈoː	0.168
ˈu	ˈuː	0.165
o	u	0.155
b	-	0.153
j	-	0.148
d	t	0.148
θ	ʤ	0.142
l	-	0.14
o	ˈo	0.139
ˈo	ˈɔ	0.132
j	ˈi	0.13
θ	s	0.122
ɣ	s	0.122
ɾ	-	0.116
w	ˈɔ	0.114
ˈe	ˈa	0.103
ˈe	ˈi	0.099
ˈo	ˈu	0.085
n	ɲ	0.084
ˈi	ˈiː	0.081
ɾ	i	0.076
w	-	0.076
ˈu	-	0.075
ˈe	-	0.074
s	z	0.073
ˈi	-	0.065
ɾ	ˈaː	0.065
ɾ	d_i	0.058
ˈo	w	0.052
ˈe	ˈeː	0.052
