Sassarese	Sassarese	probability
β_i	f	1.0
ˈɔ_ɬ	ˈɔ_r	1.0
ˈɔ_j	ˈo_s	1.0
ˈɔ_d	ˈo_d	1.0
ˈi_#>	e_#>	1.0
ˈe_dː	ˈɛ	1.0
ˈe_#>	j_#>	1.0
ʧː_u	d_l	1.0
ʧ	k_l	1.0
ʤː	-	1.0
ʣ	ʦ	1.0
ʒ	ʒ	1.0
ʎː	j	1.0
ʃː	-	1.0
ɲː	ɲ	1.0
ɮ	-	1.0
ɡ_u_#>	k_#>	1.0
ɡ_a	a	1.0
ɡ	ɡ	1.0
ɔ	e	1.0
ŋ	ŋ	1.0
xː	k	1.0
x	k	1.0
v	v	1.0
u_r	o_l	1.0
tː	t	1.0
t_a	t_a	1.0
t	t	1.0
s	s	1.0
rː	r	1.0
r_u	e_r	1.0
r_i	w_r	1.0
pː	p	1.0
p_u_#>	p_#>	1.0
p	p	1.0
nː	n	1.0
n_i_#>	n_#>	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l_i	l_j	1.0
l	l	1.0
kː	ʨ	1.0
k_w	k	1.0
i_d	j	1.0
i_#>	#>	1.0
f	f	1.0
e	-	1.0
dː_u	j_t	1.0
a_#>	#>	1.0
<#_ˈɛ	<#_ˈɛ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʦ	<#_ʨ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_b	<#	1.0
#>	ˈe_#>	1.0
u_#>	#>	0.971
b	b	0.882
a	a	0.866
ˈa_#>	ˈe_#>	0.846
ˈi	ˈi	0.786
d	d	0.762
sː	s	0.714
r	r	0.692
ˈu	ˈu	0.667
ʤ	ʒ	0.667
z	s	0.667
bː	-	0.667
<#_i	<#_ʃ	0.667
ˈa	ˈa	0.622
ʦː	ʦ	0.6
j	l	0.6
ʦ	ʃ	0.583
k	k	0.581
dː	l	0.533
ˈɛ	ˈɛ	0.519
β	v	0.5
ɬ	s	0.5
ɡː	ˈɛ_k	0.5
ɡː	-	0.5
i	e	0.5
ˈe	ˈɛ	0.44
k	ʨ	0.419
ˈɔ	ˈɔ	0.4
ʦː	-	0.4
ˈo	ˈo	0.381
ˈɛ	ˈe	0.333
ˈu	ˈo	0.333
ʤ	ʥ	0.333
z	z	0.333
bː	r	0.333
<#_i	<#	0.333
β	ˈɛ_f	0.3
ˈɔ	ˈo	0.3
ˈɔ	w	0.3
ˈo	ˈɔ	0.286
sː	-	0.286
ˈa	ˈɛ	0.267
dː	d	0.267
ʦ	ʦ	0.25
ɬ	ʃ	0.25
ɬ	-	0.25
u	o	0.238
d	-	0.238
i	i	0.208
r	l	0.205
β	-	0.2
ˈe	j	0.2
j	r	0.2
j	-	0.2
dː	t	0.2
u	ˈɛ	0.19
u	e	0.19
ʦ	ʧ	0.167
i	-	0.167
ˈe	ˈe	0.16
ˈa_#>	#>	0.154
ˈɛ	ˈe_j	0.148
ˈo	w	0.143
ˈi	ˈe	0.143
i	r	0.125
ˈe	j_ˈɛ	0.12
b	v	0.118
ˈo	ˈo_w	0.095
ˈo	w_ˈɛ	0.095
u	u	0.095
u	r	0.095
u	n	0.095
u	f	0.095
ˈe	-	0.08
a	-	0.075
ˈi	-	0.071
ˈa	ˈa_w	0.067
a	e	0.06
r	o	0.051
r	-	0.051
