Bellunese	Bellunese	probability
ˈo_ŋ	ˈõũ̯	1.0
ˈi_r_#>	ˈi_#>	1.0
ˈi_#>	ˈɛ_#>	1.0
ˈa_t	ˈa_t	1.0
ʧ	ʧ	1.0
ʤ	ʤ	1.0
ɲ	ɲ	1.0
ɡ_o_#>	ɡ_#>	1.0
ɡ	ɡ	1.0
ŋ_#>	#>	1.0
ð	ð	1.0
w	v	1.0
u	-	1.0
t_#>	d_#>	1.0
t	t	1.0
r_t	r_t	1.0
r_#>	#>	1.0
p	p	1.0
o_r	u_r	1.0
o_#>	#>	1.0
m	m	1.0
l	l	1.0
k	k	1.0
e_n	n	1.0
d	d	1.0
b	b	1.0
a_#>	#>	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈa	<#_ˈʌ̃	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_j	<#_ʤ	1.0
<#_a	<#_ɐ	1.0
#>	ɐ_#>	1.0
r	r	0.943
a	ɐ	0.937
n	n	0.909
f	f	0.9
v	v	0.897
θ	θ	0.889
s	s	0.861
j	j	0.833
e_r	ɐ_r	0.7
ˈɛ	ˈɛə̯	0.654
ˈɔ	ˈɔə̯	0.6
r_o	r	0.6
j_ˈe	ˈi	0.6
ˈi	ˈi	0.571
z	z	0.571
e	-	0.562
ŋ	n	0.538
o	u	0.533
i	i	0.5
i	-	0.5
ˈu	ˈu	0.429
ˈi	ˈẽ	0.429
z	-	0.429
ˈa	ˈeə̯	0.423
ˈɔ	ˈɔ	0.4
ˈe	ˈɛ	0.4
r_o	ɐ_r	0.4
j_ˈe	ˈeː	0.4
ˈo	ˈou̯	0.364
e	ɐ	0.312
ˈo	ˈo	0.303
e_r	r	0.3
ˈa	ˈʌ̃	0.288
ˈu	ˈou̯	0.286
ˈu	ˈo	0.286
ŋ	ŋ	0.231
ˈe	ˈeː	0.2
o	ɐ	0.2
ˈɛ	ˈɛ	0.192
ˈa	ˈa	0.192
j	-	0.167
ˈɛ	-	0.154
ˈo	ˈu	0.152
s	z	0.139
o	o	0.133
o	-	0.133
e	i	0.125
ˈo	ˈɔə̯	0.121
ŋ	m	0.115
ŋ	j̃	0.115
ˈe	ˈi	0.114
ˈe	ˈẽ	0.114
ˈe	-	0.114
θ	-	0.111
v	-	0.103
f	-	0.1
n	-	0.091
ˈo	-	0.061
r	r_ɐ	0.057
