Bokmål Norwegian	Ripuarian	probability
b	b	1.0
d	d	0.619
d	t	0.228
d	ʦ	0.056
d	s	0.055
d	k	0.047
d_ə	p	1.0
e	ˈaʊ̯	0.488
f	f	0.943
f	ʃ	0.058
h	h	0.917
h	k	0.082
i	ə	0.488
j	-	0.428
j	ˈɛː	0.306
j	x	0.141
j	ɕ	0.095
k	-	0.425
k	ɕ	0.304
k	k	0.177
k	x	0.075
kʰ	k	0.851
kʰ	f	0.119
kː	ŋ_k	0.594
kː	k	0.392
l	l	0.97
l	-	0.035
lː	l	0.676
lː	l_t	0.323
m	m	0.961
m	n	0.046
mː	m	1.0
n	n	0.78
n	-	0.141
n	ŋ	0.045
n	m	0.041
nː	n	0.467
nː	ŋ	0.433
nː	l	0.065
nː	-	0.038
p	f	0.701
p	p	0.291
pʰ	f	1.0
s	ʃ	0.414
s	z	0.287
s	s	0.211
s	-	0.064
s	ɕ	0.03
sː	s	1.0
t	s	0.504
t	t	0.36
t	-	0.073
t	ʦ	0.061
tʰ	d	0.625
tʰ	ʦ	0.296
tː	x	0.412
tː	ɕ	0.245
tː	s	0.162
tː	ʦ	0.162
ç	d	0.758
ç	k	0.088
ŋ	ɕ	0.207
ŋ	ɪ	0.207
ŋː	ŋ	1.0
ə	ə	0.508
ə	-	0.471
ə_ɾ	ɐ	1.0
ɡ	j	0.617
ɡ	ɣ	0.105
ɡ	k	0.077
ɡ	x	0.064
ɡ	-	0.06
ɡː	k	0.715
ɡː	-	0.196
ɪ	ə	0.238
ɳ	n	0.776
ɳ	-	0.17
ɾ	ʀ	0.445
ɾ	ɐ	0.289
ɾ	d_ɐ	0.118
ɾ	-	0.076
ɾ	t	0.062
ɾ_ə	ɐ	1.0
ʂ	z	0.53
ʂ	m	0.461
ʃ	ʃ	1.0
ʈ	ʦ	0.488
ʈː	ʦ	1.0
ʋ	ʋ	0.473
ʋ	v	0.238
ʋ	f	0.198
ʋ	-	0.07
ʋ	ʀ	0.03
ˈeː	ˈeː	0.374
ˈeː	ˈɛ	0.215
ˈeː	ˈaː	0.21
ˈeː	ˈeɪ̯	0.105
ˈeː	ˈɛː	0.077
ˈiː	ˈiː	0.576
ˈiː	ˈe	0.162
ˈiː	ˈɪ	0.072
ˈiː	ˈʏ	0.072
ˈiː	ˈeː	0.056
ˈoː	ˈoː	0.707
ˈoː	ˈɔ	0.093
ˈoː	ˈøː	0.088
ˈoː	ˈʏ	0.088
ˈuː	ˈoː	0.583
ˈuː	ˈoː_t	0.121
ˈuː	ˈɔ	0.106
ˈuː	ʀ	0.057
ˈuː	ˈaʊ̯	0.057
ˈyː	ˈeː	0.587
ˈyː	ˈyː	0.163
ˈyː	ˈøː	0.124
ˈyː	ˈiː	0.064
ˈyː	ˈɔʏ̯	0.047
ˈæ	ˈɪ	0.322
ˈæ	ˈɛː	0.157
ˈæɪ̯	ˈɛː	0.502
ˈæɪ̯	ˈeː	0.306
ˈæɪ̯	ˈɪ	0.141
ˈæː	ˈɛ	0.58
ˈæː	-	0.202
ˈæː	ˈeː	0.075
ˈøː	ˈuː_t	0.207
ˈøː	ˈiː	0.176
ˈøː	ɐ	0.154
ˈøː	ˈaʊ̯	0.116
ˈøː	ˈyː	0.088
ˈœ	ˈøː	0.273
ˈœ	ˈɛ	0.191
ˈœ	ˈoː	0.126
ˈœ	ˈɔ	0.126
ˈœ	ˈʏ	0.126
ˈɑ	ˈa	0.685
ˈɑ	ˈaː	0.101
ˈɑ	ˈɛ	0.088
ˈɑ	ˈɛː	0.065
ˈɑ	ˈɔ	0.049
ˈɑː	ˈa	0.572
ˈɑː	ˈaː	0.4
ˈɔ	ˈɔ	0.407
ˈɔ	ˈʊ	0.268
ˈɔ	ˈaː	0.163
ˈɔ	ˈɛ	0.067
ˈɛ	ˈɛ	0.353
ˈɛ	ˈɪ	0.128
ˈɛ	ˈaː	0.084
ˈɛ	ˈɛː	0.084
ˈɛ	ˈœ	0.076
ˈɛː	ˈɛː	0.488
ˈɪ	ˈe	0.493
ˈɪ	ˈɪ	0.283
ˈɪ	ˈa	0.138
ˈɪ	ˈiː	0.051
ˈɪ	-	0.036
ˈʉ	ˈɔ	0.448
ˈʉ	ˈo	0.191
ˈʉ	ˈe	0.126
ˈʉ	ˈœ	0.126
ˈʉ	ˈuː	0.091
ˈʉː	ˈuː	0.406
ˈʉː	ˈɛː	0.114
ˈʉː	ˈoː	0.111
ˈʉː	ˈaʊ̯	0.086
ˈʉː	ˈɔ	0.086
ˈʊ	ˈo	0.225
ˈʊ	ˈʊ	0.157
ˈʊ	ˈu	0.11
ˈʊ	ˈyː	0.101
ˈʊ	ˈʏ	0.101
ˈʏ	ˈœ	0.486
ˈʏ	ˈo	0.219
ˈʏ	ˈɪ	0.147
ˈʏ	ˈʏ	0.064
