Bellunese	Bellunese	probability
ˈɛ_t	ˈi_t	1.0
ˈɛ_r	ˈɛ_r	1.0
ˈu	ˈu	1.0
ˈo_ŋ	ˈo	1.0
ˈo_n	ˈɔ_n	1.0
ˈe_ŋ	ˈe	1.0
ˈe_r_#>	ˈɛ_#>	1.0
ˈa_ŋ_#>	ˈa_#>	1.0
ʧ_o_#>	ʎ_#>	1.0
ʧ	k_l	1.0
ʤ	ɡ_l	1.0
ɲ	ɲ	1.0
ŋ_t_#>	n_#>	1.0
ŋ_k	ŋ	1.0
z_e	w	1.0
v_o	w	1.0
t_e	mː	1.0
t_a	t_ə	1.0
s_#>	#>	1.0
r_θ	r_s	1.0
r_o_#>	r_#>	1.0
r_o	ɾ_ə	1.0
r_e	ɾ	1.0
r_#>	#>	1.0
p	p	1.0
n_#>	#>	1.0
m	m	1.0
k_r	k_ɾ	1.0
k	k	1.0
d_e	w	1.0
d_a	ð_ə	1.0
a_v	ə_β	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_ʎ	1.0
<#_d	<#_d	1.0
#>	s_#>	1.0
a	ə	0.933
ˈi	ˈi	0.917
ˈa	ˈa	0.913
f	f	0.9
θ	s	0.875
s	s	0.875
b	b	0.875
n	n	0.824
j	l	0.8
e	ə	0.8
ˈɛ	ˈe	0.789
ð	ʒ	0.778
t	t	0.773
ˈɔ	ˈɔ	0.733
z	-	0.7
ˈe	ˈɛ	0.692
v	b	0.667
<#	<#_ə	0.636
ɡ_o_#>	k_#>	0.6
j_ˈe	ˈɛ	0.6
ɡ	ɡ	0.571
w	w	0.571
r	ɾ	0.567
d	ð	0.5
l	ʎ	0.469
l	l	0.469
o	u	0.438
ɡ	ɣ	0.429
w	-	0.429
i	i	0.429
ɡ_o_#>	#>	0.4
ŋ	-	0.4
j_ˈe	ˈe	0.4
ˈo	ˈɔ	0.394
ˈo	ˈo	0.394
e_r	ɾ_ə	0.375
e_r	ə	0.375
o	-	0.344
ˈe	ˈe	0.308
z	z	0.3
r	r	0.3
d	-	0.3
i	ə	0.286
i	-	0.286
ŋ	n	0.25
e_r	ɾ	0.25
v	β	0.238
ð	-	0.222
ŋ	ŋ	0.2
j	-	0.2
e	-	0.2
d	d	0.2
<#	<#_ɡ	0.182
<#	<#_b	0.182
n	ɲ	0.176
ŋ	m	0.15
t	-	0.136
ˈɔ	ˈu	0.133
ˈɔ	-	0.133
θ	t	0.125
s	ʃ	0.125
b	-	0.125
ˈo	ˈu	0.121
ˈɛ	ˈɛ	0.105
ˈɛ	-	0.105
f	-	0.1
v	w	0.095
o	ə	0.094
ˈo	ˈɛ	0.091
t	j_t	0.091
ˈa	ˈe	0.087
ˈi	-	0.083
r	β_ɾ	0.067
r	ɾ_ə	0.067
o	ɾ	0.062
o	w	0.062
l	-	0.062
