Eastphalian	Eastphalian	probability
ˈɪ_ç	ˈiə̯_χː	1.0
ˈɪ_n	n	1.0
ˈɛə̯	ˈɒ	1.0
ˈøː	-	1.0
ˈyː	ˈyː	1.0
ˈaː	-	1.0
ˈaʊ̯	ˈuə̯	1.0
ɪ	i	1.0
ɣ̊	ɡ̊	1.0
ɡ	kː	1.0
ə_#>	#>	1.0
ɒː	æ	1.0
ɐ_t	r_ʦ	1.0
ç_#>	ɡ̊_#>	1.0
z̥_#>	z̥_#>	1.0
z	z̥	1.0
x	χː	1.0
w	ʋ	1.0
v̥	b̥	1.0
v_n	b̥_ə	1.0
t_n	sː_ə	1.0
r	r	1.0
n_n	n_ə	1.0
n_d̥_#>	ŋ_#>	1.0
n_#>	#>	1.0
m	m	1.0
l	l	1.0
k_ə	χː_ə	1.0
k_#>	χː_#>	1.0
h	h	1.0
f_#>	b̥_#>	1.0
d_r	tː_r	1.0
b_m	fː_ə	1.0
b	b̥	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#	<#_ɡ̊	1.0
f	v̥	0.889
v	ʋ	0.833
ŋ	ŋ	0.818
ˈɪ	ˈi	0.81
ˈuː	ˈuː	0.75
ɣ	ɡ̊	0.75
s	ʒ̊	0.733
j	ɡ̊	0.714
ə	ə	0.688
ˈɔʏ̯	ˈyə̯	0.667
ˈa	ˈɒ	0.654
ˈiː	ˈiː	0.643
ˈɛ	ˈæ	0.636
ˈeo̯	ˈoː	0.636
ˈeː	-	0.625
ˈoː	-	0.6
ɐ	r	0.59
d̥	tː	0.571
k	ɣ̊	0.565
ˈʏ	ˈy	0.556
p	fː	0.545
ˈʊ	ˈu	0.538
d	tː	0.52
ˈɒː	ˈɒː	0.5
ˈœ	ˈø	0.5
ˈœ	ˈu	0.5
ʃ	ʒ̊	0.5
ʃ	ʃː	0.5
d	d̥	0.48
ˈɔ	ˈo	0.462
n	n	0.429
d̥	d̥	0.429
ɐ	ə_r	0.41
n	ə	0.408
ˈoː	ˈoː	0.4
ˈɛː	ˈɒ	0.375
ˈɛː	ˈæ	0.375
ˈeː	ˈæ	0.375
t	tː	0.372
ˈɛ	-	0.364
ˈeo̯	ˈau̯	0.364
p	p͡f	0.364
ˈɛɪ̯	ˈæi̯	0.346
ˈɔʏ̯	-	0.333
t	ʦ	0.326
ˈɔ	ˈu	0.308
k	kː	0.304
t	sː	0.302
ˈɒː	ˈɒ	0.286
ˈiː	-	0.286
j	j	0.286
#>	ɡ̊_#>	0.273
#>	tː_#>	0.273
#>	d̥_#>	0.273
ˈɛɪ̯	ˈyː	0.269
s	ʃː	0.267
ˈɛː	-	0.25
ˈuː	-	0.25
ɣ	-	0.25
ˈɔ	ˈɒ	0.231
ˈʏ	ˈu	0.222
ˈʏ	-	0.222
ˈɒː	ˈoː	0.214
ə	-	0.188
ŋ	ɡ̊_ə	0.182
#>	ə_#>	0.182
ˈʊ	ˈuə̯	0.154
ˈʊ	ˈo	0.154
ˈʊ	-	0.154
ˈa	ˈɒː	0.154
k	χː	0.13
ə	i	0.125
ˈɛɪ̯	ˈiə̯	0.115
ˈɛɪ̯	ˈeː	0.115
ˈa	ˈæ	0.115
f	fː	0.111
ˈɪ	ˈy	0.095
ˈɪ	-	0.095
p	pː	0.091
v	ʋ_ˈu	0.083
v	b̥_ə	0.083
ˈɛɪ̯	ˈæː	0.077
ˈɛɪ̯	-	0.077
ˈa	-	0.077
ˈiː	ˈei̯	0.071
