Neapolitan	Aromanian	probability
ˈɔ_v	w	1.0
ˈɔ_n	ˈu_n	1.0
ˈu_kː	ˈu_k	1.0
ˈu_j	ˈo_j	1.0
ˈa_#>	i_#>	1.0
ʦː	-	1.0
ʤː	-	1.0
ʎː_ə_#>	ʎ_#>	1.0
ʎː	ʎ	1.0
ʃː	ʃ_t	1.0
ɾ_ə	r_i	1.0
ɾ_n	r_n	1.0
ɲː	n	1.0
ə_n	i_n	1.0
ə_#>	#>	1.0
ŋ_k	n_ʦ	1.0
ŋ	-	1.0
w_ˈɔ	ˈo	1.0
w	-	1.0
u	u	1.0
t	t	1.0
s	s	1.0
r_k	r_k	1.0
o	u	1.0
nː	n	1.0
mː_ə_#>	m_#>	1.0
mː	m	1.0
m_j	ɲ	1.0
lː_ə_#>	l_#>	1.0
lː	-	1.0
l_ə_#>	r_#>	1.0
l	r	1.0
kː_ə	k_ə	1.0
kː	k	1.0
k_j	p_l	1.0
k	k	1.0
j_ˈɛ	ˈe	1.0
i	i	1.0
e	i	1.0
b_w	b	1.0
a_j	a_ʤ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʃ	<#	1.0
<#_w	<#	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_j	<#_ʣ	1.0
<#	<#_a	1.0
#>	i_#>	1.0
n	n	0.846
p	p	0.81
ʃ	ʦ	0.75
m	m	0.75
ˈu	ˈu	0.739
ɾ	r	0.733
d	d	0.692
ˈe	e̯ˈa	0.625
tː	p_t	0.625
j	ʎ	0.615
ɡ	ɡ	0.6
f	f	0.545
ˈi	ˈi	0.536
ˈo	ˈu	0.5
ˈo	o̯ˈa	0.5
ˈa	ˈa	0.5
ʤ	ʤ	0.5
ʤ	ʣ	0.5
sː_ə_#>	s_#>	0.5
sː_ə_#>	#>	0.5
r	r	0.5
r	a_r	0.5
a	-	0.5
f	ç	0.455
ˈɔ	ˈo	0.429
ˈɔ	o̯ˈa	0.429
ɡ	-	0.4
tː	t	0.375
ə	ə	0.364
ə	i	0.327
d	ʣ	0.308
a	ə	0.3
ˈɛ	ˈe	0.294
v	b	0.28
ˈa	ˈɨ	0.263
ʃ	s	0.25
m	ɲ	0.25
v	v	0.24
ˈɛ	ˈi	0.235
ˈɛ	ˈa	0.235
ˈɛ	e̯ˈa	0.235
j	-	0.231
ə	u	0.209
a	a	0.2
p	k	0.19
ˈe	ˈi	0.188
ˈe	ˈe	0.188
ˈu	ˈo	0.174
ɾ	d	0.167
v	j	0.16
v	-	0.16
j	j	0.154
ˈɔ	ˈa_v	0.143
ˈi	ˈe	0.143
ˈi	e̯ˈa	0.143
ˈa	ˈa_r	0.132
ˈi	ˈi_r	0.107
ˈa	-	0.105
ɾ	-	0.1
ˈu	o̯ˈa	0.087
v	w	0.08
v	r	0.08
n	m	0.077
n	-	0.077
ˈi	ˈə	0.071
