Sicilian	Sicilian	probability
ˈɛ_ɖː	ˈɛ	1.0
ˈɛ_n	ˈe_ŋ	1.0
ˈɔ_n	ˈo_n	1.0
ˈɔ_k	ˈo_ɡ	1.0
ˈu_ɕ	ˈo_z	1.0
ˈu_j	ˈu	1.0
ˈo	ˈo	1.0
ˈi_ɟː	ˈi	1.0
ˈi_ɖː	ˈe	1.0
ˈi_kː	ˈe_k	1.0
ˈa_w	ˈɔ	1.0
ˈa_t	ˈa_d	1.0
ˈa_k	ˈa_ɡ	1.0
ˈa	ˈa	1.0
ʧː	s	1.0
ʦ	-	1.0
ʤː	z	1.0
ʤ	z	1.0
ʐː	r	1.0
ʈː	t	1.0
ʈ_ɽ	r	1.0
ʈ	t	1.0
ʃː	s	1.0
ʃ	s	1.0
ɾ_ʊ	r_o	1.0
ɾ_ɪ_#>	r_#>	1.0
ɾ_n	r_n	1.0
ɽ	r	1.0
ɪ_ɾ	a_r	1.0
ɡ	ɡ	1.0
ɟ	-	1.0
ɖː	ɰ	1.0
ŋ	ŋ	1.0
ç	f_j	1.0
z	z	1.0
tː	t	1.0
sː	s	1.0
s	s	1.0
r_k	r_k	1.0
r	r	1.0
p_ˈɔ	p_ˈɔ	1.0
o	o	1.0
n_ɪ_#>	ŋ_#>	1.0
mː	m	1.0
lː	-	1.0
kː	k	1.0
k_ɾ	k_r	1.0
j	j	1.0
f	f	1.0
dː	d	1.0
d	d	1.0
cː	ʧ	1.0
c	p_j	1.0
b	b	1.0
a_#>	#>	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈi	<#_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʐ	<#_r	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_j	<#_z	1.0
#>	o_#>	1.0
ʊ	o	0.978
m	m	0.92
a	a	0.919
v	v	0.909
l	ɰ	0.88
ɪ	e	0.855
p	p	0.833
k	k	0.833
ɲː	ɲ	0.818
ɪ_#>	#>	0.81
n_ʊ_#>	ŋ_#>	0.8
<#_l	<#	0.8
u	o	0.75
nː	n	0.75
ˈɛ	ˈɛ	0.741
ˈɔ	ˈɔ	0.727
t	t	0.706
ɾ	r	0.654
ʦː	s	0.6
i	e	0.6
ɟː	ʤ	0.571
ɕ	s	0.556
w	w	0.545
ˈi	ˈe	0.535
n	n	0.519
ˈe	ˈɛ	0.5
ˈe	-	0.5
n	ŋ	0.481
ˈu	ˈo	0.447
ɕ	z	0.444
ɟː	j	0.429
ʦː	z	0.4
ˈi	ˈi	0.395
ˈu	ˈu	0.383
ˈɔ	ˈo	0.273
w	-	0.273
u	-	0.25
nː	ŋ_d	0.25
n_ʊ_#>	n_#>	0.2
i	i	0.2
i	-	0.2
<#_l	<#_l	0.2
ɾ	d	0.192
ɪ_#>	i_#>	0.19
ɲː	-	0.182
w	l	0.182
t	-	0.176
p	v	0.167
k	ɡ	0.167
l	l	0.12
t	d	0.118
ˈɛ	j_ˈe	0.111
ˈu	-	0.106
v	b	0.091
a	-	0.081
m	-	0.08
ɾ	ˈi	0.077
ɾ	l	0.077
ˈɛ	j_ˈɛ	0.074
ˈɛ	-	0.074
ɪ	ˈi	0.073
ˈi	ˈɛ	0.07
ˈu	ˈɔ	0.064
