Taiwanese Hokkien	Taiwanese Hokkien	probability
⁵	⁵⁵	1.0
⁴⁴	³³	1.0
⁴	³²	1.0
ʨʰ	-	1.0
ɡ_ɔ	m̩	1.0
ɡ	ᵑɡ	1.0
ɛ	u	1.0
ɕ	ɬ	1.0
ŋ	ŋ	1.0
¹¹	³³	1.0
²⁴	²²	1.0
²²	³²	1.0
t̚	t̚	1.0
tʰ	h	1.0
t	ʦ	1.0
s	ɬ	1.0
pʰ	pʰ	1.0
n	n	1.0
k̚	k̚	1.0
kʰ	h	1.0
j_ɔ	ɵ	1.0
j_a	j_a	1.0
ĩ	e_n	1.0
h_w	f	1.0
b	ᵐb	1.0
a_w	e_w	1.0
<#_t	<#	1.0
<#_kʰ	<#	1.0
k	k	0.9
j	j	0.773
⁵³	⁵⁵	0.704
³³	³²	0.692
³²	⁵⁵	0.688
w	w	0.65
m	m	0.625
i	i	0.625
ɪ	a	0.6
u	u	0.588
ʔ	k̚	0.583
ʦʰ	tʰ	0.571
e	a	0.571
o	a_w	0.556
#>	³³_#>	0.5
#>	²¹_#>	0.5
<#	<#_j	0.444
ʨ	s	0.429
ʦʰ	ʦʰ	0.429
ʔ	t̚	0.417
ɪ	-	0.4
ɔ	u	0.4
l	ᵑɡ	0.4
p	p	0.385
p	f	0.385
m	ᵐb	0.375
i	e_j	0.375
ŋ̍	ɔ_ŋ	0.364
a	a	0.355
ʦ	tʰ	0.333
ʦ	t	0.333
ʦ	s	0.333
l	l	0.333
ã	ɔ_n	0.333
<#	<#_s	0.333
³²	³³	0.312
³³	-	0.308
ɔ	ɵ	0.3
ɔ	ɔ	0.3
u	-	0.294
ʨ	ʦ	0.286
ʨ	t	0.286
ŋ̍	u_n	0.273
h	h	0.273
h	f	0.273
h	-	0.273
l	ⁿd	0.267
p	pʰ	0.231
a	ɵ	0.226
o	ɔ	0.222
o	a	0.222
ã	n	0.222
ã	a_ŋ	0.222
ã	a	0.222
<#	<#_ᵑɡ	0.222
w	-	0.2
⁵³	²¹	0.185
ŋ̍	ɔ_n	0.182
ŋ̍	a_n	0.182
h	h_w	0.182
w	a	0.15
e	u	0.143
e	j	0.143
e	e_j	0.143
j	-	0.136
a	ɔ	0.129
u	u_j	0.118
k	kʰ	0.1
a	w_ɔ	0.097
j	ɵ	0.091
⁵³	j_⁵⁵	0.074
a	ɛ	0.065
a	ɔ_j	0.065
a	e	0.065
