Asturian	Friulian	probability
d	d	1.0
f	f	1.0
p	p	1.0
r	r	1.0
ŋ	ŋ	1.0
ɟ͡ʝ	j	1.0
ʎ	l	1.0
ʧ	t	1.0
a	e	0.691
t	ʧ	0.061
ð	d	0.821
ʃ	ʤ	0.781
ˈo	ˈoː	0.191
β	b	0.101
θ	s	0.361
k	c	0.702
m	m	0.942
u	l_i	0.082
ð	t	0.152
ɡ	v	0.172
ʃ	-	0.202
ˈa	ˈaː	0.22
ˈo	ˈo	0.462
β	v	0.592
i	-	0.113
w	-	0.133
ˈe	ˈɛ	0.403
ˈu	ˈu	0.423
a	-	0.084
b	b	0.284
l	l	0.914
n	n	0.924
u	i	0.494
ɡ	ɡ	0.574
ʝ	j	0.404
ˈe	ˈa	0.104
θ	ʧ	0.484
e	e	0.315
j	-	0.05
j	j	0.95
o	o	0.235
t	t	0.885
ɣ	k	0.065
ɲ	n	0.435
ɲ	ɲ	0.565
θ	-	0.085
b	v	0.716
e	-	0.056
l	-	0.086
n	ɲ	0.066
ɡ	k	0.076
ɣ	ɡ	0.496
ʝ	-	0.596
ˈa	ˈa	0.766
ˈe	ˈi	0.076
ˈi	ˈi	0.976
ˈo	ˈɔ	0.066
a	ˈaː	0.077
i	i	0.887
o	i	0.067
o	w_ˈa	0.107
u	o	0.147
w	w	0.867
ɡ	-	0.177
ɾ	r	0.877
ˈe	-	0.127
ˈo	ˈu	0.127
β	-	0.307
θ	z	0.07
k	k	0.298
m	-	0.058
o	-	0.228
o	u	0.28
u	-	0.278
ˈo	w	0.058
ˈo	-	0.058
ˈu	ˈuː	0.108
a	a	0.149
e	i	0.629
s	s	0.969
ɣ	-	0.439
ɾ	-	0.09
ˈe	ˈe	0.249
ˈu	ˈo	0.469
