West Frisian	West Frisian	probability
χ_t	x	1.0
χ	x	1.0
ˈɪə̯_l	ˈaː_v̥	1.0
ˈɪə̯_#>	ˈu_d̥_#>	1.0
ˈɪ_t	ˈɛː_t	1.0
ˈɛi̯	-	1.0
ˈɛ_t	t	1.0
ˈɛ_j	ˈɛːi̯	1.0
ˈɔu̯	-	1.0
ˈøə̯	ˈʏː	1.0
ˈø	-	1.0
ˈyː_t	t	1.0
ˈy	-	1.0
ˈoː	-	1.0
ˈi_t	t	1.0
ˈeː	-	1.0
ʦ	t	1.0
ʋ	β	1.0
ɣ_ə	x	1.0
ɡ	ɣ	1.0
ə_n	ə	1.0
ɕ	z	1.0
ŋ	ŋ	1.0
v_ə	ə_v̥	1.0
s_ˈiː	z	1.0
s_t	s	1.0
r_m	ə_m	1.0
r	ʀ	1.0
p	p	1.0
n_ə	n_d̥	1.0
k_ə	k	1.0
j_ˈɪ	ˈeː	1.0
j_ˈɔ	ˈeː	1.0
h	ɦ	1.0
f_#>	v̥_#>	1.0
f	v	1.0
d̥_#>	#>	1.0
d̥	d̥	1.0
d_ə	j_ə	1.0
d	d	1.0
b	b	1.0
<#_t	<#_d	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_j	<#_j	1.0
l	l	0.957
m	m	0.917
k	k	0.913
t	t	0.875
v	β	0.818
j	-	0.8
ə	ə	0.762
s_#>	z̥_#>	0.75
ɣ	ɣ	0.667
s	z	0.618
ˈɔː	ˈɑː	0.6
ˈu	ˈʊː	0.6
n	n	0.596
ˈɛː	-	0.571
ˈuː	ˈuː	0.5
ɪ	ɪ	0.5
ɪ	-	0.5
z	ɡ	0.5
z	-	0.5
s_k	ʃ	0.5
s_k	s	0.5
ˈa	ˈɑ	0.474
ˈɔ	ˈɔ	0.471
ˈɛ	ˈæː	0.455
ˈiː	ˈiː	0.455
ˈɛː	ˈaː	0.429
ˈɔː	ˈaː_j	0.4
ˈuə̯	ˈʊː	0.4
ˈu	-	0.4
ˈi	ˈiː	0.4
ˈi	-	0.4
ˈoə̯	ˈʊː	0.385
ˈaː	ˈaː	0.385
s	s	0.382
ˈɛ	-	0.364
ˈuː	-	0.357
ˈɪə̯	-	0.353
ɣ	k	0.333
ˈaː	-	0.308
ˈa	-	0.263
s_#>	#>	0.25
ˈɪ	ˈɪː	0.24
ˈiə̯	ˈɒː	0.238
ˈiə̯	ˈi	0.238
ˈɪə̯	ˈeː	0.235
ˈɔ	-	0.235
ˈoə̯	ˈʊː_ʀ	0.231
ˈoə̯	ˈɒː	0.231
ˈɪ	ˈɪ	0.2
ˈɪ	-	0.2
ˈuə̯	ˈøː	0.2
ˈuə̯	ˈoː	0.2
ˈuə̯	-	0.2
ˈi	ˈɪː	0.2
ə	-	0.19
ˈɛ	ˈaː	0.182
ˈiː	ˈɪː	0.182
ˈiː	ˈɛː	0.182
ˈiː	-	0.182
v	v	0.182
ˈɪə̯	ˈɔː	0.176
ˈɔ	ˈɔː	0.176
ˈa	ˈaː	0.158
ˈoə̯	ʀ	0.154
ˈaː	ˈɒː	0.154
ˈaː	ˈeː	0.154
n	n_d̥	0.154
ˈuː	ˈʊː	0.143
ˈiə̯	ˈɛː	0.143
ˈiə̯	ˈøː	0.143
ˈiə̯	ˈeː	0.143
ˈɪ	ˈɛ	0.12
ˈɪ	ˈi	0.12
ˈɪ	ˈeː	0.12
ˈɪə̯	ˈɛː	0.118
ˈɪə̯	ˈyː	0.118
ˈɔ	ˈæ	0.118
ˈa	ˈɑː	0.105
j	ˈeː	0.1
j	ɣ	0.1
ˈiə̯	-	0.095
k	ə_k	0.087
m	ə_m	0.083
n	ʀ_ə	0.077
n	-	0.077
t	ˈɛː_t	0.062
t	ʀ_t	0.062
n	v_ə	0.058
