Hessian	Hessian	probability
ˈɛ̃ː	ˈoː	1.0
ˈɛː	-	1.0
ˈɛ_k	ˈɛ	1.0
ˈɑ̃i̯	ˈiː_n	1.0
ˈɑ_x	ˈɔ	1.0
ˈɑ	ˈɑ	1.0
ˈuː_d̥	ˈuː	1.0
ˈuː_#>	ˈʉː_#>	1.0
ˈuː	ˈuː	1.0
ˈõː	ˈɔ_n	1.0
ˈoː_d̥	ˈæʉ̯	1.0
ˈoː	-	1.0
ˈoĩ̯	ˈiː	1.0
ˈĩː	ˈøː_n	1.0
ˈẽː	-	1.0
ˈeː	ˈøː	1.0
ˈãː	ˈæɪ̯_n	1.0
ˈa_d̥	ˈɑː	1.0
ʒ̊	-	1.0
ʃ_d̥	s_t	1.0
ʃ_#>	ɡ_#>	1.0
ʀ	ɾ	1.0
ə_#>	#>	1.0
ɑ	-	1.0
ɐ_d̥	ˈuː_ɾ	1.0
ŋ_ɡ̊	ʰkː	1.0
æ̆_#>	#>	1.0
z̥	t	1.0
v̥	p	1.0
v_ˈo	ˈʉ	1.0
v_ˈi	ˈʏ	1.0
p	b	1.0
oː	ˈæʉ̯	1.0
n_s	sː	1.0
n_d̥	nː	1.0
m	m	1.0
l_d̥	lː	1.0
k_ʀ	ɡ_ɾ	1.0
j	-	1.0
h	h	1.0
b̥	b	1.0
<#_ʀ	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_l	<#_j	1.0
<#	<#_j	1.0
ɐ	ɾ	0.867
ŋ	ŋː	0.857
ə	ɑ	0.844
ˈau̯	ˈʉː	0.8
l	l	0.784
kʰ	kʰ	0.778
s	s	0.765
ˈa	ˈɑ	0.75
v	ʋ	0.727
ɣ̊	ɡ	0.667
b̥_#>	ʋ_#>	0.667
f	f	0.63
æ̆	ɾ	0.625
ˈo	-	0.6
k	ɡː	0.6
ˈoi̯	ˈyː	0.571
ˈe	-	0.571
ˈai̯	ˈiː	0.556
ʦ	tʰ	0.556
ˈu	ˈʉ	0.538
ˈɔ	ˈʊ	0.5
ˈɔ	-	0.5
ˈæː	j	0.5
ˈæː	-	0.5
x	ɡ	0.5
x	k	0.5
ʦ	-	0.444
n	n	0.44
ˈɑː	ˈoː	0.429
ˈoi̯	-	0.429
ˈe	ˈɛ	0.429
ˈiː	ˈyː	0.417
ˈi	ˈɪ	0.414
ˈæ	ˈɛ	0.4
ˈæ	-	0.4
ˈo	ˈʉ	0.4
ˈaː	ˈæʉ̯	0.4
ˈaː	ˈæɪ̯	0.4
k	kʰ	0.4
#>	ɑ_#>	0.389
ˈɛ	ˈɛ	0.375
ˈɛ	ˈeː	0.375
ˈɑː	ˈɑː	0.357
ˈiː	-	0.333
ɣ̊	-	0.333
ɡ̊	ɡ	0.333
b̥_#>	#>	0.333
n	nː	0.32
t	d	0.312
d̥	d	0.31
d̥	-	0.31
ʃ	s	0.286
v	-	0.273
ˈɛ	-	0.25
ˈiː	ˈʉː	0.25
ˈa	ˈɑː	0.25
ɡ̊	j	0.25
ɡ̊	-	0.25
æ̆	e_ɾ	0.25
t	ʰtː	0.25
d̥	tʰ	0.241
ˈu	ˈuː	0.231
ˈu	-	0.231
ˈai̯	ˈɛ	0.222
ˈai̯	-	0.222
kʰ	ç	0.222
#>	ɾ_#>	0.222
ˈɑː	ˈɑ_ɾ	0.214
ˈi	ˈʏ	0.207
ˈæ	ˈæ	0.2
ˈaː	ˈœʏ̯	0.2
ˈau̯	-	0.2
ʃ	ʂ	0.19
ʃ	s_k	0.19
ʃ	k	0.19
t	t	0.188
ˈi	-	0.172
ɡ̊	ɡ_ˈʉː	0.167
#>	nː_#>	0.167
l	lː	0.162
n	n_d	0.16
f	p	0.148
s	t	0.147
ʃ	-	0.143
ŋ	ɲ	0.143
ɐ	-	0.133
æ̆	ə_ɾ	0.125
t	tʰ	0.125
t	-	0.125
f	ʋ	0.111
#>	ɡː_#>	0.111
#>	t_#>	0.111
ˈi	ˈiː	0.103
ˈi	ˈeː	0.103
ə	j_ɑ	0.094
s	ʂ	0.088
n	-	0.08
f	pʰ	0.074
d̥	ç	0.069
d̥	t	0.069
ə	-	0.062
l	-	0.054
