Slovak	Slovak	probability
ʧ	ʧ	1.0
ʒ̊	ʒ̊	1.0
ʒ	ʒ	1.0
ʎ_a	l_ɛ	1.0
ʎ_#>	ɫ_#>	1.0
ʋ_ɛ	vʲ_a	1.0
ʋ_iː	f	1.0
ʋ_a	v_ɐ	1.0
ʊ̯ɔ	ɔ	1.0
ʃ	-	1.0
ɫ̩	ɤ	1.0
ɪ̯a	ɛ	1.0
ɦ	ɡ	1.0
ɡ̊	k	1.0
ɟ̊	d̥	1.0
ɟ_ɪ̯ɛ	dʲ	1.0
ɟ	d	1.0
æ	ɛ	1.0
z̥	z̥	1.0
z	z	1.0
x_#>	ɡ̊_#>	1.0
x	x	1.0
v	v	1.0
t	t	1.0
s_#>	s_#>	1.0
s	s	1.0
r̩ː	r	1.0
r_#>	r_#>	1.0
r	r	1.0
p_ɔ	p_ɛ	1.0
p	p	1.0
n_iː	ɛ_n	1.0
n	n	1.0
m	m	1.0
l̩	ɐ_ɫ	1.0
k_a	k_a	1.0
k	k	1.0
j	j	1.0
iː	-	1.0
i_#>	#>	1.0
i	i	1.0
eː	rʲ	1.0
e	ɛ	1.0
d̥	d̥	1.0
d_ɫ	ɫ	1.0
d	d	1.0
c_#>	#>	1.0
b̥	b̥	1.0
<#_ɦ	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_j_a	<#_ɛ	1.0
<#_c	<#_t	1.0
b	b	0.917
ɫ	ɫ	0.882
ʋ	v	0.85
ɲ	n	0.75
a	a	0.717
ɛ	ɛ	0.714
c	t	0.615
ʎ	l	0.6
ɪ̯ɛ	a	0.6
uː	ɤ	0.6
ʦ	ʦ	0.571
u	u	0.5
l	ɫ	0.5
aː	ɛ	0.5
aː	a	0.5
ɔ	ɔ	0.457
ɔ	o	0.435
ʎ	-	0.4
ɪ̯ɛ	ɛ	0.4
uː	u	0.4
u	ɤ	0.333
r̩	ɤ	0.333
r̩	r_ɤ	0.333
r̩	r	0.333
l	lʲ	0.333
ʦ	ʃ_t	0.286
ɲ	-	0.25
a	ɐ	0.239
c	j_ɐ	0.231
u	ɐ	0.167
l	l	0.167
c	ɐ	0.154
ʋ	f	0.15
ʦ	ʦʲ	0.143
ɛ	ɐ	0.119
ɛ	a	0.119
ɫ	-	0.118
ɔ	ɐ	0.109
b	bʲ	0.083
