Gascon	Gascon	probability
ˈɛ_ʦ	ˈi_s	1.0
ˈi_z	ˈi	1.0
ˈi_#>	ˈi_r_#>	1.0
ˈe_w	ˈɛ_f	1.0
ˈe_j	ˈi	1.0
ˈa_w	ˈɔ	1.0
ˈa_#>	ˈe_r_#>	1.0
ʦ	j_s	1.0
ʤ	ʤ	1.0
ʎ	ʎ	1.0
ʃ	s	1.0
ɾ_ˈe	r_ˈɔ	1.0
ŋ_#>	n_#>	1.0
ð_ɔ	ə	1.0
z	z	1.0
y	-	1.0
w_ˈe	ˈy	1.0
w_t	w_t	1.0
w_k	j	1.0
u_z_ˈa_w_t_e	ˈu	1.0
t_ɔ	t_ə	1.0
s_ˈe	s_ˈɛ	1.0
s_#>	s_#>	1.0
r_a	j	1.0
r	r	1.0
p	p	1.0
nː	m	1.0
n_ˈa	n_w	1.0
n_#>	n_t_#>	1.0
mː	m	1.0
lː	-	1.0
l	l	1.0
k_ɔ	ʧ_ə	1.0
j_ʃ	s	1.0
j_r	r_ə	1.0
j_#>	j_#>	1.0
h	f	1.0
e_r	ɛ_r	1.0
e_#>	#>	1.0
d	d	1.0
b_ɾ	b_r	1.0
a_ɾ	a_r	1.0
a_w	ɔ	1.0
a_#>	ə_#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʎ	<#_l	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a_r	<#_r	1.0
<#	<#_r	1.0
ɔ	ə	0.943
m	m	0.914
n	n	0.895
ʒ	ʤ	0.846
t_#>	l_#>	0.833
t	t	0.833
ɡ	ɡ	0.818
w_#>	l_#>	0.778
ɾ	r	0.774
u	u	0.733
ɲ	ɲ	0.727
<#_e	<#_e	0.727
β	v	0.714
ð	j	0.714
ŋ	ŋ	0.7
s	s	0.694
a	a	0.632
ˈɛ	ˈɛ	0.63
k_#>	k_#>	0.625
b	v	0.625
w	w	0.611
ˈɔ	ˈɔ	0.6
ˈy	ˈy	0.6
j	j	0.579
k	k	0.571
i	-	0.556
ˈi	ˈi	0.533
#>	ə_#>	0.476
ɣ	ɡ	0.444
ˈu	ˈũ	0.433
e	ə	0.432
e	r_ə	0.378
k_#>	#>	0.375
b	b	0.375
ɣ	-	0.333
i	i	0.333
#>	r_#>	0.333
ˈe	ˈẽ	0.318
ˈa	ˈa	0.317
ˈu	ˈu	0.3
ŋ	n	0.3
β	b	0.286
ð	-	0.286
k	ʧ	0.286
ɲ	j_n	0.273
<#_e	<#	0.273
ˈi	ˈĩ	0.267
s	ʦ	0.265
ɣ	j	0.222
w_#>	f_#>	0.222
j	-	0.211
a	ã	0.211
ˈy	ˈỹ	0.2
ˈa	ˈã_j	0.19
#>	n_#>	0.19
ˈɛ	j	0.185
ɡ	ʤ	0.182
ˈa	ˈã	0.175
t_#>	#>	0.167
ɾ	-	0.161
a	ə	0.158
ʒ	j	0.154
ˈa	ˈɛ	0.143
ˈe	ˈɔ_j	0.136
ˈe	ˈɔ	0.136
ˈe	-	0.136
ˈɔ	ˈɛ	0.133
ˈɔ	w_ˈɛ	0.133
ˈɔ	-	0.133
u	ũ	0.133
u	-	0.133
ˈe	ˈɛ	0.114
ˈɛ	j_ˈɛ	0.111
w	ˈɛ_f	0.111
w	j	0.111
w	-	0.111
i	ĩ	0.111
e	r	0.108
n	-	0.105
j	ˈɛ	0.105
j	ə	0.105
ˈy	ˈũ_j	0.1
ˈy	ˈõ	0.1
ˈu	ˈɔ	0.1
ˈu	ˈu_r	0.1
ˈi	ˈɔ	0.1
ˈi	-	0.1
t	j_t	0.1
k	ʧ_j	0.095
m	-	0.086
e	j	0.081
ˈa	ˈe	0.079
ˈɛ	-	0.074
ˈe	ˈi	0.068
ˈu	ˈy	0.067
t	θ	0.067
ɾ	l	0.065
ɔ	n_ə	0.057
w	ˈo	0.056
