Latin	Aromanian	probability
ae̯	ə	1.0
e	-	1.0
eː	i	1.0
j	ʤ	1.0
kː	k	1.0
lʲ	ʎ	1.0
nː	n	1.0
rː	r	1.0
sː	s	1.0
u	-	1.0
uː	u	1.0
ɔ	u	1.0
ɛ̃	i	1.0
ˈau̯	ˈa_v	1.0
ˈuː	ˈu	1.0
aː	ə	0.271
f	ç	0.41
i	-	0.831
m	ɲ	0.181
p	-	0.101
p	p	0.641
t	ʦ	0.171
t	t	0.791
ŋ	m	0.411
ɡ	ʣ	0.351
ˈeː	e̯ˈa	0.651
ˈiː	ˈə	0.051
a	ˈa	0.072
d	ʣ	0.232
p	k	0.212
r	r	0.982
w	-	0.142
w	w	0.152
ŋ	ŋ	0.122
ɛ	i	0.862
ɡ	ʤ	0.122
ɪ	-	0.112
ʊ̃ː	u	0.812
ˈoː	ˈu	0.402
ˈɛ	ˈi	0.362
a	ə	0.333
aː	-	0.473
ãː	ə	0.733
b	b	0.503
k	p	0.063
k	k	0.483
m	m	0.773
ɛ̃ː	-	0.073
ɛ̃ː	ə	0.193
ˈɔ	ˈu	0.3
a	-	0.214
iː	-	0.834
lʲː	r	0.124
oː	u	0.464
ɡ	ŋ_ɡ	0.084
ɪ	ˈi	0.134
ʊ	u	0.494
ˈaː	ˈa	0.504
ˈu	ˈu	0.554
ãː	i	0.05
k	-	0.15
k	ʦ	0.275
kʷ	p	0.265
kʷ	ʦ	0.735
l	-	0.165
n	-	0.135
ɛ̃ː	e	0.05
ɛ̃ː	i	0.685
ɪ	i	0.755
ˈɛ	ˈa	0.225
ˈʊ	o̯ˈa	0.145
ˈʊ	ˈu	0.855
aː	i	0.256
iː	i	0.166
l	l	0.766
n	n	0.806
ɫ	ʎ	0.156
ɫ	r	0.336
ɫ	l	0.466
ʊ	-	0.506
ˈa	ˈɨ	0.226
ˈu	ˈo	0.446
ãː	-	0.217
b	-	0.497
oː	-	0.327
s	s	0.497
w	j	0.407
ɛ	-	0.117
ɡ	-	0.117
ɡ	ɡ	0.327
ˈa	ˈa	0.687
ˈaː	ˈɨ	0.327
ˈoː	-	0.177
ˈɛ	e̯ˈa	0.187
ˈɛ	ˈe	0.227
a	a	0.348
d	d	0.738
lʲː	l	0.688
w	v	0.298
ŋ	-	0.278
ʊ̃ː	ə	0.188
ˈaː	a	0.138
ˈɔ	o̯ˈa	0.18
ˈɪ	ˈe	0.28
f	f	0.59
i	i	0.169
l	r	0.069
lʲː	-	0.189
n	ɲ	0.059
oː	i	0.209
s	-	0.209
s	ʃ	0.29
ŋ	n	0.189
ˈeː	ˈi	0.349
ˈiː	ˈi	0.949
ˈoː	o̯ˈa	0.379
ˈɔ	ˈo	0.519
ˈɪ	ˈi	0.279
ˈɪ	e̯ˈa	0.409
