East Frisian Low Saxon	Middle English	probability
ˈʏə̯	ˈi	1.0
ˈʊə̯	ˈu	1.0
ˈɪə̯	-	1.0
ˈɛːɪ̯	ˈiu̯	1.0
ˈɛə̯	-	1.0
ˈɔː	ˈɛː	1.0
ˈɒːɒ̯	-	1.0
ˈɑɪ̯	-	1.0
ˈœːy̯	ˈoː	1.0
ˈœy̯	ˈeː	1.0
ˈœ	ˈu	1.0
ˈøy̯	ˈeː	1.0
ˈæːɪ̯	-	1.0
ˈæː	-	1.0
ˈyː	ˈeː	1.0
ˈuːu̯	ˈuː	1.0
ˈoːo̯	-	1.0
ˈiːi̯	-	1.0
ˈiː	ˈiː	1.0
ˈeːe̯	ˈɛ	1.0
ʊ	ˈoː	1.0
ɫ	l_ə	1.0
ɡ̊	ɡ	1.0
ə	ə	1.0
ɑɪ̯	eː	1.0
ɐ_ɣ̊	iː	1.0
ɐ_n	r_n	1.0
z̥	z	1.0
w	w	1.0
s_k	ʃ	1.0
r	r	1.0
p	p	1.0
o	ˈɔː	1.0
l_ˈæɪ̯	l	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d̥	d	1.0
b	b	1.0
t	t	0.979
m	m	0.911
s	s	0.863
z	s	0.839
χ	ç	0.824
ˈuː	ˈuː	0.775
ˈʊ	ˈu	0.738
k	k	0.738
v	w	0.655
ˈɑʊ̯	ˈoː	0.636
ˈɑː	ˈa	0.628
d	θ	0.603
ˈɔ	-	0.598
ˈøːø̯	ˈɔː	0.593
ˈæɪ̯	ˈɔː	0.563
l	l	0.546
ɐ	r	0.541
ˈɪ	ˈi	0.539
ˈɑːɑ̯	-	0.505
ŋ	ŋ_ɡ	0.481
ˈɑ	ˈa	0.472
ˈoː	ˈɛː	0.462
ˈɛ	ˈi	0.455
l	ɫ	0.454
ɣ̊	ʤ	0.412
ˈøːø̯	-	0.407
n	n	0.407
ˈʏ	-	0.403
ˈɔ	ˈɔ	0.402
d	d	0.397
ˈʏ	ˈi	0.388
ɡ	ɡ	0.364
ˈɒː	ˈaː	0.35
ˈæɪ̯	ˈeː	0.341
ˈɑːɑ̯	ˈa	0.329
ˈɪ	ˈiː	0.324
ɣ̊	x	0.313
ɐ	ə_r	0.302
ˈeː	ˈɛ	0.3
ˈeː	-	0.3
ˈɑ	ˈɔː	0.295
ŋ	n_ɡ	0.281
ˈɛ	-	0.278
ɣ̊	ə	0.275
n	ə_n	0.269
ˈɛ	ˈɛ	0.267
ˈʊ	ˈuː	0.262
k	ʧ	0.262
ˈɑː	ˈɛ	0.261
ɡ	ˈiː_ə	0.252
ˈɒː	ˈɛː	0.246
ˈøː	-	0.24
ŋ	ŋ	0.238
ˈøː	ˈɛː	0.229
ˈøː	ˈu	0.229
ˈuː	ˈiː	0.225
v	v	0.225
ˈʏ	ˈu	0.209
ˈɒː	ˈoː	0.203
ˈɒː	-	0.201
ˈeː	ˈɛː	0.2
ˈeː	ˈi	0.2
ɡ	ˈæi̯	0.196
ɡ	ə	0.187
ˈɑʊ̯	ˈuː	0.182
ˈɑʊ̯	ˈeː	0.182
ˈoː	ˈɔ	0.18
ˈøː	ˈeː	0.177
χ	x	0.176
ˈɑːɑ̯	ˈɛi̯	0.166
ˈɑ	-	0.156
ɐ	r_ə	0.156
ˈɪ	-	0.137
s	k_s	0.137
ˈoː	ˈɔː	0.136
ˈoː	ˈu	0.133
ˈøː	ˈɔ	0.125
n	n_ə	0.124
z	z	0.121
v	ʍ	0.121
ˈɑː	ˈau̯	0.111
ˈæɪ̯	-	0.096
ˈoː	-	0.089
m	v_ə	0.089
n	n_d	0.087
n	-	0.085
ˈɑ	ˈi	0.077
