Limburgish	Old English	probability
b	b	0.979
d	d	0.524
d	θ	0.419
f	f	0.656
f	ɫ_f	0.195
f	v	0.149
i	iːy̯	1.0
j	-	0.373
j	e	0.18
j	j	0.127
j	ɫ	0.108
j	ˈoː	0.082
k	ʧ	0.393
k	k	0.356
k	ʤ	0.097
k	ɡ	0.065
k	kː	0.052
l	l	0.798
l	ɫ	0.156
m	m	0.961
n	n	0.821
n	-	0.08
n	nː	0.07
p	p	0.893
p	pː	0.092
s	s	0.729
s	ʃ	0.08
s	z	0.078
t	t	0.611
t	d	0.291
t	θ	0.069
v	f	0.692
v	v	0.19
v	-	0.064
v	k	0.054
w	ɫ	1.0
x	x	0.277
x	ç	0.241
x	j	0.233
x	ʤ	0.077
x	-	0.075
x	ɣ	0.055
z	s	0.996
ŋ	ŋ	0.906
ŋ	j	0.094
ə	ɑ	0.421
ə	e	0.192
ə	-	0.172
ə	o	0.169
ɡ	ʤː	1.0
ɣ	ɡ	0.546
ɣ	j	0.291
ɣ	ɣ	0.163
ɦ	h	1.0
ɪ	i	1.0
ɪː	ˈi	1.0
ʀ	r	0.825
ʃ	ʃ	1.0
ʦ	d	1.0
ˈaː	ˈɑ	0.368
ˈaː	ˈæ	0.2
ˈaː	ˈæɑ̯	0.182
ˈaː	-	0.169
ˈaː	ˈeo̯	0.081
ˈeː	ˈe	0.321
ˈeː	ˈeːo̯	0.286
ˈeː	ˈeo̯	0.136
ˈeː	ˈeː	0.12
ˈeː	ˈi	0.096
ˈi	ˈɑː	0.327
ˈi	ˈiːy̯	0.288
ˈi	ˈæː	0.211
ˈi	ˈi	0.098
ˈiː	ˈiː	0.762
ˈiː	ˈeːo̯	0.238
ˈoː	ˈoː	0.403
ˈoː	ˈu	0.247
ˈoː	ˈo	0.188
ˈoː	ˈuː	0.163
ˈu	ˈæːɑ̯	0.775
ˈu	ˈiːy̯	0.225
ˈuː	ˈuː	0.733
ˈuː	ˈyː	0.177
ˈuː	ˈæːɑ̯	0.09
ˈv	f	1.0
ˈyː	ˈiːy̯	0.363
ˈyː	ˈæːɑ̯	0.327
ˈyː	ˈyː	0.152
ˈyː	ˈi	0.102
ˈæ	ˈæɑ̯	0.432
ˈæ	ˈe	0.221
ˈæ	ˈi	0.221
ˈæ	ˈæ	0.126
ˈæː	ˈæɑ̯	0.438
ˈæː	ˈeo̯	0.433
ˈæː	ˈe	0.065
ˈæː	ˈɛ	0.064
ˈøː	ˈeː	0.367
ˈøː	ˈo	0.264
ˈøː	ˈoː	0.188
ˈøː	ˈiːy̯	0.112
ˈøː	ˈy	0.069
ˈœ	ˈy	0.758
ˈœ	ˈɑ	0.175
ˈœ	ˈæːɑ̯	0.067
ˈœi̯	ˈuː	0.288
ˈœi̯	ˈeːo̯	0.25
ˈœi̯	ˈyː	0.25
ˈœi̯	ˈiːy̯	0.212
ˈœː	ˈo	0.679
ˈœː	ˈy	0.321
ˈɑ	ˈæɑ̯	0.315
ˈɑ	ˈɛ	0.214
ˈɑ	ˈæ	0.192
ˈɑ	ˈiy̯	0.119
ˈɑ	ˈi	0.104
ˈɑ	ˈeo̯	0.055
ˈɑː	ˈɑ	0.651
ˈɑː	ˈoː	0.278
ˈɒː	ˈoː	0.287
ˈɒː	ˈæː	0.282
ˈɒː	ˈɑ	0.282
ˈɒː	ˈæːɑ̯	0.104
ˈɔ	ˈu	0.426
ˈɔ	ˈo	0.311
ˈɔ	ˈoː	0.126
ˈɔ	ˈy	0.072
ˈɔu̯	e	0.559
ˈɔu̯	ˈuː	0.287
ˈɔu̯	ˈæːɑ̯	0.154
ˈɔː	ˈæːɑ̯	0.635
ˈɔː	ˈu	0.189
ˈɔː	ˈo	0.106
ˈɔː	ˈeː	0.07
ˈɛ	ˈiː	0.406
ˈɛ	ˈe	0.275
ˈɛ	ˈi	0.194
ˈɛ	ˈeːo̯	0.125
ˈɛi̯	ˈiː	1.0
ˈɛː	ˈɑː	0.612
ˈɛː	ˈi	0.224
ˈɛː	ˈeo̯	0.067
ˈɛːi̯	ˈɑː	0.501
ˈɛːi̯	ˈæː	0.251
ˈɛːi̯	ˈeːo̯	0.248
ˈɪ	ˈe	0.431
ˈɪ	ˈi	0.225
ˈɪ	ˈu	0.223
ˈɪ	ˈiː	0.122
ˈɪː	ˈi	0.795
ˈɪː	ˈeː	0.12
ˈɪː	ˈyː	0.086
ˈʊ	ˈu	1.0
ˈʊː	ˈu	0.394
ˈʊː	ˈo	0.271
ˈʊː	-	0.135
ˈʊː	ˈoː	0.063
ˈʊː	ˈɑː	0.058
ˈʏ	ˈy	0.679
ˈʏ	ˈi	0.321
ˈʏː	ˈeːo̯	0.593
ˈʏː	ˈeo̯	0.217
ˈʏː	ˈuː	0.19
β	w	0.898
β	ʍ	0.086
