Slovak	Bulgarian	probability
b	b	1.0
d	d	1.0
f	p	1.0
i	ˈi	1.0
n	n	1.0
p	p	1.0
r	r	1.0
s	s	1.0
t	t	1.0
z	z	1.0
ɟ	d	1.0
ɪ̯ˈa	ˈɛ	1.0
ɫ	ɫ	1.0
ɲ	n	1.0
ʃ	ʃ	1.0
ʊ̯ˈɔ	ˈɔ	1.0
ʒ	ʒ	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
ˈu	ˈɤ	1.0
m	m	0.851
ɛ	ɐ	0.12
ɪ̯ˈɛ	ɛ	0.112
ʎ	ɫ	0.852
a	ɐ	0.423
l	l	0.123
l	lʲ	0.413
ɔ	o	0.603
ɛ	ɛ	0.593
c	t	0.704
l	ɫ	0.464
x	x	0.624
ɔ	ˈɔ	0.34
ʋ	vʲ	0.244
ˈɔ	ˈɔ	0.554
ˈɛ	ˈɛ	0.254
ˈɫ̩	ˈɤ	0.534
k	ʦ	0.055
k	k	0.945
v	f	0.205
v	v	0.795
ɦ	-	0.115
ɦ	ɡ	0.885
ˈa	ˈɛ	0.235
ˈa	ˈa	0.765
ˈi	i	0.275
ˈi	ˈi	0.725
ˈɛ	ˈa	0.25
c	-	0.296
x	k	0.376
ɔ	ɐ	0.056
ʋ	f	0.06
ʋ	v	0.696
ˈr̩	ˈɤ_r	0.156
ˈr̩	r	0.466
ˈɔ	o	0.446
ˈɫ̩	ˈɤ_ɫ	0.466
a	ˈa	0.577
ɛ	ˈɛ	0.287
ɪ̯ˈɛ	ˈa	0.888
ʎ	l	0.148
ˈr̩	r_ˈɤ	0.378
ˈɛ	ˈɔ	0.068
ˈɛ	ɛ	0.428
m	mʲ	0.149
