Bokmål Norwegian	German	probability
b	b	0.949
b	-	0.055
d	tʰ	0.522
d	t	0.178
d	d	0.086
d	s	0.057
d	p	0.05
e	-	0.494
f	f	0.972
f	ʃ	0.041
h	h	0.957
h	-	0.049
i	ɪ	1.0
j	ɡ	0.334
j	h	0.21
j	ˈɛ	0.121
j	-	0.116
j	x	0.088
k	ç	0.523
k	k	0.253
k	x	0.192
kʰ	kʰ	0.875
kʰ	ʁ	0.108
kː	ŋ_k	0.723
kː	k	0.205
l	l	1.0
lː	l	0.718
lː	l_t	0.267
m	m	0.945
m	n	0.055
mː	m	1.0
n	n	0.834
n	-	0.127
n	m	0.04
nː	n	0.476
nː	n_t	0.347
nː	l	0.09
nː	-	0.073
nː_ə	n	1.0
p	f	0.907
p	p͡f	0.078
pʰ	p͡f	0.494
s	ʃ	0.378
s	z	0.29
s	s	0.276
s	ç	0.034
s	ʁ	0.032
s_k	ʃ	1.0
sː	s	1.0
t	s	0.478
t	t	0.477
t	ʦ	0.048
tʰ	d	0.523
tʰ	ʦ	0.291
tʰ	ʦ_v	0.117
tʰ	tʰ	0.052
tː	ç_t	0.389
tː	s	0.158
tː	x	0.158
tː	ʦ	0.158
tː_ə	x	1.0
ç	kʰ	0.326
ç	d	0.326
ŋ	ɪ	0.66
ŋ	ç	0.161
ŋː	ŋ	1.0
ə	ə	0.659
ə	-	0.341
ə_ɾ	ɐ	1.0
ɡ	ɡ	0.678
ɡ	k	0.213
ɡ	-	0.107
ɡː	k	0.406
ɡː	-	0.228
ɪ	ɪ	0.244
ɳ	n	0.815
ɳ	ɐ	0.149
ɾ	ʁ	0.407
ɾ	ɐ	0.318
ɾ	t_ɐ	0.084
ɾ	ɐ_t	0.075
ɾ	b_ɐ	0.05
ɾ_ə	ɐ	1.0
ʂ	z	0.66
ʂ	m	0.161
ʃ	ʃ	0.244
ʈ	ʦ	1.0
ʈː	ʦ	0.494
ʋ	v	0.59
ʋ	-	0.146
ʋ	f	0.135
ʋ	p	0.12
ˈeː	ˈaɪ̯	0.304
ˈeː	ˈɛ	0.208
ˈeː	ˈeː	0.137
ˈeː	ˈɪ	0.119
ˈeː	ˈiː	0.119
ˈiː	ˈaɪ̯	0.366
ˈiː	ˈɪ	0.19
ˈiː	ˈiː	0.162
ˈiː	ˈaɪ̯_t	0.149
ˈiː	ˈeː	0.064
ˈoː	ˈaː	0.501
ˈoː	ˈa	0.163
ˈoː	ˈoː	0.142
ˈoː	ˈyː	0.108
ˈoː	ˈɛː	0.063
ˈuː	ˈuː	0.48
ˈuː	ˈɔ_ɐ	0.18
ˈuː	ˈɔ	0.107
ˈuː	ˈaʊ̯	0.107
ˈuː	ˈʊ	0.071
ˈyː	ˈiː	0.581
ˈyː	ˈɔʏ̯	0.288
ˈyː	ˈɪ	0.122
ˈæ	ˈɪ	0.105
ˈæ	ˈɛ	0.105
ˈæɪ̯	ˈaɪ̯	0.283
ˈæɪ̯	ˈeː	0.258
ˈæɪ̯	ˈɪ	0.17
ˈæɪ̯	ˈaː	0.12
ˈæː	ɐ	0.644
ˈæː	ˈiː	0.119
ˈæː	ˈɛ	0.073
ˈøː	ˈaʊ̯	0.222
ˈøː	ˈeː	0.178
ˈøː	ˈoː_t	0.129
ˈøː	ˈoː	0.115
ˈøː	ˈøː	0.106
ˈœ	ˈʏ	0.201
ˈœ	ˈɛ	0.132
ˈœ	ˈɔɪ̯	0.132
ˈœ	ˈyː	0.124
ˈœ	ˈoː	0.099
ˈœʏ̯	ˈaʊ̯	1.0
ˈɑ	ˈa	0.878
ˈɑ	ˈaː	0.068
ˈɑ	ˈɔ	0.052
ˈɑː	ˈaː	0.644
ˈɑː	ˈa	0.341
ˈɔ	ˈʊ	0.315
ˈɔ	ˈœ	0.239
ˈɔ	ˈoː	0.239
ˈɔ	ˈa	0.156
ˈɛ	ˈɛ	0.444
ˈɛ	ˈaɪ̯	0.235
ˈɛ	ˈa	0.1
ˈɛ	ˈʏ	0.066
ˈɛ	ˈaː	0.057
ˈɛː	ˈɛ	0.5
ˈɛː	ˈeː	0.5
ˈɪ	ˈɪ	1.0
ˈʉ	ˈɔ	0.348
ˈʉ	ˈʊ	0.279
ˈʉ	ˈaʊ̯	0.14
ˈʉ	ˈɪ	0.102
ˈʉ	ˈœ	0.076
ˈʉː	ˈaʊ̯	0.46
ˈʉː	ˈuː	0.137
ˈʉː	ˈɔʏ̯	0.101
ˈʉː	ˈɔ	0.075
ˈʉː	ˈiː	0.068
ˈʊ	ˈʊ	0.295
ˈʊ	ˈøː	0.194
ˈʊ	j	0.194
ˈʊ	ˈɔʏ̯	0.194
ˈʊ	ˈoː	0.086
ˈʏ	ˈʏ	0.389
ˈʏ	ˈʊ	0.237
ˈʏ	ˈɪ	0.146
ˈʏ	ˈɔʏ̯	0.146
