Westphalian	Icelandic	probability
b	b̥	0.91
b	v	0.086
d	d̥	0.381
d	ð	0.319
d	θ	0.178
d	-	0.097
f	f	0.817
f	v_ʏ	0.103
f	-	0.072
h	h	0.804
h	ç	0.196
j	-	1.0
k	k	0.192
k	k_ʏ	0.187
k	kʰ	0.177
k	c	0.154
k	h	0.075
l	l	0.582
l	l̥	0.358
l	r̥	0.033
l	-	0.031
m	m	0.585
m	m_ʏ	0.257
m	-	0.079
m	p	0.068
n	n	0.368
n	a	0.24
n	-	0.157
n	nː	0.108
n	t_n̥	0.053
p	p	0.295
p	p_ʏ	0.295
p	ʰp	0.194
p	v	0.194
r	r	0.875
r	-	0.095
r	r̥	0.033
s	s	0.883
s	sː	0.05
s	v	0.041
s	-	0.035
t	t	0.487
t	tʰ	0.167
t	ð	0.106
t	-	0.084
t	ʰt	0.075
v	v	0.725
v	-	0.257
w	v	0.493
w	-	0.189
w	ˈɔ	0.112
w	kʰ_v	0.112
w	ˈu	0.074
x	ɡ̊	0.387
x	ʰt	0.238
x	ɟ̊	0.17
x	-	0.141
x	ɣ	0.043
z	s	0.468
ç	ɣ	0.239
ç	s	0.158
ç	ɡ̊	0.158
ç	-	0.106
ç	ʏ_r̥	0.102
ŋ	ŋ	0.691
ŋ	ˈuː	0.118
ŋ	ɲ	0.118
ŋ	ɡ̊	0.059
ŋ_k	ʰk	1.0
ɐ	r̥	0.391
ɐ	ɪ	0.324
ɐ	r	0.133
ɐ	r_a	0.09
ɐ	-	0.045
ə	-	0.267
ə	ʏ	0.252
ə	a	0.252
ə	ɡ̊_a	0.123
ə	n̥	0.048
ɡ	ɡ̊	0.263
ɡ	ɣ	0.248
ɡ	j	0.107
ɣ	ɟ̊	0.392
ɣ	j	0.392
ɣ	ɣ	0.113
ɪ	ɑu̯	0.392
ɪ	u	0.392
ɪ	ʏ	0.113
ʃ	s	0.786
ʃ	s_k	0.125
ʃ	s_c	0.083
ˈa	ˈa	0.355
ˈa	ˈɑu̯	0.217
ˈa	ˈaː	0.091
ˈa	ˈɛ	0.086
ˈa	ˈœ	0.086
ˈaɪ̯	j	0.396
ˈaɪ̯	j_ˈoːu̯	0.326
ˈaɪ̯	ˈʏː	0.089
ˈaɪ̯	ˈeːi̯	0.086
ˈaɪ̯	ˈiː	0.059
ˈaʊ̯	ˈœːy̯	0.572
ˈaʊ̯	ˈa	0.114
ˈaʊ̯	ˈɑːu̯	0.114
ˈaʊ̯	ˈaːi̯	0.079
ˈaʊ̯	ˈɛːi̯	0.057
ˈaː	ˈaː	0.457
ˈaː	ˈa	0.367
ˈaː	ˈœ	0.087
ˈeː	ˈɛːi̯	0.415
ˈeː	ˈɛi̯	0.246
ˈeː	ˈoːu̯	0.163
ˈeː	ˈœː	0.163
ˈiə̯	ˈɪː	1.0
ˈiɛ̯	ˈou̯	1.0
ˈiː	ˈiː	0.718
ˈiː	ˈɛː	0.099
ˈiː	ˈɪ	0.088
ˈiː	ˈɪː	0.066
ˈoː	ˈoːu̯	0.704
ˈoː	ˈaːu̯	0.147
ˈoː	ˈɔu̯	0.147
ˈuə̯	ˈoːu̯	0.355
ˈuə̯	ˈʏ	0.166
ˈuː	ˈuː	0.437
ˈuː	ˈʏ	0.305
ˈuː	ˈɔ	0.201
ˈuːə̯	ˈɔ	0.336
ˈuːə̯	r	0.254
ˈuːə̯	ˈɔː	0.193
ˈuːə̯	ˈʏː	0.193
ˈyə̯	ˈʏ	0.219
ˈyː	ˈiː	0.297
ˈyː	ˈʏː	0.173
ˈyː	ˈi	0.107
ˈyː	ˈʏ	0.101
ˈyː	ˈɛ	0.062
ˈyːœ̯	ˈi	0.219
ˈø	ˈai̯	0.468
ˈøː	ˈaːi̯	0.594
ˈøː	ˈai̯	0.392
ˈœː	ˈɪ	0.191
ˈœː	ˈɛːi̯	0.191
ˈɒː	ˈɛː	0.219
ˈɔ	ˈa	0.477
ˈɔ	ˈœː	0.315
ˈɔ	ˈɔu̯	0.107
ˈɔː	ˈɑːu̯	0.541
ˈɔː	ˈɛːi̯	0.131
ˈɔː	ˈaːu̯	0.081
ˈɔː	ˈɔː	0.081
ˈɔː	ˈa	0.059
ˈɛ	ˈɛ	0.367
ˈɛ	ˈa	0.237
ˈɛ	j	0.118
ˈɛ	ˈaː	0.064
ˈɛ	ˈɛːi̯	0.059
ˈɛː	j_ˈœ	0.488
ˈɛː	ˈaː	0.188
ˈɛː	j	0.173
ˈɪ	ˈɪ	0.223
ˈɪ	ˈi	0.215
ˈɪ	ˈɛ	0.21
ˈɪ	ˈiː	0.188
ˈɪ	ˈɪː	0.078
ˈɪə̯	ˈɛː	0.561
ˈɪə̯	ˈiː	0.322
ˈɪə̯	ˈœː	0.059
ˈɪɛ̯	ˈɛ	0.162
ˈɪɛ̯	ˈa	0.141
ˈɪɛ̯	ˈɑːu̯	0.141
ˈɪɛ̯	ˈʏː	0.141
ˈɪɛ̯	ˈœː	0.097
ˈʊ	ˈʏ	0.428
ˈʊ	ˈu	0.372
ˈʊ	ˈuː	0.182
ˈʏ	ˈɪ	0.594
ˈʏ	ˈai̯	0.173
ˈʏ	ˈʏ	0.101
