Westphalian	Icelandic	probability
aɪ̯	aːu̯	1.0
b	b̥	0.873
b	v	0.067
b	tʰ	0.06
d	d̥	0.396
d	ð	0.374
d	θ	0.218
f	f	0.821
f	kʰ	0.079
f	d̥	0.062
h	h	0.708
h	ç	0.292
j	ˈɑːu̯	0.682
j	-	0.318
k	k	0.202
k	c	0.177
k	cʰ	0.171
k	kʰ	0.136
k	ʰk	0.126
k	ɡ̊ː	0.068
l	l	0.701
l	l̥	0.28
m	m	0.867
m	-	0.092
n	n	0.36
n	a	0.268
n	-	0.157
n	nː	0.095
n	t_n̥	0.054
p	p	0.75
p	ʰp	0.155
p	v	0.094
r	r	0.793
r	-	0.137
r	r̥	0.069
s	s	0.952
t	t	0.453
t	ð	0.18
t	tʰ	0.16
t	r̥_t	0.073
t	-	0.06
t	ʰt	0.059
v	v	0.762
v	-	0.134
v	m	0.065
w	v	0.73
w	-	0.107
w	kʰ_v	0.099
x	ɡ̊	0.428
x	ɟ̊	0.228
x	ʰt	0.224
x	-	0.07
x	ɣ	0.05
z	s	1.0
ç	ʰt	0.29
ç	r̥	0.16
ç	ɣ	0.157
ç	rː̥	0.107
ç	s	0.107
ç	ɡ̊	0.107
ç	ɡ̊ː	0.071
ŋ	ŋ	0.817
ŋ	ˈuː	0.092
ŋ	ɲ	0.054
ɐ	r̥	0.494
ɐ	ɪ	0.263
ɐ	r	0.22
ə	a	0.449
ə	ʏ	0.245
ə	ɡ̊_a	0.167
ə	n̥	0.069
ə	ɪ	0.069
ɡ	ɣ	0.304
ɡ	j	0.288
ɡ	ɡ̊	0.229
ɡ	ɟ̊ː	0.179
ɣ	j	0.92
ɣ	ɣ	0.08
ɪ	ʏ	0.483
ɪ	u	0.259
ɪ	ɑu̯	0.259
ʃ	s	1.0
ˈa	ˈa	0.349
ˈa	ˈɑu̯	0.233
ˈa	ˈaː	0.119
ˈa	ˈœ	0.111
ˈa	ˈɛ	0.068
ˈa	ˈʏː	0.053
ˈaɪ̯	j	0.688
ˈaɪ̯	ˈeːi̯	0.126
ˈaɪ̯	ˈɛ	0.058
ˈaɪ̯	ˈoːu̯	0.051
ˈaɪ̯	ˈʏː	0.051
ˈaʊ̯	ˈœːy̯	0.538
ˈaʊ̯	j	0.112
ˈaʊ̯	ˈiː	0.081
ˈaʊ̯	ˈɔ	0.081
ˈaʊ̯	ˈɛːi̯	0.065
ˈaʊ̯	ˈaːi̯	0.064
ˈaː	ˈaː	0.439
ˈaː	ˈa	0.425
ˈaː	ˈœ	0.136
ˈeː	ˈɛːi̯	0.347
ˈeː	ˈaːu̯	0.342
ˈeː	ˈɛi̯	0.217
ˈeː	ˈœː	0.064
ˈiə̯	ˈɪː	1.0
ˈiɛ̯	ˈou̯	0.392
ˈiɛ̯	ˈɪː	0.392
ˈiɛ̯	ˈɛ	0.119
ˈiɛ̯	ˈɛː	0.097
ˈiː	ˈiː	0.754
ˈiː	ˈɛː	0.145
ˈiː	ˈɪ	0.063
ˈoː	ˈoːu̯	0.866
ˈoː	ˈɔu̯	0.081
ˈoː	ˈaːu̯	0.054
ˈuə̯	ˈɔː	0.57
ˈuə̯	ˈʏ	0.293
ˈuə̯	ˈoːu̯	0.137
ˈuː	ˈuː	0.724
ˈuː	ˈɔ	0.161
ˈuː	ˈʏ	0.114
ˈuːə̯	ˈɔ	0.539
ˈuːə̯	ˈɔː	0.188
ˈuːə̯	r	0.179
ˈuːə̯	ˈʏː	0.094
ˈyə̯	ˈʏ	1.0
ˈyː	ˈiː	0.285
ˈyː	ˈu	0.221
ˈyː	ˈʏ	0.221
ˈyː	ʏ	0.167
ˈyː	ˈi	0.066
ˈyːœ̯	ˈi	1.0
ˈø	ˈai̯	0.713
ˈø	ˈau̯	0.287
ˈøː	ˈaːi̯	0.509
ˈøː	ˈai̯	0.418
ˈøː	ˈɪː	0.073
ˈœː	ˈɛːi̯	0.683
ˈœː	ˈɪ	0.317
ˈɒː	ˈɛː	1.0
ˈɔ	ˈœː	0.418
ˈɔ	ˈa	0.339
ˈɔ	ˈɔu̯	0.243
ˈɔː	ˈɑːu̯	0.292
ˈɔː	ˈaːu̯	0.249
ˈɔː	ˈau̯	0.161
ˈɔː	ˈa	0.104
ˈɔː	-	0.065
ˈɔː	ˈɔː	0.063
ˈɛ	ˈa	0.338
ˈɛ	ˈɛ	0.303
ˈɛ	ˈau̯	0.082
ˈɛ	ˈaːi̯	0.075
ˈɛ	ˈɛːi̯	0.057
ˈɛ	j	0.053
ˈɛ	ˈaː	0.053
ˈɛː	ˈœ	0.467
ˈɛː	j	0.371
ˈɛː	ˈaː	0.162
ˈɪ	ˈɪ	0.297
ˈɪ	ˈi	0.25
ˈɪ	ˈɛ	0.177
ˈɪ	ˈiː	0.137
ˈɪ	-	0.067
ˈɪə̯	ˈɛː	0.536
ˈɪə̯	ˈiː	0.354
ˈɪə̯	ˈœː	0.11
ˈɪɛ̯	ˈɛ	0.263
ˈɪɛ̯	ˈɛː	0.189
ˈɪɛ̯	ˈa	0.147
ˈɪɛ̯	ˈʏː	0.102
ˈɪɛ̯	ˈɪ	0.099
ˈɪɛ̯	ˈɑːu̯	0.095
ˈɪɛ̯	ˈœː	0.064
ˈʊ	ˈʏ	0.54
ˈʊ	ˈu	0.38
ˈʊ	ˈuː	0.08
ˈʏ	ˈɪ	0.615
ˈʏ	ˈai̯	0.235
ˈʏ	ˈʏ	0.15
