Doculect,Classification
Aromanian,Italic > Romance > Continental Romance > Balkan Romance > Southern Balkan Romance
Aragonese,Italic > Romance > Continental Romance > Italo-Western Romance > Western Romance > Gallo-Iberian > Ibero-Romance > Pyrenean–Mozarabic
Asturian,Italic > Romance > Continental Romance > Italo-Western Romance > Western Romance > Gallo-Iberian > Ibero-Romance > West Iberian > Asturleonese
Auvergnat,Italic > Romance > Continental Romance > Italo-Western Romance > Western Romance > Gallo-Iberian > Occitano-Romance > Occitan
Bellunese,Italic > Romance > Continental Romance > Italo-Western Romance > Western Romance > Gallo-Italic > Veneto
Brazilian Portuguese,Italic > Romance > Continental Romance > Italo-Western Romance > Western Romance > Gallo-Iberian > Ibero-Romance > West Iberian > Galician-Portuguese > Portuguese
Campidanese,Italic > Romance > Sardinian > Campidanese
Catalan,Italic > Romance > Continental Romance > Italo-Western Romance > Western Romance > Gallo-Iberian > Occitano-Romance > Catalan
Corsican,Italic > Romance > Continental Romance > Italo-Western Romance > Italo-Dalmatian > Italo-Romance > Tuscan > Corsican
Dalmatian,Italic > Romance > Continental Romance > Italo-Western Romance > Italo-Dalmatian > Dalmatian
Eastern Lombard,Italic > Romance > Continental Romance > Italo-Western Romance > Western Romance > Gallo-Italic > Lombard-Piedmontese > Lombard
Emilian,Italic > Romance > Continental Romance > Italo-Western Romance > Western Romance > Gallo-Italic > Emilian-Romagnol
Franco-Provençal,Italic > Romance > Continental Romance > Italo-Western Romance > Western Romance > Gallo-Iberian > Gallo-Romance > Oïl-Arpitan > Arpitan
French,Italic > Romance > Continental Romance > Italo-Western Romance > Western Romance > Gallo-Iberian > Gallo-Romance > Oïl-Arpitan > Oïl > French > Modern French
Friulian,Italic > Romance > Continental Romance > Italo-Western Romance > Western Romance > Rhaeto-Romance
Galician,Italic > Romance > Continental Romance > Italo-Western Romance > Western Romance > Gallo-Iberian > Ibero-Romance > West Iberian > Galician-Portuguese
Gallurese,Italic > Romance > Continental Romance > Italo-Western Romance > Italo-Dalmatian > Italo-Romance > Tuscan > Corsican > Sardo-Corsican
Gascon,Italic > Romance > Continental Romance > Italo-Western Romance > Western Romance > Gallo-Iberian > Occitano-Romance > Occitan
Italian,Italic > Romance > Continental Romance > Italo-Western Romance > Italo-Dalmatian > Italo-Romance > Tuscan
Ladin,Italic > Romance > Continental Romance > Italo-Western Romance > Western Romance > Rhaeto-Romance
Latin,Italic
Lengadocian,Italic > Romance > Continental Romance > Italo-Western Romance > Western Romance > Gallo-Iberian > Occitano-Romance > Occitan
Ligurian,Italic > Romance > Continental Romance > Italo-Western Romance > Western Romance > Gallo-Italic
Logudorese,Italic > Romance > Sardinian > Logudorese-Nuorese
Megleno-Romanian,Italic > Romance > Continental Romance > Balkan Romance > Southern Balkan Romance
Neapolitan,Italic > Romance > Continental Romance > Italo-Western Romance > Italo-Dalmatian > Italo-Romance > Southern Italian
Nuorese,Italic > Romance > Sardinian > Logudorese-Nuorese
Old French,Italic > Romance > Continental Romance > Italo-Western Romance > Western Romance > Gallo-Iberian > Gallo-Romance > Oïl-Arpitan > Oïl > French
Piedmontese,Italic > Romance > Continental Romance > Italo-Western Romance > Western Romance > Gallo-Italic > Lombard-Piedmontese
Portuguese,Italic > Romance > Continental Romance > Italo-Western Romance > Western Romance > Gallo-Iberian > Ibero-Romance > West Iberian > Galician-Portuguese > Portuguese
Provençal,Italic > Romance > Continental Romance > Italo-Western Romance > Western Romance > Gallo-Iberian > Occitano-Romance > Occitan
Québécois French,Italic > Romance > Continental Romance > Italo-Western Romance > Western Romance > Gallo-Iberian > Gallo-Romance > Oïl-Arpitan > Oïl > French > Modern French
Romanian,Italic > Romance > Continental Romance > Balkan Romance > Daco-Romanian
Romagnol,Italic > Romance > Continental Romance > Italo-Western Romance > Western Romance > Gallo-Italic > Emilian-Romagnol
Romansch,Italic > Romance > Continental Romance > Italo-Western Romance > Western Romance > Rhaeto-Romance
Sassarese,Italic > Romance > Continental Romance > Italo-Western Romance > Italo-Dalmatian > Italo-Romance > Tuscan > Corsican > Sardo-Corsican
Sicilian,Italic > Romance > Continental Romance > Italo-Western Romance > Italo-Dalmatian > Italo-Romance > Southern Italian
Spanish,Italic > Romance > Continental Romance > Italo-Western Romance > Western Romance > Gallo-Iberian > Ibero-Romance > West Iberian > Castilic
Valencian,Italic > Romance > Continental Romance > Italo-Western Romance > Western Romance > Gallo-Iberian > Occitano-Romance > Catalan
Venetian,Italic > Romance > Continental Romance > Italo-Western Romance > Western Romance > Gallo-Italic > Veneto
Walloon,Italic > Romance > Continental Romance > Italo-Western Romance > Western Romance > Gallo-Iberian > Gallo-Romance > Oïl-Arpitan > Oïl
Western Lombard,Italic > Romance > Continental Romance > Italo-Western Romance > Western Romance > Gallo-Italic > Lombard-Piedmontese > Lombard
