Ripuarian	Ripuarian	probability
ˈʊ	-	1.0
ˈɪ_ɕ_#>	ˈeː_#>	1.0
ˈɛ_ɐ	ˈa_ɹ	1.0
ˈɔː	ˈɔ	1.0
ˈøʏ̯	ˈʊ_ʤ̊ː	1.0
ˈyː	ˈʊ̯iː	1.0
ˈoː_d̥	ˈɔːu̯_w	1.0
ˈeɪ̯_#>	ˈʊ̯iː_#>	1.0
ˈeɪ̯	ˈai̯	1.0
ˈa_n	ˈɛːa̯_v	1.0
ˈa_d̥	ˈɛːa̯	1.0
ʀ	ɹ	1.0
ɫ_d̥	l_d̥	1.0
ɣ̊	-	1.0
ŋ_k	ʰk	1.0
ŋ_#>	n_#>	1.0
z̥_#>	s_#>	1.0
v̥	v_ʊ	1.0
n_z̥	sː	1.0
l	l	1.0
j	ɡ̊	1.0
e	ˈɛ_ʰt	1.0
b	b̥	1.0
<#_ʋ	<#	1.0
<#_ʀ	<#_ɹ	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
m	m	0.909
h	h	0.895
z	s	0.889
ʋ	v	0.882
d̥	-	0.833
ə	a	0.804
ˈiː	ˈʊ̯iː	0.778
t	t	0.75
f	f	0.72
ˈɪ	ˈɪ	0.714
ˈo	ˈʊ	0.667
x	ʰt	0.667
v	v	0.667
ˈœ	ˈɪ	0.625
ˈɛː	-	0.6
ˈɔʊ̯	ˈɛːi̯	0.6
ɫ	l	0.591
ʦ	tʰ	0.583
ˈeː	-	0.579
ˈøː	ˈøː	0.571
ʃ	s	0.524
ˈʏ	ˈɪ	0.5
ˈʏ	-	0.5
p	ʰp	0.5
p	p	0.5
ˈa	ˈa	0.474
ˈuː	ˈʉːu̯	0.455
ˈɔ	ˈʊ	0.444
ˈøː	-	0.429
ˈaː	ˈɛːa̯	0.429
#>	ɹ_#>	0.417
ˈɔʊ̯	ˈɪ	0.4
k	-	0.389
d	d̥	0.387
ˈœ	-	0.375
ˈuː	ˈɛːi̯	0.364
ˈe	ˈɪ	0.353
n	n	0.348
ˈɔ	-	0.333
ˈo	-	0.333
x	k	0.333
v	ˈiː_v	0.333
s	t	0.333
k	kʰ	0.333
#>	ʊ_ɹ_#>	0.32
ŋ	ŋ	0.316
ŋ	n	0.316
ˈoː	ˈɔːu̯	0.312
ˈoː	-	0.312
d	tʰ	0.29
ˈɪ	ˈʊ̯iː	0.286
ʃ	ʃ	0.286
s	t_ʊ	0.278
ɫ	t͡l̥	0.273
ɡ̊	ɡ̊_ʊ	0.273
ɡ̊	d̥_ʊ	0.273
ɡ̊	-	0.273
ɐ	ɹ	0.269
ˈɛ	-	0.267
ˈoː	ˈɔ̯aː	0.25
ʦ	-	0.25
t	-	0.25
ˈe	ˈiː	0.235
ɐ	ɪ_ɹ	0.231
ˈɔ	ˈœ	0.222
ˈiː	ˈɔ̯aː	0.222
s	ʰt	0.222
ˈaː	ˈɔ	0.214
ˈaː	-	0.214
ɕ	k_ʊ	0.214
ɕ	-	0.214
ˈa	ˈɔ	0.211
ˈɛː	ˈeː	0.2
ˈɛː	j	0.2
ˈɛ	ˈɛ	0.2
ˈɛ	ˈœ	0.2
ˈɛ	ˈeː	0.2
ʃ	s_k	0.19
ˈuː	-	0.182
ɡ̊	d̥	0.182
ˈe	-	0.176
n	t͡n̥	0.174
n	nː	0.174
ʦ	ʈ	0.167
s	s	0.167
d̥	j_ʊ	0.167
d	-	0.161
f	v	0.16
ˈeː	ˈʉːu̯	0.158
ˈeː	ˈai̯	0.158
ˈa	ˈɛːa̯	0.158
ˈa	-	0.158
ŋ	n_d̥	0.158
#>	a_#>	0.155
ɐ	ʊ	0.154
ɐ	ɹ_ʊ	0.154
ˈaː	ˈa	0.143
ɕ	ʰt_ʊ	0.143
ɕ	ʊ	0.143
ɕ	v_ʊ	0.143
ɕ	k	0.143
ɫ	l̥	0.136
ˈɛ	ˈɔ	0.133
ə	-	0.13
n	n_ʊ	0.13
ˈoː	ˈɔ	0.125
f	p	0.12
ˈe	ˈʊ̯iː	0.118
ˈe	ˈɛ	0.118
ʋ	kʰ_v	0.118
ɐ	ɹ_a	0.115
z	ʃ	0.111
k	ʧʰ	0.111
k	ʧ	0.111
ˈeː	ˈaːi̯	0.105
ŋ	ŋ_ɡ̊	0.105
ŋ	nː	0.105
h	j	0.105
d	w	0.097
m	mː	0.091
n	ˈɛ	0.087
n	-	0.087
ɐ	ɡ̊_ʊ	0.077
#>	ɪ_#>	0.068
ə	ɪ	0.065
d	ʧʰ	0.065
k	ʰʧ	0.056
