Swedish	Old High German	probability
ˈʊ	ˈu	1.0
ˈɪ	ˈi	1.0
ˈɑː	ˈɑ	1.0
ˈœː	ˈoː	1.0
ˈæ	ˈɛ	1.0
ˈa	ˈɑ	1.0
ʊ	-	1.0
ʈː	r_ʦ	1.0
ʈ	t	1.0
ʂ	r_s	1.0
ɵ	-	1.0
ɳ	r_n	1.0
ɪ	-	1.0
ɡ	ɡ	1.0
ɖ	r_t	1.0
ɕ	-	1.0
ɔ	ɛ_h	1.0
ŋː	ŋ_ɡ	1.0
ŋ	ɡ	1.0
sː	s	1.0
s_ˈøː	s_ˈuo̯	1.0
s_t	s_t	1.0
s_a	s_ɑ	1.0
s	s	1.0
rː	rː	1.0
pː	f	1.0
pʰ	p͡f	1.0
m	m	1.0
lː	lː	1.0
kʰ	kʰ	1.0
jː	eː	1.0
j_ˈʉː	t_ˈio̯	1.0
h	h	1.0
f	f	1.0
b	b	1.0
r	r	0.924
l	l	0.902
d	t	0.881
p	f	0.835
n	n	0.823
ˈœ	-	0.799
ˈiː	ˈiː	0.797
mː	m	0.79
ˈuː	ˈuo̯	0.734
ɛ	ɑ	0.71
ˈæː	-	0.702
v	w	0.66
tʰ	d	0.646
ˈeː	ˈei̯	0.601
ˈɛː	-	0.565
ɧ	s_k	0.554
ˈyː	ˈiu̯	0.549
ˈɵ	ˈu	0.54
ˈoː	ˈɑː	0.523
nː	nː	0.503
kː	ŋ_k	0.5
kː	xː	0.5
t	s̻	0.492
j	ɡ	0.464
ˈɔ	ˈu	0.455
ˈʏ	ˈu	0.452
ˈyː	ˈio̯	0.451
ˈøː	ˈoː	0.448
ɧ	s	0.446
ˈʉː	ˈio̯	0.438
ˈɛː	ˈɛ	0.435
k	x	0.428
ˈʉː	ˈuː	0.426
ɡː	kː	0.367
ɡː	-	0.367
tː	x_t	0.364
tʰ	ʦ	0.354
nː	n_d	0.352
t	s̻ː	0.344
k	k	0.323
ˈʏ	-	0.322
ˈɛ	ˈɛ	0.315
a	ɑ_n	0.3
ˈæː	ˈie̯	0.298
ɛ	-	0.29
a	ɑ	0.278
ˈɔ	ˈo	0.274
ˈɔ	-	0.271
ɡː	kː_ɑ	0.267
ˈuː	ˈo	0.266
ˈɛ	-	0.256
tː	ʦː	0.251
k	xː	0.249
tː	s̻ː	0.239
v	b	0.238
ˈeː	ˈɛ	0.231
ˈʏ	ˈiu̯	0.226
ˈɛ	ˈɑ	0.215
ˈɵ	ˈo	0.211
mː	mː	0.21
ˈiː	ˈi	0.203
ˈœ	ˈo	0.201
ˈøː	ˈou̯	0.189
ˈøː	ˈuo̯	0.186
j	h	0.186
j	l	0.183
j	ˈi	0.167
ˈɵ	ˈuː	0.165
p	p	0.165
t	t	0.164
ˈɛ	ˈe	0.154
tː	-	0.145
nː	n	0.145
n	-	0.136
a	e_n	0.133
ˈoː	ˈɑ_h	0.129
ˈøː	ˈu	0.121
d	d	0.119
ˈoː	-	0.117
ˈeː	-	0.117
ˈoː	ˈɑ	0.115
ˈoː	ˈo	0.115
v	f	0.103
l	l_ɑ	0.098
a	o	0.098
ˈɵ	w_ˈo	0.084
a	n	0.079
ˈʉː	ˈo	0.068
ˈʉː	-	0.068
ˈɛ	ˈei̯	0.06
ˈøː	ou̯	0.056
ˈeː	tː	0.05
