Mainland North Frisian	Wymysorys	probability
ˈɛi̯	-	1.0
ˈɛ	ˈi	1.0
ˈɔu̯_d	d	1.0
ˈɔ	-	1.0
ˈœi̯	-	1.0
ˈu	ˈɘ̟	1.0
ˈai̯	ˈɘ̟	1.0
ɣ̥	x	1.0
ɡ	ɡ	1.0
ɛi̯	ɑ	1.0
ə_n	a	1.0
ç	ɡ̊	1.0
z̥	t	1.0
x	x	1.0
w	ˈɑi̯_ɡ	1.0
v_ə	n	1.0
tʲ	s	1.0
t_ə	t_ɛ	1.0
p	f	1.0
n_i	ŋ	1.0
m	m	1.0
l_ˈiː	w_ˈi	1.0
i	ɪ_k	1.0
h	h	1.0
f	f	1.0
d̥	t	1.0
dʲ	t	1.0
d_ə	s_ɛ	1.0
d	t	1.0
b	b	1.0
ʃ	ʃ	0.951
v	v	0.812
l	w	0.773
n	n	0.742
ʀ	r	0.693
ˈɛː	ˈɛ	0.649
ˈœː	ˈɑi̯	0.642
ˈaː	ˈu	0.626
z	s	0.621
ˈʊ	ˈu	0.599
ˈyː	ˈu	0.57
ˈɒː	ˈɑ	0.551
ˈɒ	-	0.54
ˈɔu̯	ˈø	0.535
s	z	0.529
ˈʏ	ˈɑi̯	0.518
lʲ	w_d̥	0.518
v̥	b̥	0.5
v̥	-	0.5
nʲ	n_d̥	0.5
nʲ	n	0.5
lʲ	l	0.482
k	k	0.466
ˈɔu̯	-	0.465
ˈi	ˈai̯	0.453
ˈɒː	ˈɔ	0.449
ŋ	ŋ	0.448
ə	a	0.447
ˈi	ˈɘ̟	0.437
ˈa	-	0.435
ˈyː	-	0.43
ˈeː	ˈɔ	0.424
t	ʦ	0.405
ˈʊ	-	0.401
ˈœ	ˈʏ	0.397
ˈœ	ˈɑ	0.381
z	z	0.379
ˈaː	ˈɔ	0.374
ˈœː	-	0.358
k	x	0.358
ˈɛː	ˈɑ	0.351
ə	ɛ	0.308
ˈeː	-	0.307
ʀ	-	0.307
ˈɒ	ˈɑ	0.303
ˈiː	ˈa	0.3
ŋ	ɡ̊	0.297
j	-	0.296
ˈʏ	-	0.286
s	ʃ	0.283
ˈɔː	ˈɔ	0.271
ˈɔː	-	0.271
ˈeː	ˈɘ̟	0.269
ˈuː	ˈɑi̯	0.268
ˈiː	ˈɑ	0.258
ŋ	ŋ_ɡ̊	0.255
t	t	0.25
ˈa	ˈɛ	0.243
j	ɡ	0.234
ˈœ	ˈu	0.222
ˈuː	v	0.21
ˈiː	ˈi	0.207
ˈɔː	ˈɘ̟	0.198
ˈʏ	ˈu	0.196
ˈɔː	ˈɑ	0.193
t	d	0.192
j	j	0.19
s	s	0.189
ˈuː	j	0.188
ˈuː	-	0.188
n	n_d	0.177
j	ˈi	0.17
ˈɒ	ˈɪ	0.157
k	ç	0.156
l	l	0.155
t	s	0.153
ˈuː	ˈɔ	0.146
ˈa	ˈɘ̟	0.146
ˈiː	ˈɑi̯	0.138
v	-	0.127
ə	ə	0.119
ˈi	ˈa	0.109
j	w	0.109
ˈiː	ˈei̯	0.097
n	-	0.081
ˈa	ˈu	0.076
l	w_ˈɑ	0.073
ˈɔː	ˈoi̯	0.067
ə	ə_n	0.061
v	v_ˈɛ	0.061
ˈa	ˈei̯	0.052
