German	Eastphalian	probability
b	b	0.778
b	v	0.152
b	-	0.067
d	d	0.916
d	r	0.08
d_n	n	0.495
d_ɐ	ɐ	1.0
f	f	0.749
f	p	0.162
f	b	0.056
h	h	0.94
h	k	0.062
j	j	1.0
k	k	0.478
k	ɣ	0.169
k	x	0.138
k	ç	0.096
k	-	0.071
kʰ	k	1.0
l	l	1.0
m	m	1.0
n	n	0.838
n	-	0.096
n	m	0.052
n_d	n	0.495
p	f	0.525
p	p	0.339
p	-	0.094
p͡f	p	1.0
s	t	0.573
s	s	0.425
t	t	0.458
t	d	0.384
t	-	0.154
tʰ	d	0.923
tʰ	t	0.076
v	v	0.8
v	w	0.197
x	x	0.659
x	k	0.32
z	z	1.0
ç	ç	0.55
ç	k	0.347
ç	-	0.084
ŋ	ŋ	1.0
ɐ	ɐ	0.944
ə	ə	0.543
ə	-	0.435
ɡ	ɣ	0.516
ɡ	j	0.295
ɡ	ɡ	0.069
ɡ	ŋ	0.06
ɡ	-	0.056
ɪ	ɪ	1.0
ʁ	r	0.859
ʁ	-	0.106
ʃ	ʃ	0.52
ʃ	s	0.469
ʦ	t	1.0
ˈa	ˈa	0.715
ˈa	ˈɔ	0.091
ˈa	ˈɒː	0.073
ˈaɪ̯	ˈiː	0.468
ˈaɪ̯	ˈɛɪ̯	0.389
ˈaɪ̯	ˈɪ	0.132
ˈaʊ̯	ˈuː	0.49
ˈaʊ̯	ˈeo̯	0.344
ˈaʊ̯	ˈoː	0.091
ˈaʊ̯	ˈɔ	0.073
ˈaː	ˈɒː	0.461
ˈaː	ˈaː	0.201
ˈaː	ˈɛː	0.157
ˈaː	ˈɛ	0.126
ˈaː	ˈa	0.052
ˈeː	ˈeː	0.408
ˈeː	ˈɛɪ̯	0.347
ˈeː	ˈɛ	0.108
ˈeː	ˈɛː	0.104
ˈiː	ˈɛɪ̯	0.701
ˈiː	ˈeː	0.105
ˈiː	ˈiː	0.104
ˈiː	ˈɪ	0.064
ˈoː	ˈeo̯	0.645
ˈoː	ˈɒː	0.105
ˈoː	ˈoː	0.082
ˈoː	ˈɔ	0.08
ˈoː	ˈuː	0.079
ˈuː	ˈaʊ̯	0.772
ˈuː	ˈuː	0.125
ˈuː	ˈʊ	0.094
ˈyː	ˈɔʏ̯	0.76
ˈyː	ˈoː	0.239
ˈøː	ˈøː	0.284
ˈøː	ˈɔʏ̯	0.284
ˈœ	ˈœ	0.495
ˈɔ	ˈɔ	0.409
ˈɔ	ˈʊ	0.341
ˈɔ	ˈoː	0.18
ˈɔ	ˈøː	0.058
ˈɔʏ̯	ˈyː	0.226
ˈɔʏ̯	ˈʏ	0.226
ˈɔʏ̯	ˈiː	0.149
ˈɔʏ̯	ˈøː	0.149
ˈɔʏ̯	ˈeː	0.102
ˈɔʏ̯	ˈuː	0.102
ˈɛ	ˈɛ	0.359
ˈɛ	ˈeː	0.226
ˈɛ	ˈa	0.111
ˈɛ	ˈɛː	0.1
ˈɛ	ˈɪ	0.096
ˈɛ	ˈœ	0.076
ˈɛː	ˈɛɪ̯	0.392
ˈɛː	ˈɒː	0.223
ˈɛː	ˈɛː	0.223
ˈɪ	ˈɪ	0.816
ˈɪ	ˈɛ	0.109
ˈɪ	ˈiː	0.051
ˈʊ	ˈʊ	0.599
ˈʊ	ˈɔ	0.247
ˈʊ	ˈoː	0.066
ˈʊ	ˈuː	0.066
ˈʏ	ˈʏ	0.375
ˈʏ	ˈiː	0.199
ˈʏ	ˈøː	0.08
