Piedmontese	Piedmontese	probability
ˈə	ˈi	1.0
ˈy	ˈu	1.0
ˈu_s	ˈu_t	1.0
ˈu_n	ˈɔ_n	1.0
ˈa	ˈa	1.0
ʧ	k_ɾ	1.0
ə	-	1.0
ŋ_ɡ	m	1.0
ŋ_k	m	1.0
ŋ_a	n_a	1.0
ŋ_#>	n_u_#>	1.0
y	u	1.0
t_ˈa	t_ˈa	1.0
t	t	1.0
r_ˈi	ɾ_ˈi	1.0
r_a	o	1.0
r_#>	ɾ_u_#>	1.0
p_j	p_ɾ	1.0
p	p	1.0
n_z	ŋ_ɡ	1.0
n_#>	n_ɛ_#>	1.0
k_ˈa	k_ˈa	1.0
k	k	1.0
j_t	t_ɛ	1.0
f	f	1.0
dː	ɛ_ɾ	1.0
a_d	a_t	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʤ	<#_ʣ	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_k	<#	1.0
a	a	0.922
b	b	0.842
l	l	0.841
m	m	0.824
ˈi	ˈi	0.8
<#	<#_i	0.8
n	n	0.778
s	s	0.772
ŋ	n	0.7
r	ɾ	0.694
ɡ	k_u	0.667
ɲ	n_ʣ	0.625
i	i	0.625
ˈø	ˈɔ	0.611
w	-	0.6
d	d	0.6
ʤ	ɡ	0.571
v	b	0.528
z	k_ɛ	0.5
u	ɔ	0.5
ˈu	ˈu	0.483
ˈɛ	ˈɛ	0.457
#>	u_#>	0.438
ˈɛ	ˈe	0.429
ʤ	-	0.429
w	ɾ	0.4
ˈø	ˈo	0.389
ˈu	ˈɔ	0.379
ˈɔ	ˈɔ	0.375
ɲ	nː	0.375
i	-	0.375
#>	ɛ_#>	0.362
ˈɔ	ˈo	0.333
ˈe	ˈa_ɾ	0.333
ɡ	-	0.333
e	ɛ	0.32
v	β	0.306
ˈe	ˈɛ	0.256
z	z	0.25
z	i_k	0.25
u	u	0.25
u	-	0.25
n	u	0.222
r	r	0.204
ŋ	nː	0.2
e	ɛ_ɾ	0.2
d	ð	0.2
<#	<#_a	0.2
m	m_i	0.176
e	ɾ_ɛ	0.16
l	ɖː	0.159
s	k	0.158
b	β	0.158
j	k_ɾ	0.156
j	-	0.156
ˈe	ˈi	0.154
ˈe	ˈe	0.154
ˈu	ˈo	0.138
ˈɔ	ˈa	0.125
j	ʣ_u	0.125
j	ɾ	0.125
ˈi	i	0.12
e	e	0.12
e	-	0.12
ˈɛ	ˈi	0.114
v	p	0.111
ˈe	ˈa	0.103
ŋ	ŋ	0.1
d	t	0.1
d	i_k	0.1
j	ʣ	0.094
j	ɛ	0.094
ˈɔ	ˈu	0.083
ˈɔ	-	0.083
ˈi	-	0.08
e	a_z	0.08
s	ʦ	0.07
j	ɣ	0.062
j	ð	0.062
j	u	0.062
j	j_z	0.062
#>	a_#>	0.062
r	o	0.061
v	p_ɛ	0.056
